ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26
0,6122,3716,6354,6310,2721,5090,5080,2726,1605,6529,1240,2901,568,1156,1465,5774,2431,3498,1056,2379,2937,1777,4781,5442,3571,1772,0
1,6122,3716,6354,6310,2721,5090,5080,2726,1605,6529,1240,3297,3494,810,1465,5774,2672,3498,1056,2379,2937,1777,4781,5442,1120,1772,0
2,6122,3716,6354,6310,2721,5090,5080,2726,1605,6529,1240,2901,568,1156,1465,5774,2431,3498,1056,6016,2937,1777,4781,5442,6973,6473,0
3,6122,3716,6354,6310,2721,5090,5080,2726,4015,6529,1240,2901,568,1156,1465,5774,2431,3498,1056,6016,234,1777,4781,5442,5463,6473,0
4,6122,3716,6354,6310,2721,5090,5080,2726,3535,5754,1240,2901,4920,4258,1465,5774,6592,5885,1056,6016,234,1777,4781,5442,5463,6473,0
5,6122,3716,6354,6310,2721,5090,5080,2726,4015,2251,1240,2901,568,1156,1465,5774,2431,3498,1056,6016,234,1777,4781,5442,6973,6473,0
6,6122,3716,6354,6310,2721,5090,5080,2726,1605,2251,1240,2901,568,1156,1465,5774,2431,3498,1056,6016,2937,1777,4781,5442,1120,1675,0
7,6122,3716,6354,6310,2721,5090,5080,2726,1605,6529,1240,2901,568,1156,1465,5774,2431,3498,1056,6016,2937,1777,4781,5442,6973,1675,0
8,6122,3716,6354,6310,2721,5090,5080,2726,4015,2251,1240,2901,568,1156,1465,5774,2431,3498,1056,6016,2937,1777,4781,5442,6973,1675,0
9,6122,3716,6354,6310,4008,5090,5080,2726,1605,6529,1240,2901,4918,810,1465,5774,3508,3498,1056,2379,2937,1777,4781,5442,6973,1675,0
10,6122,3716,6354,6310,2721,5090,5080,2726,1605,5187,1240,2901,4918,4258,1465,5774,3508,5816,1056,2379,2937,1777,4781,5442,3571,1675,0
11,6122,3716,6354,6310,2721,5090,5080,2726,4015,5187,1240,2901,4920,4258,1465,5774,3508,3498,1056,6016,2937,1777,4781,5442,5463,6473,0
12,6122,3716,6354,6310,2721,5090,5080,2726,1605,3154,1240,3297,3494,1156,1465,5774,1683,3498,1056,2379,2937,1777,4781,5442,1120,1772,0
13,6122,3716,6354,6310,2721,5090,5080,2726,1605,965,1240,3297,761,1156,1465,5774,1683,3498,1056,2379,2937,1777,4781,5442,1120,1772,0
14,6122,3716,6354,6310,2721,5090,5080,2726,1605,6529,1240,2901,761,1156,1465,5774,2431,3498,1056,2379,2937,1777,4781,5442,1120,1772,0
15,6122,3716,6354,6310,2721,5090,5080,2726,1605,6529,1240,2901,568,1156,1465,5774,3508,3498,1056,6016,2937,1777,4781,5442,3571,1675,0
16,6122,3716,6354,6310,2721,5090,5080,2726,1605,6529,1240,2901,761,1156,1465,5774,1683,3498,1056,2379,2937,1777,4781,5442,1120,1772,0
17,6122,3716,6354,6310,4008,5090,5080,2726,1605,6529,1240,3297,3494,810,1465,5774,2672,3498,1056,2379,2937,1777,4781,5442,1120,1772,0
18,6122,3716,6354,6310,2721,5090,5080,2726,2224,965,1240,2027,761,1156,1465,5774,2431,3498,1056,2379,2937,1777,4781,5442,3571,1675,0
19,6122,3716,6354,6310,2721,5090,5080,2726,1605,6529,1240,2901,1099,1156,1465,5774,3508,3498,1056,6016,2937,1777,4781,5442,6973,1675,0
20,6122,3716,6354,6310,2721,5090,5080,2726,1605,5187,1240,2901,4920,4258,1465,5774,3508,3498,1056,6016,2937,1777,4781,5442,5463,6473,0
21,6122,3716,6354,6310,2721,5090,5080,2726,4015,5187,1240,6729,4920,4258,1465,5774,6592,5885,1056,6016,6496,1777,4781,5442,5463,6473,0
22,6122,3716,6354,6310,2721,5090,5080,2726,1605,6529,1240,2901,568,810,1465,5774,3508,3498,1056,2379,2937,1777,4781,5442,6973,1675,0
23,6122,3716,6354,6310,2721,5090,5080,2726,1605,5187,1240,2901,4920,4258,1465,5774,3508,5885,1056,6016,234,1777,4781,5442,5463,6473,0
24,6122,3716,6354,6310,4008,5090,5080,2726,1605,6529,1240,3297,3494,810,1465,5774,2672,3498,1056,2379,2937,1777,4781,2244,1120,1772,0
25,6122,3716,6354,6310,6278,5090,5080,2726,3535,5754,1240,2901,4918,5865,1465,5774,6592,5816,1056,6016,234,1777,4781,5442,6973,6473,0
26,6122,3716,6354,6310,4008,5090,5080,2726,1605,6529,1240,3297,3494,810,1465,5774,3508,5816,1056,2379,2937,1777,4781,5442,1120,1772,0
27,6122,3716,6354,6310,2721,5090,5080,2726,4015,2251,1240,2901,568,1156,1465,5774,2431,3498,1056,6016,2937,1777,4781,5442,6973,6473,0
28,6122,3716,6354,6310,2721,5090,5080,2726,4015,5187,1240,2901,4920,4258,1465,5774,3508,3498,1056,6016,2937,1777,4781,5442,6973,6473,0
