Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	0	0.0	11.93	nan	0.005	0.0	2.122	nan	0.005
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	1	0.0	13.384	nan	0.005	0.0	2.161	nan	0.004
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	2	0.0	8.421	nan	0.003	0.0	0.917	nan	0.002
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	3	0.0	4.911	nan	0.002	0.0	0.327	nan	0.001
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	4	0.0	31.299	2.319	0.032	0.0	11.001	nan	0.036
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	5	0.0	24.777	0.613	0.021	0.0	6.679	nan	0.022
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	6	0.0	16.54	nan	0.009	0.0	3.706	nan	0.01
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	7	0.0	24.882	2.911	0.084	0.0	14.078	2.682	0.097
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	8	0.0	17.221	3.088	0.114	0.0	10.097	2.966	0.125
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	9	0.0	23.704	2.534	0.091	0.0	13.371	2.258	0.09
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	10	0.0	9.94	nan	0.009	0.0	1.296	nan	0.01
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	11	0.0	14.929	2.628	0.102	0.0	8.761	nan	0.117
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	12	0.0	9.494	2.731	0.108	0.0	6.247	2.674	0.123
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	13	0.0	29.898	2.252	0.079	0.0	15.689	2.025	0.077
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	14	0.0	31.063	1.835	0.057	0.0	15.021	1.7	0.062
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	15	0.0	25.668	2.724	0.102	0.0	15.309	2.768	0.126
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	16	0.0	24.267	3.058	0.116	0.0	15.178	3.004	0.14
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	17	0.0	29.413	2.052	0.081	0.0	16.985	2.053	0.094
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	18	0.0	7.871	nan	0.007	0.0	1.716	nan	0.01
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	19	0.0	14.039	nan	0.016	0.0	4.387	nan	0.028
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	20	0.0	22.852	nan	0.028	0.0	7.268	nan	0.037
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	21	0.0	1.375	nan	0.001	0.0	0.052	nan	0.0
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	22	0.0	6.037	nan	0.005	0.0	0.982	nan	0.009
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	23	0.0	10.32	nan	0.011	0.0	3.078	nan	0.018
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	24	0.0	17.575	1.442	0.018	0.0	6.653	nan	0.025
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	25	0.0	19.919	nan	0.021	0.0	8.787	nan	0.03
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	26	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	27	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	28	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	29	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	30	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	31	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	32	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	33	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	34	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	35	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	36	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	37	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	38	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	39	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	40	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	41	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	42	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	43	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	44	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	45	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	46	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	47	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	48	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	49	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	50	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	51	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	52	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	53	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	54	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	55	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	56	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	57	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	58	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	59	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	60	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	61	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	62	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	63	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	64	0.393	0.393	nan	nan	0.0	0.0	nan	nan
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	65	0.393	0.393	nan	nan	0.0	0.0	nan	nan
