Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	0	0.0	0.354	nan	0.0	0.0	0.0	nan	0.0
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	1	0.0	1.493	nan	0.0	0.0	0.039	nan	0.0
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	2	0.0	4.662	nan	0.001	0.0	0.327	nan	0.001
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	3	0.0	8.892	nan	0.003	0.0	1.257	nan	0.002
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	4	0.0	17.64	nan	0.007	0.0	3.981	nan	0.007
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	5	0.0	24.62	nan	0.015	0.0	8.093	0.46	0.014
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	6	0.0	26.925	nan	0.024	0.0	10.215	0.624	0.022
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	7	0.0	25.563	0.997	0.031	0.0	11.511	0.847	0.03
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	8	0.0	21.477	1.397	0.041	0.0	12.389	1.187	0.041
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	9	0.0	16.907	1.852	0.051	0.0	10.66	1.575	0.05
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	10	0.0	14.392	2.153	0.055	0.0	9.285	1.836	0.054
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	11	0.0	13.135	2.471	0.06	0.0	8.931	2.11	0.059
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	12	0.0	11.747	2.974	0.07	0.0	7.897	2.545	0.069
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	13	0.0	10.726	3.196	0.079	0.0	7.53	2.748	0.079
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	14	0.0	9.809	2.941	0.08	0.0	7.609	2.555	0.082
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	15	0.0	8.931	3.15	0.089	0.0	6.954	2.759	0.092
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	16	0.0	6.902	3.523	0.097	0.0	5.513	3.109	0.104
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	17	0.0	6.129	3.871	0.105	0.0	4.57	3.441	0.113
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	18	0.0	7.203	3.858	0.105	0.0	5.409	3.459	0.113
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	19	0.0	8.84	3.998	0.107	0.0	7.805	3.608	0.117
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	20	0.0	9.036	4.196	0.111	0.0	7.347	3.809	0.124
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	21	0.0	11.629	3.828	0.104	0.0	8.539	3.508	0.119
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	22	0.0	17.876	2.5	0.077	0.0	11.799	2.342	0.092
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	23	0.0	22.132	2.062	0.068	0.0	14.091	1.938	0.079
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	24	0.0	24.24	1.924	0.062	0.0	16.448	1.796	0.071
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	25	0.0	26.925	1.874	0.058	0.0	14.995	1.739	0.068
cait_xs24_384	configs_multi/cait_xs24_384/config_cait_xs24_384_ArcFace_SGD.yaml	222	26	0.393	0.393	nan	nan	0.0	0.0	nan	nan
