ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56
0,347,53,647,647,434,434,686,686,686,686,686,686,446,203,309,309,214,214,214,214,214,309,309,309,309,309,309,309,225,225,225,225,225,147,147,147,147,147,147,147,147,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,53,7,60,651,351,456,148,551,551,225,225,225,225,225,285,285,285,53,53,53,149,148,148,148,148,148,148,148,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,12,53,758,7,573,573,573,362,103,103,103,149,149,149,149,149,78,78,257,78,263,263,115,115,115,115,257,257,257,257,257,257,257,257,257,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,53,347,347,601,601,601,78,487,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,347,207,231,42,42,42,386,468,468,463,104,797,797,164,164,129,129,290,290,290,187,404,404,404,404,404,404,404,187,187,187,187,187,187,187,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
5,347,395,347,362,362,362,601,601,224,224,224,19,19,6,19,19,19,19,174,174,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,12,12,12,251,251,88,468,292,323,667,70,70,102,102,102,102,102,269,269,269,121,121,121,121,121,224,224,224,224,224,224,224,224,224,224,224,224,224,224,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
7,53,372,751,19,19,19,19,19,19,19,30,257,213,213,28,28,79,79,79,384,384,384,213,213,213,213,213,213,213,213,213,213,274,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309
8,347,15,362,89,41,41,41,41,446,446,446,499,499,91,486,800,800,41,41,257,257,257,257,257,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,223,223,223,223
9,261,363,261,760,760,601,601,601,6,6,6,26,520,658,658,658,557,557,458,186,752,368,746,746,635,635,635,635,635,635,596,596,596,596,596,757,757,125,125,261,261,261,261,261,261,261,261,261,261,261,261,261,261,260,260,260,260
