Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	0	0.0	5.487	0.736	0.152	0.0	5.54	0.658	0.141
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	1	0.0	4.112	1.803	0.221	0.0	4.649	1.723	0.222
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	2	0.0	3.641	2.372	0.247	0.0	3.536	2.439	0.261
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	3	0.0	2.868	2.973	0.243	0.0	2.96	2.993	0.266
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	4	0.0	3.824	6.001	1.314	0.0	4.02	6.236	1.367
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	5	0.0	6.757	6.475	1.994	0.0	6.325	6.562	2.048
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	6	0.0	5.304	4.749	1.151	0.0	5.094	4.732	1.162
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	7	0.0	3.68	1.163	0.149	0.0	3.379	1.105	0.146
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	8	0.0	5.265	5.454	1.486	0.0	4.57	5.656	1.518
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	9	0.0	7.452	6.636	2.169	0.0	6.888	6.739	2.173
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	10	0.0	7.727	6.453	2.143	0.0	7.347	6.527	2.128
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	11	0.0	3.759	2.086	0.091	0.0	2.973	2.227	0.107
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	12	0.0	3.641	3.894	0.759	0.0	3.13	4.14	0.801
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	13	0.0	7.15	1.716	0.087	0.0	5.304	1.502	0.077
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	14	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	15	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	16	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	17	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	18	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	19	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	20	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	21	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	22	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	23	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	24	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	25	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	26	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	27	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	28	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	29	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	30	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	31	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	32	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	33	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	34	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	35	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	36	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	37	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	38	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	39	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	40	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	41	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	42	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	43	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	44	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	45	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	46	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	47	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	48	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	49	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	50	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	51	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	52	0.393	0.393	nan	nan	0.0	0.0	nan	nan
coat_lite_small	configs_multi/coat_lite_small/config_coat_lite_small_ArcFace_SGD.yaml	222	53	0.393	0.393	nan	nan	0.0	0.0	nan	nan
