Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	0	0.0	4.741	2.392	0.456	0.0	5.291	1.986	0.383
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	1	0.0	3.693	3.35	0.393	0.0	4.073	2.855	0.347
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	2	0.0	3.117	4.315	0.48	0.0	3.287	4.23	0.463
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	3	0.0	4.007	0.758	0.133	0.0	4.191	0.764	0.133
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	4	0.0	3.876	5.866	1.118	0.0	3.929	6.106	1.227
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	5	0.0	5.265	4.583	1.092	0.0	4.688	4.893	1.119
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	6	0.0	4.178	4.721	1.074	0.0	4.754	4.705	1.08
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	7	0.0	2.672	2.216	0.148	0.0	2.344	1.996	0.144
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	8	0.0	8.683	1.955	0.108	0.0	6.627	1.833	0.107
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	9	0.0	2.095	3.388	0.311	0.0	2.148	3.52	0.362
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	10	0.0	2.226	2.571	0.264	0.0	2.37	2.661	0.284
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	11	0.0	27.986	0.836	0.031	0.0	10.097	0.725	0.03
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	12	0.0	2.96	2.389	0.235	0.0	2.803	2.441	0.238
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	13	0.0	2.135	3.346	0.329	0.0	2.331	3.333	0.344
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	14	0.0	2.135	3.646	0.388	0.0	2.266	3.9	0.472
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	15	0.0	2.763	2.123	0.165	0.0	2.645	2.078	0.17
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	16	0.0	18.177	nan	0.018	0.0	3.601	0.56	0.017
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	17	0.0	24.764	2.486	0.075	0.0	14.55	2.215	0.081
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	18	0.0	8.84	3.071	0.135	0.0	6.81	3.125	0.154
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	19	0.0	12.048	1.876	0.099	0.0	9.023	1.719	0.099
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	20	0.0	11.564	nan	0.01	0.0	2.148	nan	0.014
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	21	0.0	14.091	nan	0.016	0.0	2.462	nan	0.022
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	22	0.0	25.092	nan	0.027	0.0	8.159	2.366	0.037
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	23	0.0	26.296	1.62	0.053	0.0	13.764	1.897	0.06
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	24	0.0	28.889	1.018	0.044	0.0	12.349	0.869	0.043
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	25	0.393	0.393	nan	nan	0.0	0.0	nan	nan
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	26	0.393	0.393	nan	nan	0.0	0.0	nan	nan
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	27	0.393	0.393	nan	nan	0.0	0.0	nan	nan
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	28	0.393	0.393	nan	nan	0.0	0.0	nan	nan
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	29	0.393	0.393	nan	nan	0.0	0.0	nan	nan
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	30	0.393	0.393	nan	nan	0.0	0.0	nan	nan
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	31	0.393	0.393	nan	nan	0.0	0.0	nan	nan
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	32	0.393	0.393	nan	nan	0.0	0.0	nan	nan
