Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	0	0.0	4.95	31.221	6.558	0.0	5.422	26.743	5.649
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	1	0.0	4.872	25.273	5.054	0.0	5.395	21.371	4.327
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	2	0.0	4.793	20.474	3.95	0.0	5.265	17.217	3.375
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	3	0.0	4.662	16.793	3.157	0.0	5.147	14.103	2.699
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	4	0.0	4.701	14.64	2.7	0.0	5.042	12.315	2.315
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	5	0.0	4.675	13.716	2.518	0.0	5.003	11.588	2.169
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	6	0.0	4.636	13.271	2.428	0.0	5.029	11.267	2.104
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	7	0.0	4.649	12.825	2.327	0.0	5.042	10.924	2.028
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	8	0.0	4.584	11.968	2.135	0.0	4.976	10.209	1.869
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	9	0.0	4.492	11.648	2.034	0.0	4.924	9.952	1.789
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	10	0.0	4.453	11.688	1.994	0.0	4.924	10.006	1.764
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	11	0.0	4.348	11.765	1.948	0.0	4.819	10.083	1.735
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	12	0.0	4.309	11.93	1.909	0.0	4.819	10.243	1.713
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	13	0.0	4.348	12.058	1.863	0.0	4.649	10.374	1.684
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	14	0.0	4.151	12.085	1.802	0.0	4.531	10.426	1.64
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	15	0.0	4.125	11.937	1.719	0.0	4.295	10.33	1.578
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	16	0.0	4.151	11.71	1.622	0.0	4.243	10.175	1.507
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	17	0.0	4.047	11.069	1.508	0.0	4.178	9.681	1.419
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	18	0.0	4.02	10.2	1.365	0.0	4.178	8.995	1.307
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	19	0.0	3.929	9.254	1.192	0.0	4.073	8.215	1.161
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	20	0.0	3.85	8.261	1.01	0.0	3.824	7.367	1.0
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	21	0.0	3.706	6.946	0.82	0.0	3.693	6.217	0.824
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	22	0.0	3.641	5.772	0.657	0.0	3.693	5.184	0.668
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	23	0.0	3.614	4.746	0.524	0.0	3.588	4.279	0.539
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	24	0.0	3.497	3.984	0.421	0.0	3.536	3.601	0.437
convit_base	configs_multi/convit_base/config_convit_base_ArcFace_SGD.yaml	222	25	0.393	0.393	nan	nan	0.0	0.0	nan	nan
