ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53
0,315,780,377,377,377,327,648,648,377,744,162,539,648,377,377,377,377,377,105,377,377,65,648,648,377,648,648,65,377,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
1,573,139,254,179,505,234,255,780,225,456,272,456,225,780,780,780,780,75,75,179,179,75,179,179,179,179,179,790,661,257,179,257,179,257,257,257,257,257,191,665,120,53,360,120,360,53,53,53,53,53,53,53,53,53
2,362,651,281,474,474,474,23,23,381,381,23,381,23,688,23,381,381,688,381,23,12,79,12,381,381,712,79,178,79,381,381,381,381,381,456,381,381,381,381,381,381,456,381,381,381,381,381,381,381,381,381,381,381,381
3,547,543,216,347,347,347,131,347,347,347,347,224,347,347,347,347,347,347,131,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,698,625,224,203,280,257,257,303,360,257,303,257,303,528,543,95,257,185,185,231,257,784,342,342,342,342,40,231,231,395,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,95,220,220,220,220
5,714,342,458,213,256,213,628,712,347,347,213,42,712,366,347,347,347,366,347,347,256,347,6,6,347,6,256,256,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,631,174,26,179,191,334,280,366,191,334,334,23,144,225,334,23,190,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,190,310,132,190,190,190,190,132,132,190,190,190,132,190,190,104,132
7,658,337,295,7,303,149,366,79,303,295,303,79,41,41,79,79,79,41,327,303,79,79,303,187,792,79,79,79,79,327,79,79,295,327,79,79,79,327,79,327,79,19,327,327,31,79,19,327,79,327,79,79,79,19
8,667,6,218,257,395,257,395,486,256,136,489,281,91,395,257,395,281,395,395,395,281,395,281,281,395,395,346,395,395,395,281,281,281,41,281,281,281,281,281,395,281,281,281,395,281,281,281,281,281,281,281,148,295,295
9,736,543,588,0,710,322,753,782,358,445,445,753,753,515,753,669,221,221,753,221,445,221,445,445,445,445,445,445,445,445,221,221,445,445,221,221,221,221,445,221,221,221,445,445,221,445,445,445,515,445,221,445,52,221
