ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55
0,621,621,618,714,597,472,214,540,800,673,203,53,53,53,53,53,53,53,78,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,141,742,231,308,208,301,301,285,257,182,281,203,312,53,378,378,89,216,312,53,312,671,53,378,378,53,378,53,216,53,303,53,53,53,53,53,378,53,53,53,53,53,53,378,53,53,53,53,53,53,53,53,53,53,53,53
2,784,79,540,626,114,208,381,243,381,339,381,377,381,381,257,130,362,362,257,362,381,147,53,362,149,362,736,263,53,257,53,736,362,53,131,257,257,53,53,130,741,263,362,53,257,362,362,362,131,362,381,139,381,53,362,362
3,215,215,380,295,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,708,708,42,303,491,80,736,463,308,328,91,224,224,224,224,224,295,224,224,224,308,224,224,224,308,347,224,224,224,224,224,224,347,347,347,224,347,347,347,347,347,347,347,347,347,347,224,347,347,347,347,347,347,347,347,224
5,675,675,149,525,664,347,28,190,347,347,6,347,6,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,273,337,145,481,79,367,329,318,208,318,86,86,263,318,245,245,303,360,68,132,314,12,68,360,12,360,290,334,325,91,275,79,334,65,283,12,360,12,12,174,174,68,65,174,12,65,174,325,174,12,360,325,325,174,174,174
7,446,334,645,425,425,342,100,462,339,115,115,88,88,88,88,68,68,166,303,274,68,68,364,364,19,68,364,42,364,364,42,42,19,346,346,346,346,340,22,149,360,346,19,346,346,131,19,346,68,379,325,346,131,346,19,19
8,366,264,30,481,231,41,19,661,203,400,19,257,68,68,725,329,251,329,251,281,202,231,202,281,251,281,202,281,281,281,281,257,202,399,216,231,251,121,399,281,216,281,257,281,251,281,19,281,257,19,281,281,257,399,216,216
9,515,702,702,159,116,106,196,173,612,612,1,612,801,32,173,323,517,517,260,254,260,260,71,284,173,517,71,260,254,339,254,517,284,71,517,613,339,261,339,261,261,261,125,261,339,261,261,125,261,261,261,261,261,125,261,261
10,493,282,610,205,255,493,510,588,510,321,74,86,314,4,78,78,671,260,472,323,323,472,472,86,80,472,472,236,86,74,86,779,86,86,472,385,86,779,86,86,86,86,261,685,86,86,99,261,292,779,137,261,261,86,261,261
11,245,220,418,70,676,173,347,115,182,161,361,68,255,255,333,283,364,41,41,41,367,283,41,367,367,268,41,268,213,80,283,255,283,41,283,268,268,41,268,283,283,283,41,261,268,41,260,283,261,261,261,261,261,261,268,260
12,290,412,233,18,489,259,259,139,196,97,97,339,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,221,73,68,68,23,23,571,189,227,789,150,87,87,87,87,192,87,87,139,139,139,139,87,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
14,700,32,396,145,337,337,337,264,264,337,177,45,378,378,177,378,177,378,177,15,177,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,541,188,265,104,712,19,263,19,257,203,86,273,75,273,273,273,342,329,342,273,273,203,273,203,273,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,597,597,270,149,213,87,280,225,216,49,203,203,203,273,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
18,314,3,517,269,685,325,150,339,190,339,148,121,257,590,231,231,231,257,231,149,35,231,231,231,231,231,231,231,231,257,231,231,231,231,231,231,231,231,231,231,231,257,231,231,231,231,231,231,231,231,231,231,231,231,231,231
