ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55
0,62,240,339,52,256,724,111,679,35,648,569,150,648,648,687,572,131,648,648,648,109,437,629,100,648,377,213,648,377,648,377,105,648,437,377,105,327,140,377,377,648,377,327,377,377,377,377,377,327,65,648,132,648,377,577,65
1,665,4,613,340,105,589,194,10,506,321,301,280,274,333,693,275,49,645,364,213,280,682,109,676,555,742,380,125,23,780,570,280,376,382,280,555,780,125,225,159,75,75,75,476,476,225,270,790,75,270,780,270,787,270,376,270
2,533,809,604,746,489,714,429,799,457,539,147,390,712,314,760,314,491,532,784,342,23,213,23,487,455,686,381,428,712,130,303,23,381,784,381,86,381,12,381,712,381,381,381,381,381,12,12,712,381,381,381,381,381,381,381,381
3,312,425,88,629,806,295,88,6,569,312,131,360,149,360,334,295,256,256,190,269,256,131,131,224,131,6,190,41,6,193,131,131,193,131,131,35,193,269,131,131,334,98,334,35,334,35,347,347,347,541,347,334,347,347,347,28
4,303,427,274,409,679,71,322,464,752,121,77,371,459,49,49,49,464,322,23,144,78,187,185,381,721,257,381,257,49,325,381,263,381,784,257,71,95,283,220,95,220,554,220,257,95,95,95,213,554,220,24,220,220,224,220,220
5,303,149,149,610,648,488,366,329,139,786,42,712,19,131,131,213,149,100,366,263,366,669,264,712,712,297,712,712,23,712,231,231,166,213,42,131,366,23,42,23,166,712,131,166,166,366,166,131,131,166,166,347,131,366,366,366
6,573,293,711,674,269,429,286,346,342,73,385,339,170,269,269,6,257,187,309,49,269,328,257,543,309,174,31,334,26,281,334,23,309,257,746,309,309,334,334,309,334,334,334,309,334,144,334,334,334,334,334,334,144,334,144,191
7,169,609,149,508,695,309,610,416,371,429,104,601,809,648,223,347,409,764,524,693,475,429,766,429,429,420,633,633,773,429,633,800,53,594,472,741,633,53,643,53,34,633,472,643,0,53,53,633,633,303,53,303,23,53,800,53
8,97,26,585,619,758,263,196,257,680,145,46,346,281,281,346,308,319,150,281,476,281,136,281,281,281,281,281,156,281,281,281,281,281,144,375,384,156,395,281,395,281,281,281,395,395,281,281,281,395,395,395,395,281,218,75,395
9,627,354,22,760,124,782,753,312,753,358,710,358,621,358,490,723,221,550,550,508,508,515,753,753,753,753,515,753,508,508,508,753,782,753,221,753,508,508,508,753,52,753,508,753,508,508,221,508,753,782,508,753,221,221,221,663
10,142,367,64,697,11,311,777,209,758,777,608,608,608,500,537,732,435,494,608,718,432,439,195,689,777,689,574,761,599,526,368,652,368,574,652,732,732,574,574,574,732,574,652,108,574,71,732,586,574,689,574,574,574,574,108,761
11,450,66,120,797,231,464,273,533,321,764,182,184,40,263,159,245,769,245,159,287,159,136,136,182,245,245,245,245,182,136,136,182,136,323,136,136,136,182,182,678,182,136,182,182,182,182,678,136,182,182,678,182,182,182,182,182
12,21,281,314,427,456,784,496,319,576,133,382,414,548,381,520,520,524,3,3,366,3,370,101,251,3,145,313,66,97,82,3,82,259,313,3,97,259,251,259,3,97,97,259,259,259,259,259,548,3,259,548,259,139,259,87,259
13,259,87,228,434,88,366,125,695,79,317,137,613,206,53,463,220,196,714,714,231,248,541,79,613,87,231,783,293,231,87,87,41,592,87,87,317,87,87,87,87,107,107,87,221,403,87,87,107,87,145,87,37,87,80,87,87
14,717,378,297,710,40,87,722,342,295,147,366,49,366,547,366,378,342,378,378,378,757,264,45,264,45,264,177,264,115,213,139,264,264,264,378,337,145,264,264,264,264,378,378,378,378,378,264,378,378,264,264,264,264,264,264,264
15,539,45,346,100,40,248,387,429,94,678,147,714,654,714,714,188,349,314,20,318,295,295,34,108,6,28,108,714,714,93,129,169,714,340,125,129,129,78,78,78,78,125,714,129,78,78,129,78,78,501,129,129,129,459,714,78
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,177,569,297,575,492,811,245,669,21,208,58,600,399,65,21,208,21,188,21,273,208,137,194,273,669,186,137,26,244,186,137,543,543,351,543,186,186,310,273,273,273,255,273,252,208,208,273,303,273,399,273,273,273,255,255,208
18,228,189,455,597,536,103,150,78,346,45,754,370,652,385,351,178,342,342,691,178,484,330,257,193,32,712,224,484,156,330,375,156,12,68,178,651,178,53,651,257,713,713,713,257,257,257,88,713,257,713,713,713,178,178,257,257
19,309,320,577,23,323,162,520,306,150,223,326,106,106,106,106,264,658,681,106,53,106,329,326,264,329,106,223,162,106,264,106,106,106,329,329,329,158,264,223,223,106,30,158,264,158,158,100,30,30,30,30,100,100,30,30,106
20,323,6,515,547,18,328,155,689,354,510,780,30,508,508,800,634,770,747,584,339,35,339,715,514,213,339,256,339,182,182,213,182,182,30,723,182,510,237,182,100,636,514,53,339,35,514,712,100,182,35,53,53,53,53,100,100
21,718,663,348,807,513,368,220,282,121,340,340,340,610,472,440,418,185,718,240,220,512,387,512,512,366,619,418,340,368,707,340,253,86,215,54,253,440,653,368,440,253,253,440,623,688,440,440,368,368,368,440,440,368,368,368,253
22,804,9,367,293,309,10,418,205,192,89,71,450,762,704,740,758,143,758,493,694,60,130,130,373,60,195,758,758,211,60,373,373,758,130,60,758,130,65,694,493,493,758,493,211,493,211,493,704,493,418,493,704,493,70,493,493
23,427,650,482,195,250,520,11,215,756,253,598,512,507,791,661,507,435,325,512,512,368,712,269,479,598,598,368,791,598,368,497,497,661,791,568,368,568,552,598,568,479,568,791,598,791,598,368,598,568,598,497,568,568,568,568,568
24,179,32,162,338,327,753,25,142,400,481,310,481,222,365,170,293,395,170,170,318,237,361,401,237,65,237,237,65,402,65,237,237,318,301,274,237,65,237,237,65,360,65,65,360,360,274,669,175,360,65,190,360,360,360,190,190
25,303,102,334,418,162,179,119,6,719,651,651,121,319,35,35,80,755,91,539,197,80,178,539,404,404,185,178,292,178,80,121,337,80,179,80,80,121,528,121,121,265,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
26,420,275,456,726,480,647,578,811,31,87,748,287,543,120,23,748,225,251,159,381,65,362,4,354,239,257,485,570,159,250,168,4,159,669,250,188,370,159,179,159,400,179,313,252,313,252,252,159,380,159,570,313,313,125,354,76
27,336,534,430,491,708,639,786,398,195,148,148,148,674,159,206,105,398,105,105,575,206,754,570,105,667,171,105,105,105,105,737,648,105,206,105,105,105,206,105,371,326,593,206,610,371,737,206,105,105,174,105,575,174,737,737,737
28,681,784,374,21,684,747,630,3,381,503,363,363,313,353,306,363,618,419,490,323,232,633,136,334,618,22,121,31,86,22,86,218,339,119,218,323,391,328,323,489,489,323,323,323,323,323,339,323,323,119,323,323,323,323,323,323
29,173,555,735,570,231,355,693,179,704,346,139,381,381,381,381,323,237,252,309,400,381,510,310,472,472,586,381,113,301,472,688,323,688,261,323,295,295,198,323,381,577,323,130,323,130,130,341,237,130,323,130,323,323,171,174,381
30,440,705,719,586,681,748,518,110,808,507,681,608,253,253,253,571,571,711,719,719,571,439,470,418,474,749,439,245,599,599,245,506,245,749,245,245,245,245,245,599,799,749,638,245,245,245,498,749,498,498,245,245,245,245,245,245
31,446,801,326,224,36,533,644,694,139,99,202,22,22,22,22,88,651,22,22,22,22,44,184,355,632,355,245,355,275,32,32,31,245,355,355,353,123,313,396,313,275,318,396,313,313,184,729,32,32,313,313,396,396,328,389,184
32,383,7,578,276,775,206,370,229,175,749,254,254,92,371,335,156,385,175,237,245,175,213,303,237,237,65,179,237,31,237,175,175,245,175,237,237,175,245,245,245,245,237,237,245,622,237,245,245,245,237,245,245,622,245,245,245
33,471,474,210,715,233,451,747,60,286,325,545,16,110,388,513,121,336,596,427,65,581,703,313,581,325,765,388,247,121,581,121,388,388,121,433,754,121,121,121,121,513,388,121,121,449,513,513,71,121,388,449,754,449,449,449,121
34,689,446,811,603,23,601,451,802,434,702,702,390,100,542,607,702,321,390,575,36,390,702,702,619,390,607,390,575,687,702,575,390,390,390,575,575,575,525,390,575,575,575,575,390,575,575,36,584,575,575,584,584,584,584,584,575
35,757,434,647,790,105,293,285,23,230,489,802,682,708,449,321,708,708,140,660,489,708,800,463,489,212,705,212,540,429,790,540,540,321,367,489,802,508,752,708,489,508,708,708,321,508,596,318,660,489,489,508,508,508,128,489,508
36,31,7,486,680,712,714,647,134,648,521,741,395,47,47,187,47,207,448,80,346,346,346,269,183,372,169,346,618,313,313,313,618,53,195,80,113,113,313,80,80,231,313,80,23,312,60,247,169,80,169,239,231,184,231,80,80
37,71,484,275,400,316,126,579,393,407,133,82,551,690,119,84,13,356,789,690,160,407,690,53,690,551,459,745,385,45,400,183,13,82,211,318,82,317,317,489,353,459,160,379,459,459,206,159,459,133,82,489,44,119,44,44,489
38,763,20,249,403,234,652,16,752,321,333,316,68,51,789,459,795,157,321,82,321,321,20,20,321,183,558,82,338,321,321,313,313,313,82,183,704,107,107,795,795,163,163,317,394,259,379,317,107,163,107,417,163,417,345,394,345
39,360,640,3,570,555,742,495,19,129,54,572,334,60,129,220,220,387,88,88,334,220,784,30,129,129,129,129,129,129,79,129,129,389,174,256,129,129,496,440,440,340,340,340,387,98,340,387,340,0,646,340,340,98,440,24,31
40,92,356,633,538,732,262,802,21,273,241,583,80,592,0,538,238,381,651,592,592,0,220,220,220,220,220,487,185,220,220,220,220,54,512,224,220,224,697,213,224,224,538,325,538,538,224,24,224,216,224,224,224,325,224,187,224
41,494,689,402,527,276,268,123,153,266,285,221,287,145,402,657,145,85,180,352,307,352,778,124,226,244,25,138,204,783,244,154,221,226,221,226,226,244,771,344,135,408,25,344,135,431,89,25,344,25,25,348,783,549,344,344,344
42,231,773,205,791,287,749,131,756,365,504,266,33,533,533,69,69,533,111,633,633,131,246,647,131,131,647,647,250,781,131,69,131,647,131,187,348,69,69,111,111,131,458,647,647,131,111,131,131,111,111,311,233,458,111,309,111
43,34,6,171,273,263,281,404,237,237,91,92,79,169,269,31,269,88,31,31,11,31,463,404,224,237,404,297,237,269,11,224,269,404,269,224,224,224,347,224,224,224,224,224,6,190,224,224,224,224,224,224,224,224,224,11,224
44,473,313,137,356,247,758,111,386,213,749,28,53,28,28,28,28,169,292,137,28,28,28,171,28,28,137,326,28,28,326,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,262,28,28,28,28,28,28,28,28,28,28
45,382,310,372,778,615,4,66,596,161,130,259,130,130,130,130,130,130,130,130,285,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,429,14,192,581,422,196,69,369,229,168,394,394,319,81,317,173,349,778,175,175,8,317,44,72,345,293,133,72,335,317,317,317,168,126,345,335,335,335,113,335,587,317,107,84,333,70,333,345,583,305,587,113,113,113,70,66
47,282,429,231,778,322,121,385,605,66,292,34,36,800,66,318,318,318,34,148,281,34,309,32,309,21,272,322,235,190,257,34,34,34,309,34,34,34,729,20,34,335,34,34,190,34,34,34,335,34,34,754,34,754,729,754,729
48,51,385,577,807,187,458,592,335,382,117,174,314,22,159,107,99,159,673,14,241,353,354,132,32,241,353,248,248,248,318,248,353,353,318,14,248,14,353,14,248,14,353,353,14,14,14,353,353,14,14,119,353,248,119,399,119
49,319,763,256,214,654,682,488,133,386,3,368,208,166,292,317,480,306,321,96,96,208,113,130,317,130,130,295,380,243,735,651,96,295,659,651,651,96,96,651,651,295,295,295,651,651,651,96,295,81,651,113,113,81,113,96,229
50,145,75,34,6,161,457,79,119,571,21,309,285,140,140,140,257,148,161,318,318,22,202,189,34,140,21,78,318,22,318,22,78,119,21,385,385,318,256,318,119,119,21,318,21,119,257,385,318,140,318,385,385,257,256,318,318
51,366,161,11,303,75,237,303,593,575,657,576,484,319,88,308,297,340,0,30,340,30,243,187,339,463,187,75,30,6,319,319,30,645,256,190,256,789,261,196,789,409,789,308,159,196,789,248,256,789,248,248,361,361,361,243,307
52,256,115,778,744,363,698,318,805,743,626,619,592,255,693,255,15,308,53,53,192,366,773,319,693,633,360,623,647,192,623,192,73,243,335,613,53,517,243,224,243,241,241,517,225,225,581,318,257,318,225,248,318,318,192,709,517
53,273,177,139,231,457,21,40,335,70,191,213,213,191,283,152,283,329,281,105,49,206,7,208,281,281,254,191,197,129,281,281,327,495,281,287,327,78,254,281,283,129,281,281,156,156,334,281,281,281,281,281,281,223,327,223,281
54,394,493,384,467,705,771,684,787,373,394,732,408,14,62,85,130,408,459,466,771,777,110,110,172,180,62,180,605,530,530,199,583,530,735,530,56,56,168,180,56,678,56,56,704,56,779,779,56,56,159,704,167,167,704,167,159
55,37,91,177,252,744,138,290,307,347,734,289,115,622,325,469,641,323,162,162,641,641,82,338,622,72,516,469,162,469,162,162,641,114,162,734,162,641,114,114,114,114,114,162,734,114,734,734,114,114,162,72,734,734,734,734,734
56,81,184,248,51,123,82,230,249,469,126,41,176,133,168,638,168,676,703,34,183,168,701,123,123,676,690,211,690,183,676,123,123,37,107,123,345,524,123,524,270,123,123,524,558,133,524,133,123,107,403,133,133,133,270,107,345
57,38,762,404,329,605,619,312,633,596,293,596,19,189,187,187,189,570,223,189,189,189,312,189,189,596,189,189,189,189,189,189,159,189,223,189,748,189,570,329,189,570,189,189,416,303,303,303,570,303,329,269,54,303,303,6,189
58,40,263,773,86,22,295,193,394,177,805,446,241,463,45,382,177,193,14,463,678,278,463,177,463,177,313,356,348,313,313,115,313,313,348,208,356,45,337,45,45,45,45,45,313,45,313,337,45,45,313,45,45,45,45,45,45
59,405,96,310,259,717,786,159,212,293,293,747,274,274,274,274,345,274,317,605,345,376,259,159,293,403,159,317,376,403,400,400,387,403,380,403,126,403,387,44,308,44,143,308,760,380,222,126,44,380,274,259,387,259,380,126,175
60,79,6,634,263,78,809,539,325,487,36,386,174,543,36,362,543,185,584,381,36,36,386,443,36,36,36,36,362,362,36,644,36,258,699,584,548,594,667,548,667,667,446,584,584,548,548,446,584,548,548,548,548,548,548,548,548
61,218,306,65,435,709,658,470,712,170,53,250,30,65,150,144,340,636,543,250,150,30,250,372,372,372,243,362,567,250,29,29,250,250,42,30,53,95,367,250,95,243,390,95,367,567,774,774,250,543,567,390,95,150,774,362,250
62,763,810,157,584,289,693,93,100,187,187,774,245,149,466,634,532,578,149,347,525,52,214,539,532,594,203,629,629,95,532,594,362,203,634,634,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,400,702,375,577,729,496,630,293,99,382,58,74,181,188,99,99,40,356,99,99,335,376,489,341,119,335,119,32,20,86,179,179,221,284,32,119,179,335,179,335,179,179,179,335,32,335,335,248,335,335,335,335,335,335,335,22
64,446,625,550,631,157,745,414,784,19,222,222,179,179,245,308,179,547,264,166,243,79,256,264,256,366,12,256,256,256,166,166,220,334,166,256,166,256,220,257,257,404,256,257,346,281,346,257,190,366,366,404,257,174,257,346,366
65,26,446,440,809,511,614,224,147,309,486,105,174,174,147,105,105,309,174,174,174,105,104,224,224,28,105,105,239,105,105,269,105,269,360,224,224,105,105,224,174,269,174,174,269,174,105,269,174,174,269,269,174,174,269,174,174
66,657,73,484,221,160,33,71,729,107,20,533,118,272,333,82,235,333,189,333,195,433,333,149,102,205,433,269,433,189,333,102,433,333,333,192,333,333,235,12,179,333,179,12,328,179,74,333,357,179,74,12,235,179,179,179,328
67,142,58,240,633,800,309,43,745,366,334,53,256,363,263,808,480,159,433,187,429,187,321,633,431,415,219,613,219,285,399,400,219,140,689,780,492,492,780,393,780,219,263,263,129,20,263,129,263,69,515,23,67,780,129,67,129
68,159,499,304,347,321,168,364,517,339,388,133,275,133,421,87,18,84,788,87,99,32,99,206,314,18,137,388,388,267,133,84,18,159,159,87,267,18,87,267,84,18,18,18,317,99,317,159,541,18,18,353,316,353,296,44,317
69,581,367,321,541,321,752,225,493,682,596,671,713,127,381,275,408,768,411,160,321,59,168,671,168,126,376,160,400,160,126,160,168,84,229,181,181,51,145,145,145,145,703,145,145,399,99,229,222,145,145,141,141,145,145,141,99
70,629,800,283,197,741,183,41,515,272,714,587,314,127,177,127,127,249,682,660,249,253,551,51,682,143,115,728,127,127,524,292,682,127,587,321,127,127,181,127,181,127,127,127,804,145,804,181,127,127,181,181,181,181,181,181,181
71,297,730,240,335,329,693,345,208,5,65,5,374,361,293,361,293,159,184,159,293,293,5,5,196,196,159,159,5,293,5,159,159,5,361,293,159,159,159,159,159,159,5,293,159,159,159,222,159,159,159,159,159,159,159,159,293
72,565,137,688,391,450,517,401,175,297,7,358,768,7,156,268,111,712,373,7,256,164,245,7,140,358,136,7,49,7,7,49,358,358,358,136,136,136,140,136,71,49,136,136,136,71,487,71,256,136,256,136,136,136,6,71,292
73,303,0,581,811,599,56,365,558,788,736,779,85,697,791,610,779,797,245,788,610,788,504,474,748,435,779,779,110,483,455,610,433,398,148,513,513,184,807,320,610,610,464,504,504,807,320,320,433,320,320,610,320,320,320,38,204
74,312,522,778,737,64,463,591,154,609,165,88,34,154,34,155,34,62,673,250,46,98,43,459,250,325,244,250,244,244,244,244,250,244,326,244,204,250,250,250,250,244,326,326,250,250,154,250,244,244,204,244,250,244,244,244,250
75,319,115,584,585,5,463,645,293,576,293,800,492,307,307,596,146,157,558,157,146,724,608,146,146,65,157,724,146,724,724,157,157,724,109,157,157,724,225,157,269,157,724,157,225,269,146,724,775,280,157,280,280,157,280,269,146
76,49,282,501,132,232,568,64,602,309,332,247,444,444,220,494,298,370,64,64,64,220,206,773,79,354,388,370,247,158,309,309,79,539,158,158,158,158,332,158,332,171,332,332,171,332,371,171,465,171,171,332,371,171,371,332,171
77,705,494,17,385,92,302,308,491,0,189,83,469,8,469,771,771,60,314,734,704,632,697,114,467,678,469,469,771,132,469,633,586,715,633,220,633,633,771,469,494,715,96,469,171,469,132,735,132,469,132,166,132,132,735,166,132
78,64,34,679,10,253,247,64,193,31,92,348,132,34,64,358,358,132,686,64,64,64,64,64,64,64,389,64,57,64,64,64,64,64,64,64,64,64,155,74,64,64,64,111,204,64,64,64,64,64,204,389,155,781,298,155,1
79,700,111,3,687,723,64,578,440,34,389,64,645,11,38,320,121,389,38,409,389,64,57,43,577,83,64,172,62,397,64,116,132,64,65,43,65,43,64,64,64,64,64,64,64,64,204,38,64,64,64,64,64,64,64,64,64
80,367,519,373,157,516,511,604,506,678,593,110,233,388,388,387,387,141,135,166,245,17,369,211,317,696,245,476,245,506,245,245,424,186,184,387,245,245,17,17,17,317,271,506,17,17,17,17,317,17,17,17,17,17,17,17,17
81,325,346,297,30,626,416,11,185,273,12,166,130,346,346,257,346,174,257,174,30,346,484,23,23,40,366,366,23,174,366,174,346,366,366,366,379,174,174,174,174,379,379,174,366,366,379,174,379,366,366,366,366,366,42,366,366
82,206,387,714,149,79,238,237,190,220,104,149,104,190,339,190,190,346,7,190,297,190,547,237,190,224,19,19,547,334,347,334,149,334,334,334,334,35,220,334,131,190,220,220,220,35,220,98,220,98,220,131,591,220,220,131,28
83,9,807,104,539,594,584,784,514,683,514,522,511,749,749,746,619,613,524,524,693,677,446,522,88,192,237,357,387,387,203,791,0,132,0,791,791,791,791,791,791,491,197,791,197,237,791,197,197,791,791,791,791,791,185,237,237
84,458,381,80,322,470,157,685,375,207,523,236,575,567,790,106,106,251,187,189,313,481,806,695,400,506,570,480,481,481,377,481,207,496,481,293,189,400,207,293,481,400,481,400,44,293,481,251,481,481,251,251,107,107,380,251,251
85,355,790,65,484,58,595,160,393,355,150,484,393,393,393,393,393,393,393,393,393,393,371,393,393,371,393,393,126,393,355,393,393,393,371,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
86,705,128,480,317,304,745,14,353,143,126,248,222,317,34,293,284,361,379,275,393,317,41,133,44,248,293,317,671,317,293,317,356,356,248,293,317,317,318,181,293,317,317,317,317,293,293,318,20,317,317,293,318,318,318,222,380
87,8,800,131,385,129,274,619,72,86,373,403,107,355,355,393,259,72,570,259,308,259,403,403,605,259,259,259,259,355,183,393,403,355,72,393,259,393,403,393,393,355,403,393,393,259,259,393,259,259,393,259,393,126,259,393,376
88,285,356,181,89,150,644,126,143,698,206,222,160,107,222,74,428,222,206,685,794,293,107,222,222,278,421,32,313,66,222,66,790,805,206,222,805,66,618,181,805,66,41,66,618,66,66,618,66,222,618,66,618,66,66,618,66
89,78,491,271,435,431,668,110,794,608,250,608,315,287,88,431,217,229,771,406,406,771,377,226,244,221,311,664,33,33,778,406,55,406,377,74,377,397,664,664,664,68,377,377,401,750,750,672,180,519,201,750,377,519,519,519,519
90,283,330,102,76,89,316,293,33,321,288,353,355,317,72,123,59,72,126,126,126,72,288,168,376,168,99,126,8,126,317,168,376,168,353,376,370,317,168,8,259,168,126,8,403,403,317,403,376,278,72,376,376,376,403,403,376
91,463,13,391,459,314,393,248,82,115,341,316,351,119,296,704,156,84,403,382,288,382,288,336,403,82,336,365,365,316,316,316,175,382,275,345,649,738,259,317,99,296,89,84,317,84,317,738,175,382,738,278,278,317,66,183,317
92,32,338,795,226,477,320,605,259,72,72,320,72,72,167,259,72,400,403,259,259,259,403,376,403,288,382,376,403,288,376,126,403,259,317,259,259,259,259,259,259,259,317,259,259,259,259,376,107,259,72,259,259,259,259,259,259
