ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55
0,321,177,321,351,351,494,290,6,677,189,35,619,95,485,495,131,131,314,171,131,49,131,49,78,648,648,648,648,648,648,78,78,78,78,105,437,577,377,100,100,105,105,377,105,105,100,377,543,543,377,377,377,377,377,377,377
1,141,321,45,631,798,635,417,790,809,682,682,192,73,547,275,334,225,225,308,780,645,248,274,347,693,693,175,400,400,400,400,552,742,552,552,693,693,310,322,125,570,570,570,570,570,570,570,570,570,188,188,188,188,376,376,780
2,584,698,42,147,166,634,365,658,381,22,743,810,346,394,491,758,480,346,346,480,381,86,472,758,60,723,60,346,346,712,520,520,712,712,601,346,86,86,86,86,86,86,712,231,231,231,231,231,712,0,303,12,53,712,12,12
3,215,19,346,295,41,784,190,131,6,308,518,132,714,547,106,106,106,106,106,269,193,169,179,23,80,80,171,486,193,193,193,193,193,193,193,193,6,6,131,193,6,193,193,131,131,6,6,131,347,347,334,347,347,347,347,347
4,42,42,414,256,760,460,293,174,66,208,246,433,270,758,758,301,758,312,312,346,765,27,367,23,287,80,80,213,213,80,80,80,80,381,758,161,257,554,257,257,257,257,257,257,257,257,257,257,257,257,257,257,381,381,381,381
5,675,648,700,601,712,371,256,26,257,272,23,366,213,272,149,366,140,23,23,285,162,213,366,287,712,712,669,669,366,669,366,400,366,231,366,486,166,166,166,166,166,166,166,23,23,231,231,231,231,231,23,347,347,347,42,131
6,485,337,123,264,329,3,147,586,32,190,190,71,487,177,381,31,5,191,746,746,31,746,294,191,191,147,303,303,303,31,31,31,111,31,231,269,231,231,23,225,334,105,309,111,24,111,366,366,366,366,49,366,366,366,366,213
7,658,23,539,91,458,337,329,698,500,491,457,319,391,34,268,580,580,23,19,23,34,268,416,169,580,203,773,580,594,594,577,768,792,773,773,792,773,518,773,580,693,693,518,518,693,657,342,203,712,776,366,53,784,303,303,303
8,346,329,347,337,293,746,708,177,479,594,499,371,6,6,231,257,23,14,6,714,463,80,231,764,764,392,42,6,290,722,722,722,257,257,257,800,257,395,257,395,800,257,395,362,395,23,362,23,281,257,281,281,281,395,395,384
9,515,782,725,536,515,260,10,192,753,741,170,753,663,508,283,753,515,508,753,550,550,508,753,219,550,515,515,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,508,753,753,753,508,508,753,508,508,508,508,508,508,508
10,493,493,121,20,557,110,129,527,459,240,71,389,389,433,389,440,214,380,380,524,284,253,666,666,666,494,494,618,136,638,787,136,599,638,529,435,529,529,618,599,599,599,599,599,599,448,777,448,448,448,777,71,71,599,71,490
11,418,418,175,19,361,427,256,437,35,245,538,455,487,730,287,319,589,762,762,306,421,140,140,287,182,182,609,250,334,334,334,334,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
12,133,145,795,308,514,514,490,478,584,601,601,499,625,288,190,143,143,143,143,87,341,19,283,87,145,145,82,82,82,145,145,145,3,97,97,97,97,548,97,97,97,97,97,97,97,3,3,259,259,259,259,259,3,3,3,3
13,137,39,806,446,3,770,657,657,514,677,256,5,269,19,500,174,79,366,374,797,87,794,264,264,794,264,264,264,446,264,264,264,264,264,264,264,264,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
14,32,378,170,224,207,245,216,191,554,254,192,371,81,385,366,378,308,778,778,778,778,778,177,773,462,462,462,462,773,773,757,773,757,757,757,757,264,264,264,264,264,51,264,264,264,264,177,177,264,264,264,264,264,264,264,264
15,273,364,364,437,712,686,301,455,364,308,247,102,290,377,247,247,247,57,391,361,187,225,140,140,140,140,487,213,50,140,140,689,689,250,437,437,340,225,78,225,225,225,225,78,78,78,78,78,78,78,78,78,78,78,78,78
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,597,89,89,188,21,132,723,274,462,669,669,4,147,505,273,273,49,661,208,208,261,310,208,273,809,809,280,109,280,280,208,208,154,543,543,186,162,162,186,21,244,21,186,244,208,273,273,328,328,328,49,49,49,21,49,49
18,3,314,66,309,334,289,713,295,68,28,169,132,603,541,541,211,211,211,519,309,211,325,68,256,130,256,256,319,149,319,149,257,257,149,149,713,140,140,713,713,148,713,713,713,713,713,713,713,713,713,713,713,713,713,713,651
19,578,578,578,223,206,223,658,132,132,35,43,111,262,384,287,326,472,6,12,6,78,223,53,491,491,491,329,502,53,264,264,264,264,264,12,264,329,12,329,329,250,250,111,223,223,223,162,162,162,250,250,250,100,100,100,100
20,88,30,240,309,491,274,764,491,263,660,489,584,165,95,88,274,780,774,170,88,480,194,804,385,301,339,636,507,754,182,91,584,603,301,464,130,130,105,182,182,86,86,86,86,86,53,53,53,182,182,182,256,256,100,100,100
21,808,808,408,614,389,185,779,368,368,578,744,432,427,456,512,340,577,347,769,590,756,718,340,54,54,512,340,512,507,507,507,507,512,662,662,512,86,105,807,610,440,578,578,578,578,578,578,491,578,491,578,578,578,724,578,724
22,572,758,192,377,687,283,553,73,159,3,190,528,185,40,299,727,253,554,412,203,793,459,510,581,166,13,203,203,203,203,203,493,493,493,493,370,493,493,493,211,493,211,211,211,211,211,211,211,211,211,758,758,758,758,758,758
23,791,791,705,507,204,185,155,11,204,43,651,334,718,661,252,334,644,464,718,31,512,512,43,512,371,334,479,74,74,313,371,74,661,661,493,28,340,297,649,598,229,368,368,598,754,568,368,598,368,368,791,368,598,568,791,568
24,147,147,644,58,671,12,478,580,602,411,635,168,522,522,303,543,540,580,303,211,5,722,671,656,275,751,274,669,656,59,669,669,669,196,196,669,669,196,196,196,196,10,301,412,65,65,3,3,360,360,360,360,360,360,360,360
25,303,303,303,7,432,337,329,91,691,713,604,472,91,231,319,319,319,319,319,543,34,34,281,281,187,170,80,170,80,80,80,80,80,80,80,78,231,202,202,202,202,202,202,80,136,170,80,80,80,202,80,80,80,80,80,80
26,370,364,193,523,105,647,523,151,636,727,803,804,144,143,301,414,251,252,6,523,430,430,647,487,647,487,491,491,285,239,239,251,239,192,120,239,239,255,487,487,239,136,6,255,6,254,780,780,252,252,459,570,6,6,254,6
27,34,224,181,622,195,789,339,454,468,398,604,601,468,575,468,468,430,148,575,575,575,575,575,593,580,593,468,345,345,345,159,593,159,159,159,414,414,414,371,737,737,737,575,737,737,371,371,371,371,206,206,326,371,326,326,326
28,289,457,243,88,586,374,359,289,684,379,459,190,328,693,693,381,328,225,744,459,383,547,475,475,395,147,329,329,329,329,91,281,281,80,21,21,286,21,21,195,490,218,678,489,490,328,489,450,489,328,328,328,328,328,323,136
29,243,457,243,491,384,680,712,238,629,491,503,323,661,661,491,214,171,171,306,306,586,586,306,306,306,328,328,586,586,586,306,306,507,586,586,586,634,586,586,586,297,297,507,374,688,437,323,323,323,323,323,31,381,130,381,130
