ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53
0,321,321,79,618,284,621,80,325,714,32,569,477,539,797,714,477,657,496,657,657,477,660,797,615,806,572,806,479,712,748,479,412,32,712,572,539,78,446,325,325,712,580,130,458,254,712,32,346,597,32,192,800,125,800
1,141,170,321,515,161,144,301,508,301,301,301,275,380,44,320,400,285,44,225,306,534,80,534,45,117,117,203,225,203,273,87,117,117,117,225,117,80,80,49,329,280,225,49,225,87,216,203,216,203,216,203,243,203,378
2,584,362,698,632,245,809,809,273,539,572,782,463,601,463,601,539,539,177,539,539,539,463,539,539,539,539,539,539,539,539,539,539,712,810,520,712,539,539,601,810,810,712,381,810,489,674,479,665,804,810,804,665,804,665
3,215,215,60,34,645,366,712,702,413,347,347,347,347,257,347,347,42,42,104,162,216,347,192,28,26,370,322,325,347,28,28,347,334,325,334,334,334,347,26,347,347,325,325,93,220,325,224,6,220,121,371,237,6,371
4,42,42,708,42,42,711,303,54,42,42,42,42,11,11,121,187,11,42,7,11,42,170,88,132,213,93,33,121,170,12,523,93,170,93,93,347,409,409,162,239,714,334,334,334,213,287,584,255,381,11,389,381,23,111
5,675,675,33,134,149,12,667,664,42,42,357,100,357,357,362,357,357,357,281,312,294,281,281,26,281,281,26,253,347,28,28,281,253,334,28,28,28,28,26,26,325,325,26,325,93,28,28,281,28,366,28,26,28,327
6,485,273,806,145,260,281,366,79,366,263,263,263,149,263,145,149,263,263,102,263,263,149,263,366,366,263,366,366,366,366,366,366,366,196,366,366,366,196,366,366,366,366,366,366,366,161,329,329,161,297,137,303,310,310
7,127,127,658,362,308,347,645,432,309,28,250,250,213,392,231,610,111,702,413,40,162,40,379,347,370,214,370,214,214,347,274,309,214,334,111,111,375,214,121,121,121,295,12,463,165,295,213,257,334,202,213,339,202,334
8,175,800,177,674,149,810,792,295,406,256,367,281,342,273,295,609,576,609,103,103,281,103,190,281,256,342,19,381,346,342,446,763,295,342,342,342,714,342,256,342,256,342,12,256,256,256,19,256,19,19,257,19,295,19
9,515,760,811,702,106,60,60,326,79,397,485,31,121,62,10,798,62,543,250,391,520,255,250,458,151,154,468,808,468,679,137,417,724,679,775,264,714,692,775,775,775,775,534,759,129,775,606,34,534,759,606,74,250,250
10,493,493,282,727,615,119,184,374,691,741,65,229,198,198,404,198,695,198,804,198,459,119,332,236,198,198,198,510,588,459,219,493,510,493,588,386,588,65,493,588,588,368,31,21,800,31,555,368,678,800,800,25,86,205
11,245,220,71,418,108,247,34,293,251,225,241,145,573,147,136,808,570,808,182,347,214,182,808,214,214,182,182,182,214,182,570,182,89,182,182,182,182,115,148,182,148,89,89,182,182,333,381,182,381,381,381,381,381,381
12,412,259,259,632,3,162,156,241,613,613,613,613,613,613,613,613,613,613,165,747,613,613,613,613,592,613,729,613,613,129,326,592,729,129,729,129,729,729,97,729,729,729,335,729,97,97,97,97,97,349,349,245,779,97
13,137,137,73,68,255,713,583,51,87,23,23,285,23,285,285,285,196,3,80,196,196,87,208,82,196,196,82,75,263,156,414,156,125,4,581,414,125,82,340,24,24,327,340,337,340,87,103,327,75,75,327,148,148,327
14,322,32,89,446,421,365,208,86,86,105,139,86,0,105,141,264,264,337,157,264,400,157,264,400,157,157,157,243,157,157,157,157,208,157,157,400,400,208,157,208,157,139,139,337,5,337,378,337,337,346,378,400,378,346
15,364,265,265,143,735,677,677,170,170,360,360,686,360,360,6,139,303,121,346,313,313,362,313,203,54,297,139,339,30,675,367,30,675,339,54,54,54,269,368,214,269,784,520,214,41,362,41,247,23,23,346,103,346,303
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,597,597,270,32,149,149,347,273,647,400,273,273,273,87,273,87,194,51,273,194,53,87,49,49,273,503,53,49,53,53,87,273,87,337,366,51,337,53,273,273,49,53,49,257,49,179,53,179,53,53,225,49,53,225
18,314,314,379,3,170,309,206,190,23,375,375,375,325,174,174,806,806,806,208,806,23,806,806,23,325,23,806,651,318,318,41,806,149,318,308,318,41,444,41,339,806,806,806,60,806,140,41,806,325,60,41,257,41,41
19,578,578,809,578,129,40,42,231,60,274,567,604,554,554,554,547,192,42,702,42,547,702,547,547,42,547,95,774,547,95,702,702,547,547,702,413,547,547,413,547,774,774,774,413,547,547,547,774,547,721,104,42,547,523
20,684,88,88,271,255,256,54,54,54,458,601,54,54,54,458,54,147,147,404,147,458,147,147,580,362,362,462,601,601,147,147,404,601,601,404,404,601,601,601,404,404,601,30,381,601,381,601,381,381,584,362,105,347,362
21,808,808,808,557,600,724,706,718,706,724,724,437,724,724,724,724,724,724,440,724,724,437,437,413,437,749,437,749,724,437,724,799,650,761,440,724,418,598,368,507,761,779,761,761,761,368,368,696,368,368,368,368,368,368
22,388,758,89,380,130,60,162,269,65,65,290,100,170,65,373,310,189,310,100,310,417,310,46,73,321,292,513,399,447,593,513,32,365,32,593,105,513,105,274,593,513,173,173,307,135,545,303,274,397,354,62,510,754,669
23,337,510,337,558,313,799,502,755,437,556,598,68,755,737,598,778,661,549,173,512,173,173,173,173,173,791,173,719,173,602,602,602,791,502,602,602,602,602,602,602,435,602,638,435,602,718,602,638,663,435,552,718,602,602
24,370,92,147,89,137,89,252,310,388,388,388,137,38,10,358,325,106,210,210,309,295,192,466,189,189,189,193,193,800,189,189,117,117,189,193,141,189,171,308,193,308,49,193,193,205,189,189,88,278,255,141,320,250,270
25,303,303,271,586,303,166,303,262,166,262,108,33,243,33,80,243,252,243,498,8,252,236,363,69,156,659,156,595,31,393,101,414,118,108,125,343,243,254,234,414,625,625,625,732,472,233,657,740,472,255,80,217,200,80
26,370,399,69,275,275,40,516,322,766,766,353,292,292,766,44,188,292,292,292,354,44,44,44,44,270,117,44,570,44,44,44,243,137,137,180,587,730,292,20,136,253,119,292,555,353,286,119,358,313,734,280,217,44,44
27,149,149,149,479,45,481,722,379,474,711,337,625,613,711,346,711,6,346,23,613,613,590,613,23,775,346,479,224,19,633,47,641,119,224,19,203,19,203,556,323,633,26,26,19,19,23,633,633,633,23,303,257,23,303
28,289,289,657,289,490,448,490,419,314,472,472,385,590,103,730,489,450,450,59,766,621,766,283,313,59,129,551,97,698,129,714,53,129,129,130,162,595,621,162,732,683,427,65,65,385,138,766,333,158,158,338,595,59,555
29,243,457,457,243,111,31,11,204,804,320,58,88,58,58,78,58,323,219,100,729,58,103,347,31,150,54,323,687,150,281,150,150,323,281,171,150,366,150,323,366,150,150,381,224,281,323,213,257,213,213,381,150,190,347
30,454,454,64,199,789,440,761,697,638,783,521,519,469,571,83,145,519,593,593,673,673,145,562,33,11,33,55,33,33,11,14,33,33,33,33,401,253,401,206,401,235,418,418,245,245,245,245,245,245,523,245,358,245,494
31,373,373,108,667,403,9,45,274,383,3,384,384,65,297,192,255,165,14,109,264,340,340,310,264,366,106,161,161,93,7,270,161,161,269,310,84,161,189,84,84,385,189,208,84,353,84,84,319,84,88,291,6,84,24
32,197,197,197,623,800,245,27,245,589,166,171,589,245,245,463,245,245,245,245,245,245,245,245,166,245,171,171,245,245,245,245,166,245,590,245,166,215,590,245,171,245,245,245,245,245,245,166,166,166,166,245,360,245,245
33,43,43,811,214,758,194,353,47,386,132,690,647,123,581,581,581,647,524,211,421,509,421,630,3,685,253,492,194,618,618,560,506,687,194,731,560,509,560,618,449,558,612,398,787,57,652,57,618,459,509,459,560,653,449
34,782,407,627,407,647,174,528,647,321,321,321,321,321,321,567,321,321,321,567,480,321,86,480,321,629,446,508,709,709,629,629,575,446,629,629,629,629,321,629,629,213,213,629,629,321,629,629,321,321,784,177,36,177,177
35,514,514,514,620,460,789,19,629,629,19,789,177,177,19,19,321,19,36,36,760,321,19,19,36,36,109,321,19,109,19,621,203,36,19,109,109,657,657,19,657,19,19,19,657,657,657,321,657,19,657,657,657,657,321
36,171,171,174,608,54,397,464,132,47,47,47,47,47,47,371,25,318,318,318,318,318,104,47,47,104,104,104,104,104,104,104,104,104,106,104,104,106,106,104,104,224,104,224,224,34,224,224,104,104,224,12,34,241,12
