ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53
0,321,321,321,321,321,321,321,321,321,321,321,321,351,351,351,351,429,391,391,391,391,391,550,550,550,550,550,550,550,550,213,213,707,797,797,797,539,539,539,539,539,539,364,569,569,569,569,569,569,569,569,569,32,32
1,141,141,141,141,141,141,141,141,141,577,69,69,165,165,165,165,165,116,116,116,116,116,116,336,336,336,336,336,336,336,301,301,301,301,301,301,301,301,770,79,800,329,329,329,75,75,303,303,303,676,676,676,676,676
2,631,601,631,584,631,631,698,698,698,784,784,601,601,601,601,601,601,601,601,601,607,607,607,607,607,313,313,313,313,607,607,770,203,203,572,572,572,572,572,572,572,572,572,751,751,751,149,23,23,23,41,41,41,41
3,360,78,78,78,215,215,215,60,60,60,174,174,174,174,174,174,174,174,174,174,174,406,406,406,406,406,6,6,6,6,6,6,250,464,392,392,392,340,28,28,28,28,28,28,28,347,347,347,347,347,347,347,347,347
4,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,111,111,54,54,54,54,54,372,132,132,396,396,654,650,650,650,650,686,658,136,136,136,512,512,121,384,384,384,584,584,584
5,675,675,675,675,675,675,675,675,675,675,675,675,675,366,366,258,258,258,258,258,601,486,486,486,422,486,601,601,601,601,31,31,31,11,312,312,383,383,193,193,193,193,193,28,28,28,347,347,347,347,347,347,347,347
6,145,485,485,485,485,485,806,806,806,806,806,806,468,468,468,468,91,91,91,91,91,91,41,41,41,41,41,143,806,806,143,301,301,301,143,143,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366
7,766,766,19,19,127,127,127,127,127,548,548,548,548,615,451,397,397,397,397,493,395,395,395,395,30,30,155,98,98,98,547,547,547,36,36,36,36,36,36,489,489,489,489,115,360,360,360,360,360,360,360,360,339,295
8,346,346,346,346,652,652,656,656,656,656,177,177,177,177,177,177,177,177,177,177,177,177,177,177,229,150,150,150,712,712,712,712,712,712,712,712,712,712,712,712,792,792,792,792,109,109,109,109,256,256,256,256,256,256
9,515,515,515,515,515,515,515,515,515,760,760,760,760,348,348,348,348,216,216,216,216,628,628,216,216,216,647,647,647,647,647,647,647,409,409,409,409,409,409,409,515,515,515,693,693,693,487,417,417,417,417,417,417,417
10,493,493,493,493,175,175,175,175,175,175,175,175,175,175,756,756,756,756,756,756,756,493,493,493,493,629,629,629,629,629,629,198,198,198,198,198,198,10,65,254,254,254,254,254,254,254,198,198,198,198,198,198,198,198
11,418,418,418,418,418,418,418,418,406,406,406,406,406,406,406,406,406,406,567,567,567,567,567,567,521,521,521,521,779,334,334,334,781,166,166,166,312,591,591,591,591,591,591,591,136,136,136,136,591,591,333,333,333,333
12,133,133,133,133,259,259,259,259,259,259,139,139,139,139,84,373,373,373,393,393,393,393,393,393,393,393,393,393,393,393,84,84,107,107,107,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729,729
13,325,137,137,137,137,73,73,73,73,73,73,73,73,73,73,73,73,73,320,320,320,320,320,320,325,221,664,664,221,23,23,23,23,23,23,23,23,23,23,23,23,340,340,340,245,87,87,87,87,87,87,87,87,87
14,32,32,32,322,32,32,32,32,32,32,89,89,89,89,89,89,89,89,89,89,293,293,293,37,37,581,337,337,337,337,337,337,337,337,337,337,337,337,337,51,51,51,51,51,337,337,337,337,337,337,337,337,337,337
15,541,541,541,265,265,188,188,188,188,188,188,188,21,21,21,21,109,109,109,797,797,797,797,262,262,23,312,312,312,312,185,185,185,185,185,139,139,139,139,139,139,139,188,188,139,675,675,675,675,675,675,675,675,675
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,730,730,597,597,597,597,597,597,508,508,508,508,270,270,270,270,356,356,356,356,356,356,356,613,613,613,613,613,613,613,613,613,613,255,186,186,45,45,45,45,800,800,800,800,661,225,225,225,225,225,225,225,225,225
18,314,314,314,314,314,314,63,314,314,314,314,314,314,314,314,247,247,247,247,247,247,255,255,255,255,255,74,397,397,397,398,398,398,398,593,593,593,593,593,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
19,578,578,578,578,578,578,578,578,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,809,384,223,223,19,19,19,19,774,774,774,774,774,774,774,774,774,774,774
20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,96,96,96,96,96,58,58,312,312,312,482,482,784,784,784,784,784,129,129,746,337,174,174,601,601,601,362,362,601,601,601,147,147,147,381,381,381
21,808,808,808,808,808,808,408,408,667,667,667,667,667,667,667,667,667,667,203,203,507,507,507,507,507,507,507,724,724,724,724,724,724,724,439,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,623,623
22,572,572,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,513,513,513,513,513,513,513,465,465,465,199,199,199
23,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,590,590,590,590,590,590,778,778,778,778,325,325,325,603,603,603,603,603,730,730,173,173,173,173,173,173,173,173,437,437,623,623,623,623,549,549,549,602,602
24,370,370,370,370,370,313,313,313,313,313,313,313,313,143,143,143,143,143,143,143,143,143,660,660,660,660,406,406,753,753,74,74,74,74,74,128,128,128,89,89,89,89,189,193,193,193,193,193,193,193,193,193,193,193
25,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,646,646,419,419,311,311,311,311,311,311,271,271,271,120,120,120,120,120,120,120,120,329,329,467,467,467,57
26,370,370,370,370,370,370,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,275,492,492,194,194,607,607,607,607,141,141,377,379,379,379,555,740,740,44,44,44,44,44,44,44,44,44,44,44,44,44
27,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,5,5,5,5,115,115,115,115,115,115,480,480,667,667,667,667,667,667,667,667,667,667,667,409,409,409,409,409,708,708,708,19,541,541,541
28,289,289,289,289,289,289,289,289,289,289,289,289,657,657,657,657,657,657,657,657,698,698,713,713,713,713,19,19,19,19,19,295,295,295,295,257,257,543,543,125,125,125,125,125,59,59,59,766,766,766,766,766,766,766
29,243,243,243,658,658,658,658,658,658,658,658,658,658,658,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,367,367,367,19,19,19,19,506,506,203,203,203,318,318,182,182,366,366,366,366,366,366,366
30,454,454,454,454,454,608,608,608,608,608,608,608,608,608,608,68,639,639,662,662,662,662,662,662,697,697,266,84,84,84,761,761,761,761,761,62,68,68,68,68,68,68,68,673,55,55,55,55,684,684,684,684,684,684
31,14,14,14,373,373,373,373,373,373,373,373,373,373,373,426,632,632,632,632,632,632,340,340,340,340,340,340,319,53,53,195,195,143,143,143,309,309,309,208,208,208,208,207,207,207,131,131,131,131,161,161,161,161,161
32,197,197,197,197,197,197,197,197,197,651,651,509,509,509,509,509,509,509,509,509,704,704,704,704,704,389,389,389,389,389,389,651,651,584,584,334,334,334,334,334,46,46,46,471,471,348,348,348,166,166,166,166,166,166
33,194,194,194,214,214,214,214,214,214,214,214,214,214,194,194,194,194,194,194,194,194,194,318,318,318,318,318,264,264,264,264,264,264,216,216,308,809,809,809,809,809,365,128,618,618,618,618,618,618,618,618,618,731,731
34,174,174,407,407,407,407,407,407,407,407,407,407,626,626,626,626,626,626,626,626,728,728,701,701,701,722,722,722,722,722,722,722,722,128,128,128,128,128,128,128,128,321,321,321,321,321,321,321,321,321,321,321,321,321
35,514,514,514,514,514,514,514,514,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,407,407,703,703,703,703,703,703,588,588,581,581,581,581,19,19,19,19,19,19,19,19,19,19,19,657,657,657
36,171,171,171,171,171,171,171,171,171,174,174,174,174,174,601,601,169,47,47,47,47,47,47,132,132,132,132,132,132,132,132,47,47,47,47,47,47,47,47,47,47,47,47,238,104,104,104,104,104,104,104,104,104,104
