ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53
0,252,252,252,3847,3847,3847,3847,1554,90,90,90,90,90,90,189,1777,1777,1777,1777,1777,1777,1777,1777,2187,2187,2187,2187,2187,2187,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2882,2882,2882,6981,2882
1,3847,3847,3847,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,189,189,189,189,189,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2407,2407,2407,2407,1242,2427,2427
2,2725,2725,2725,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,189,189,189,189,189,189,189,189,189,189,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,397,397,2882,1858,2764,2764,2764
3,252,252,252,252,252,252,252,379,379,379,379,379,379,379,379,1742,844,844,844,844,844,844,2187,2187,2187,2187,2187,2187,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,397,397,1147,1147,1147,1147,1147
4,2725,2725,2725,2725,1225,1225,3817,3817,3817,3817,3817,3817,3817,5204,5204,5204,5204,5204,5204,5204,5204,5204,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,397,397,397,397,2921,1858,2061,3054
5,252,5291,5291,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,5981,5981,5981,5981,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,3229,3229,2200,3229,3229,3229,397,397,397,1147,1147,1147,1147,1147
6,908,2725,3161,6383,6383,6383,6383,6383,6383,6383,6383,2725,2725,2725,2725,2725,2725,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,397,397,397,1307,1307,1499,1499,1499
7,252,252,252,6383,6383,6383,6383,6383,6383,6383,6383,6383,90,90,189,189,189,189,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2160,1333,1333,1333,1333
8,2188,1182,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,189,189,189,189,189,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2574,2574,2574,1027,1027
9,3847,3847,3847,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,189,189,189,189,189,189,189,189,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,3083,6234,6981,5495,5495
10,5473,5473,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2850,2850,5204,5204,5204,5204,5204,5204,5204,5204,5204,189,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,3083,3083,3083,3083,2187,933,933
11,5473,4899,4899,4899,6383,6383,6383,6383,2365,2365,2365,2365,2365,2365,189,189,189,189,189,189,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,1061,1061,1061,1061,1061
12,2922,2922,2922,6383,1847,1847,6383,6383,6383,6383,6383,6383,5862,5862,5862,5862,5862,5862,831,831,831,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,4106,4106,4106,2194,2194,2084,2084,2084,2084
13,1808,1808,1808,3091,4851,1847,1847,1847,4851,6383,1554,1554,1554,430,430,2235,2235,2235,2235,5271,5271,5271,5271,2187,2187,2187,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2194,2194,2194,2381,2381,2381
14,6366,6366,1847,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,189,189,189,189,189,189,189,189,189,189,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2407,2407,2882,2882,2882,2882,2882
15,1061,1061,1061,3847,3847,3847,3847,3847,3847,3847,3847,2365,5271,5271,5271,5271,5271,5271,5271,1777,1777,1777,1777,1777,1777,1777,2187,2187,2187,2187,2187,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,397,397,397,397,397,397,397,397,1705,1705,1705,1705
16,252,252,6383,6383,6383,6383,6383,6383,6383,4899,4899,4899,4899,4899,4899,4899,4899,189,189,189,189,189,189,189,189,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,3229,3229,3229,2407,1069,1069,2882,2939,2939
17,1061,1061,1061,3847,4899,4899,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,189,189,189,2187,2187,2187,2187,2187,2187,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2407,2407,2882,2882,2882,2882
18,6268,6268,6268,5300,5300,4361,4361,4361,4361,4361,4361,4361,4361,4361,4361,2175,2175,2175,2235,2235,2235,1662,2187,2187,2187,2187,2187,2187,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,2187,2187,2187,3400,1519,1519,1519,1519
19,3847,3847,3847,3847,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,189,189,189,189,189,189,189,189,189,189,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,3229,3229,3229,3229,3229,3229,3229,851,851,851,851
20,3847,5473,3847,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,2365,189,189,189,189,189,189,189,189,189,189,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,397,397,397,397,539,539,539,539
21,5473,2725,2725,4124,3857,3857,3817,3817,3817,3817,3817,2365,2365,3949,3949,3949,3949,3949,3949,3949,3949,3949,3949,3949,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,5279,5279,5279,5279,5279,5279,3949,6709,6709,6709,5050
22,3847,3847,3847,3847,3847,4210,4210,4210,4210,2365,2365,2365,2365,2365,2365,2365,189,1777,1777,1777,1777,1777,1777,189,2187,2187,2187,3229,3229,3229,3229,3229,3229,3229,3229,3229,3229,2200,2200,2200,2200,2200,2200,2200,2200,2200,3083,3083,3083,3083,4292,4292,4292,2672
