Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	0	0.0	4.374	7.237	1.117	0.0	4.872	5.934	0.937
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	1	0.0	4.099	6.653	0.955	0.0	4.505	5.639	0.829
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	2	0.0	3.339	8.06	0.871	0.0	3.628	7.638	0.852
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	3	0.0	2.907	14.427	1.497	0.0	3.457	14.942	1.624
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	4	0.0	3.588	15.144	2.647	0.0	3.889	16.854	3.011
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	5	0.0	4.715	5.413	1.228	0.0	4.439	6.441	1.371
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	6	0.0	4.073	8.421	1.887	0.0	4.374	8.087	1.776
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	7	0.0	5.134	8.049	2.214	0.0	5.042	8.451	2.269
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	8	0.0	5.697	8.845	2.594	0.0	5.605	8.514	2.501
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	9	0.0	6.037	7.802	2.313	0.0	5.749	7.639	2.231
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	10	0.0	6.43	8.683	2.659	0.0	6.155	8.634	2.585
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	11	0.0	6.194	8.661	2.618	0.0	6.09	9.207	2.779
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	12	0.0	6.509	8.893	2.758	0.0	6.496	8.877	2.744
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	13	0.0	6.718	8.781	2.791	0.0	6.247	8.39	2.646
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	14	0.0	6.273	8.737	2.786	0.0	6.365	9.068	2.818
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	15	0.0	7.019	9.408	2.995	0.0	6.181	8.93	2.809
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	16	0.0	7.15	9.551	3.13	0.0	6.744	9.111	2.887
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	17	0.0	7.163	9.738	3.201	0.0	6.496	9.869	3.179
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	18	0.0	7.111	8.74	2.861	0.0	6.482	9.569	3.052
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	19	0.0	7.19	9.735	3.31	0.0	6.666	10.675	3.399
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	20	0.0	7.163	9.364	3.145	0.0	6.299	10.055	3.264
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	21	0.0	7.412	10.18	3.533	0.0	6.888	10.099	3.277
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	22	0.0	7.91	10.621	3.628	0.0	7.072	10.46	3.395
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	23	0.013	7.844	9.918	3.533	0.0	6.954	10.914	3.62
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	24	0.0	8.041	10.264	3.685	0.0	7.098	10.347	3.469
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	25	0.0	7.779	10.584	3.836	0.013	7.438	10.914	3.673
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	26	0.0	7.988	10.976	3.987	0.0	7.124	11.126	3.745
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	27	0.013	8.185	10.984	4.009	0.013	7.399	11.429	3.922
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	28	0.0	7.975	10.187	3.771	0.0	7.425	10.856	3.755
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	29	0.0	7.687	11.197	4.11	0.0	7.268	11.424	3.959
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	30	0.039	7.609	10.508	3.839	0.0	7.137	11.092	3.795
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	31	0.0	8.028	11.036	4.01	0.0	7.177	10.987	3.75
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	32	0.0	8.106	11.65	4.354	0.0	7.792	11.918	4.11
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	33	0.0	8.277	11.786	4.417	0.0	7.674	11.918	4.18
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	34	0.0	8.041	11.564	4.283	0.0	7.137	11.493	3.972
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	35	0.013	8.198	11.775	4.466	0.0	7.491	12.015	4.252
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	36	0.0	8.211	11.625	4.391	0.0	7.91	11.582	4.088
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	37	0.052	8.617	12.126	4.653	0.013	7.622	12.555	4.408
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	38	0.013	9.416	11.99	4.754	0.0	8.656	12.113	4.411
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	39	0.0	9.416	11.683	4.593	0.0	8.578	12.169	4.417
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	40	0.0	9.599	12.06	4.679	0.0	8.63	12.727	4.555
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	41	0.0	9.534	12.421	4.935	0.0	8.539	13.298	4.953
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	42	0.0	9.822	12.523	4.966	0.0	8.84	12.49	4.644
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	43	0.0	9.403	12.18	4.805	0.0	8.617	12.685	4.709
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	44	0.0	10.084	12.42	4.951	0.0	8.735	13.327	4.98
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	45	0.0	9.691	12.93	5.203	0.0	8.185	12.636	4.754
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	46	0.013	10.267	12.46	5.064	0.0	8.866	13.701	5.203
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	47	0.013	10.018	12.416	5.093	0.0	8.447	12.651	4.742
convit_base	configs_multi/convit_base/config_convit_base_MagFace_SGD.yaml	222	48	0.013	10.175	12.575	5.164	0.0	8.853	13.493	5.2
