Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	0	0.0	6.81	45.826	8.399	0.0	5.5	39.642	7.277
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	1	0.0	5.644	12.532	2.123	0.0	4.715	10.984	1.789
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	2	0.0	10.726	10.781	3.574	0.0	9.036	10.266	3.227
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	3	0.0	17.954	13.285	6.031	0.0	15.453	12.67	5.33
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	4	0.0	28.117	16.796	9.403	0.0	23.075	15.013	7.494
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	5	0.0	39.17	22.423	14.841	0.0	30.422	17.593	10.045
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	6	0.0	48.35	30.287	23.035	0.0	37.218	21.177	13.482
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	7	0.0	57.569	36.974	32.239	0.0	43.033	27.046	18.956
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	8	0.0	66.514	40.742	40.017	0.0	49.515	33.845	26.246
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	9	0.0	73.599	42.494	45.896	0.0	55.906	39.375	33.754
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	10	0.0	78.916	43.219	50.281	0.0	62.127	42.862	40.227
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	11	0.0	82.858	43.438	53.487	0.0	67.496	44.715	45.352
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	12	0.0	85.817	43.466	55.868	0.0	73.193	45.609	49.281
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	13	0.0	88.266	43.369	57.711	0.0	77.252	45.971	52.243
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	14	0.0	89.785	43.313	59.324	0.0	80.631	46.12	54.632
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	15	0.0	91.252	43.23	60.51	0.0	83.133	46.117	56.467
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	16	0.0	92.326	43.145	61.441	0.0	85.175	46.054	57.846
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	17	0.0	93.046	43.026	62.129	0.0	86.682	45.955	58.861
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	18	0.0	93.426	42.961	62.738	0.0	87.52	45.9	59.762
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	19	0.0	93.924	42.919	63.33	0.0	88.463	45.87	60.612
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	20	0.0	94.356	42.85	63.857	0.0	89.392	45.807	61.311
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	21	0.0	94.657	42.785	64.262	0.0	90.204	45.771	61.962
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	22	0.0	94.853	42.781	64.673	0.0	90.754	45.711	62.478
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	23	0.0	95.259	42.741	65.056	0.0	91.042	45.7	62.98
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	24	0.0	95.364	42.71	65.38	0.0	91.37	45.705	63.387
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	25	0.0	95.534	42.702	65.679	0.0	91.553	45.716	63.714
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	26	0.0	95.77	42.686	65.886	0.0	91.841	45.731	63.964
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	27	0.0	95.927	42.702	66.092	0.0	91.828	45.797	64.223
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	28	0.0	96.032	42.717	66.183	0.0	92.09	45.84	64.397
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	29	0.0	96.137	42.731	66.215	0.0	92.025	45.864	64.552
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	30	0.0	96.176	42.763	66.304	0.0	92.247	45.895	64.736
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	31	0.0	96.399	42.808	66.451	0.0	92.457	45.923	64.846
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	32	0.0	96.438	42.87	66.584	0.0	92.64	45.966	64.974
convnext_large_384_in22ft1k	configs/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_CosFace_adamw.yaml	222	33	0.0	96.464	42.901	66.718	0.0	92.601	46.016	65.112
