ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50
0,2792,3588,4880,3406,1944,1602,56,3413,455,888,3209,2935,2906,2172,3209,427,1782,2906,2906,2378,2378,5814,3178,3199,2378,3178,1024,3178,106,285,427,285,3178,3178,285,285,285,1024,2347,3178,427,285,285,1024,2588,285,285,2355,2588,285,2906
1,2792,3603,590,4464,493,3872,2283,1236,455,2695,819,87,3381,2560,824,427,2624,898,3313,427,1642,427,2560,1642,2560,2378,427,4901,4901,285,2707,4901,427,2707,2560,2707,285,2560,285,2707,1395,2560,2707,2707,455,2560,3145,427,285,3145,1395
2,2792,3588,6013,4464,1944,3157,408,2366,455,888,3209,1638,26,2347,285,2736,2736,2736,285,2736,3425,1307,723,1978,1723,467,2906,1938,455,285,2906,285,1938,1938,1502,2378,2378,2378,1938,1938,2378,2378,2378,2378,2378,2378,2378,2378,2378,2378,1124
3,2792,3588,6013,3733,1944,2636,56,2545,2811,3484,745,266,2516,3199,512,1757,2516,3182,1149,1757,1672,3182,11,639,11,639,1672,639,497,2212,11,915,1404,1404,1815,11,1815,639,639,639,1815,1068,1404,1815,6536,1404,375,4986,1877,4986,6536
4,2792,3588,6013,3733,1944,2636,3656,1610,3340,2118,700,5540,1820,2840,1930,4128,2910,3106,3106,3106,2910,613,1780,2910,1646,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,494,2055,2055,2055,2055,2055,1622,2055,487,1081,2386,487,1324,1324,720,1622
5,2792,2695,4880,1463,4464,3678,123,1148,455,2355,2118,1824,3112,3195,4408,6183,1656,3484,1656,1656,2530,1656,539,539,3113,1656,1656,206,169,6680,206,169,2718,4043,206,2058,5690,206,1936,169,1304,2458,169,1304,206,459,459,459,169,169,1304
6,3131,2695,4880,3406,4464,2524,2603,106,1653,451,2042,1126,1535,2435,3340,1566,3340,1689,2434,2578,1423,363,2578,2578,2799,2799,2799,3340,3340,2799,2434,1423,2799,1423,2799,2799,1423,599,1423,2799,2585,3340,1423,2799,1911,1112,2799,174,2799,2799,599
7,2792,2695,590,4464,4464,3678,1018,2399,946,2882,1526,1199,531,1073,1000,1073,1073,1000,3342,2233,1353,2233,966,1353,1436,966,1353,966,2233,1353,1367,966,966,799,1471,966,966,1471,966,4661,445,1755,1436,1436,2233,1755,2542,2925,2233,1755,2542
8,3131,2695,4880,1463,4464,3678,1978,1734,1474,1923,3459,911,177,3459,177,177,560,177,321,177,2256,389,2073,3459,445,1104,2000,321,2936,2,321,2423,3459,3096,1674,321,1674,445,3096,2578,451,3340,2256,1473,725,296,2256,2578,2578,451,553
9,2792,3588,6013,4457,1944,1209,1874,570,5431,5146,1924,3372,2667,2678,2667,2667,2667,1874,858,3512,858,858,858,7015,457,7015,858,457,1560,858,1874,457,123,858,2242,858,7015,858,7015,7015,7015,858,7015,123,123,7015,858,2285,7015,123,7015
10,2792,3588,6013,4457,1944,5126,1227,1874,1888,3208,3371,6510,5089,1989,6510,1120,2126,4169,4625,454,2126,4625,4625,4599,4599,5913,4599,4599,4599,4599,4535,4599,4599,4599,4599,5214,6610,4599,858,4866,858,3980,4866,4866,858,4866,858,858,858,4898,1978
11,2792,3588,6013,4457,1944,2636,167,1747,2185,2185,123,2185,3518,2185,2185,2185,2185,2185,123,1077,1077,1077,123,123,123,7015,1077,1077,1077,3338,1247,1247,1077,1077,2021,1247,1077,3986,1077,1077,6176,1077,5397,7015,2021,7015,5397,5397,2021,1077,1077
12,3131,2695,590,3406,4464,2524,2603,1565,2603,2588,408,911,1054,911,5339,290,257,290,257,473,257,2603,257,257,257,473,3231,2603,2245,473,2603,473,473,257,473,473,2603,2603,2603,473,473,473,2603,473,473,473,473,473,473,2603,473
13,3131,2695,590,3406,6500,2524,2843,2294,3441,3231,6936,3441,549,987,3441,290,987,987,987,473,5366,3896,2265,3896,3896,3519,5507,3305,3305,3305,5366,3305,3305,3305,3305,5507,3305,2265,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,2265,3305
14,2792,2695,590,4464,4464,493,408,2588,408,2908,408,911,3441,2388,3441,290,3231,2961,473,473,2388,473,2961,911,3231,1311,2961,911,2961,911,2961,473,473,2851,1180,5386,2961,2388,862,1386,473,2388,3552,2961,473,2961,2388,257,3075,1146,257
15,2792,3588,6013,4457,1944,1767,408,1557,2771,5366,961,3998,2978,1239,1239,1004,1004,3527,3527,1883,2804,2804,2804,2804,2804,2804,2804,2804,2804,824,2804,824,2804,2804,824,2852,346,824,824,824,2852,3441,824,824,346,3441,1004,2804,3441,3441,824
16,2792,3588,4880,3406,1944,3420,167,2588,1661,2289,2289,2804,2804,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2804,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,3441,3441,2289,3441,3441,2289,2289,2289,3441,2289
17,2792,3588,6013,4457,1944,6064,167,3125,1247,396,396,1435,1146,824,824,824,824,2608,1460,1460,2168,2608,3315,5431,1460,1460,2608,5431,455,1704,1318,3468,1318,1231,2608,455,1704,1318,2608,5431,5431,455,455,455,455,455,1704,4424,1704,5431,3315
