Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	0	0.0	2.279	35.713	3.285	0.0	2.135	37.038	3.231
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	1	0.0	3.064	12.508	2.106	0.0	3.339	11.804	1.821
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	2	0.0	5.107	32.837	8.153	0.0	4.57	32.986	7.769
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	3	0.0	17.941	29.167	14.809	0.0	14.838	29.135	13.513
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	4	0.0	36.511	31.994	22.027	0.0	29.269	32.985	20.83
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	5	0.0	48.73	36.901	28.517	0.0	38.711	37.439	26.334
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	6	0.0	62.886	37.832	33.617	0.0	49.673	39.602	31.145
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	7	0.0	69.657	40.306	38.236	0.0	57.988	40.907	34.021
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	8	0.0	76.742	40.95	40.998	0.0	65.348	41.952	37.13
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	9	0.0	80.33	40.899	42.849	0.0	69.644	42.142	38.903
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	10	0.0	83.735	42.35	46.696	0.0	74.764	44.38	43.235
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	11	0.0	85.215	41.419	47.081	0.0	76.755	43.66	43.946
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	12	0.0	87.572	42.444	49.826	0.0	79.728	44.464	45.917
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	13	0.0	88.607	43.004	51.922	0.0	81.744	45.057	48.181
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	14	0.0	88.607	42.822	52.077	0.0	82.596	45.462	49.35
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	15	0.0	90.427	42.946	53.973	0.0	85.215	45.057	50.347
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	16	0.0	89.549	43.662	54.769	0.0	84.442	45.815	51.888
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	17	0.0	89.497	43.6	55.117	0.0	84.377	46.164	52.759
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	18	0.0	90.126	43.532	55.577	0.0	85.83	46.005	53.431
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	19	0.0	89.013	44.192	56.416	0.0	85.359	45.98	53.529
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	20	0.0	90.898	44.102	57.218	0.0	86.682	46.194	54.762
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	21	0.0	92.771	43.213	56.955	0.0	87.297	45.795	54.432
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	22	0.0	92.562	43.135	57.114	0.0	87.533	45.744	54.574
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	23	0.0	91.815	43.408	57.368	0.0	87.69	46.019	55.467
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	24	0.0	92.431	43.616	58.134	0.0	87.782	45.918	55.617
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	25	0.0	92.064	43.747	58.455	0.0	87.546	46.215	55.937
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	26	0.0	92.575	43.86	58.273	0.0	87.965	46.073	56.132
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	27	0.0	92.797	43.794	58.808	0.0	88.436	45.847	56.289
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	28	0.0	93.321	43.837	59.058	0.0	88.528	46.53	57.09
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	29	0.0	92.601	44.183	59.094	0.0	88.109	46.793	57.272
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	30	0.0	92.575	44.232	59.604	0.0	87.624	46.887	57.379
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	31	0.0	92.693	44.333	59.176	0.0	87.533	46.642	57.381
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	32	0.0	92.313	44.318	59.064	0.0	86.917	47.334	58.106
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	33	0.0	92.09	44.406	59.386	0.0	86.682	47.371	58.268
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	34	0.0	92.548	44.188	59.266	0.0	87.061	47.129	58.309
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	35	0.0	92.339	44.381	59.588	0.0	86.878	47.306	58.616
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	36	0.0	92.208	44.8	59.985	0.0	87.061	47.942	58.975
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	37	0.0	92.208	44.435	59.794	0.0	86.943	47.602	58.485
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	38	0.0	91.501	45.081	60.484	0.0	85.922	48.032	58.973
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	39	0.0	91.894	44.785	60.262	0.0	86.092	47.781	58.709
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	40	0.0	92.064	44.957	60.398	0.0	86.354	47.857	58.495
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	41	0.0	92.156	45.127	60.512	0.0	86.105	48.087	59.235
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	42	0.0	91.056	45.605	60.497	0.0	85.464	48.471	59.314
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	43	0.0	91.579	45.337	60.423	0.0	85.293	48.43	59.535
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	44	0.0	91.265	45.572	60.69	0.0	85.149	48.673	59.858
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	45	0.0	91.461	45.58	61.176	0.0	84.861	48.734	59.049
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	46	0.0	91.54	45.52	60.593	0.0	85.045	48.391	59.685
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	47	0.0	90.584	45.736	60.548	0.0	83.984	49.093	59.715
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	48	0.0	90.309	45.773	60.812	0.0	84.573	48.721	59.577
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	49	0.0	91.095	45.776	61.335	0.0	84.364	48.972	59.801
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	50	0.0	90.794	45.635	60.632	0.0	84.573	49.021	59.798
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	51	0.0	90.414	45.635	60.711	0.0	83.434	49.309	60.085
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	52	0.0	91.003	45.634	60.579	0.0	83.722	49.467	59.72
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	53	0.0	90.623	45.878	60.885	0.0	83.486	49.525	60.19
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	54	0.0	90.623	46.231	61.336	0.0	83.774	49.767	60.82
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	55	0.0	90.047	46.179	61.582	0.0	83.329	49.702	61.02
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	56	0.0	90.676	45.889	61.352	0.0	82.962	49.671	60.67
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	57	0.0	89.851	46.456	62.165	0.0	82.897	49.723	60.915
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	58	0.0	89.942	46.36	61.38	0.0	82.53	50.012	60.66
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	59	0.0	90.126	46.33	61.369	0.0	82.242	49.965	60.778
dla102x2	configs/dla102x2/config_dla102x2_CosFace_sgd.yaml	222	60	0.0	89.955	46.479	61.591	0.0	82.386	49.965	61.137
