ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51
0,6605,2013,2285,1920,123,1287,2730,888,2906,2409,2000,1782,1233,2263,2695,2717,2000,2906,177,2906,2906,2172,1782,2000,1858,1233,1858,1782,2811,2695,1783,2695,2906,1782,1782,2695,775,1782,1782,1782,2906,2695,1858,2695,2695,2581,1782,1858,2550,2581,1782,1858
1,4301,2013,3161,1920,285,396,2730,427,2608,2588,2695,1782,2382,2263,1782,2695,2000,1782,2906,1782,2906,2172,775,2000,1782,1233,1858,1782,1782,1233,1783,2695,2000,1782,1782,2695,775,2000,1782,1782,2172,2695,1858,2695,2172,451,1782,1858,2172,77,1782,769
2,2037,2042,3420,1920,971,2283,2906,888,888,2409,2906,3209,723,2263,2695,1899,2000,2906,2906,2172,2906,2172,775,2000,1782,1233,1858,1782,3209,1233,2000,2695,2906,1782,1782,2695,2764,1782,2172,1783,2172,2695,1783,2695,2172,2172,1782,1858,2172,2172,888,1782
3,2037,1722,6605,3271,3353,2657,915,1666,1377,2840,3442,3112,1646,3106,1701,3211,2378,745,745,1447,3112,1447,745,745,3444,2843,915,745,2378,2523,915,1664,1664,1664,745,2412,3112,1447,560,1419,560,745,2423,533,745,3416,1419,2412,2423,745,745,2828
4,6605,2887,703,2075,2237,430,33,1610,1793,1980,3293,1837,503,1837,503,1837,1837,874,3293,2554,489,1142,820,503,1076,1837,2158,1837,1229,3293,3293,1229,914,2013,1837,1837,1229,1837,2553,1837,1837,1837,933,1837,2553,2553,503,1867,2553,1837,1837,820
5,2037,1722,3250,2893,3421,100,1118,1201,1377,518,1887,539,1646,1434,2783,2763,560,2041,1511,2554,1927,560,560,1511,911,560,2281,2281,560,2281,2281,2281,2281,407,539,2412,2281,1447,560,781,560,560,3266,3334,2281,2281,3266,3416,2281,3416,2281,3416
6,6667,2013,3250,1920,2212,430,33,2042,531,170,1073,1427,2732,3243,430,3263,1427,430,531,286,1709,665,430,430,430,2434,165,1717,2578,1709,430,2933,2732,430,3123,3099,3116,3049,1073,3099,1824,1717,2435,1709,2585,2435,2585,580,1592,2585,3099,2435
7,2176,2042,703,1776,2212,430,33,3195,707,2816,1073,700,3184,700,1115,3005,2882,700,3066,2389,93,1267,2044,370,2389,2542,2389,2389,1267,2389,2389,3184,2044,2389,2542,3184,2542,1887,1252,2472,2542,2542,2542,3192,2389,2473,1184,2,3192,553,1887,553
8,6605,1920,5476,2843,560,2970,2378,1466,1377,560,1456,2326,2644,3106,1701,2423,86,3106,1701,1447,1796,2825,2230,1701,2211,3393,445,2644,2825,2825,3393,1664,1664,2423,3420,2825,3386,674,2318,1222,3393,1222,2423,1222,2825,1222,1584,1222,1584,2707,2825,2825
9,4301,2013,5476,1920,2943,396,3231,3231,264,473,123,2603,123,2634,1460,1705,3441,1480,1077,3231,123,3441,3231,1924,473,2603,3231,3231,473,3441,3231,3231,2265,473,3231,2185,3231,3231,473,3231,1077,473,3231,2603,1077,3441,473,1924,3231,3231,473,1077
10,6667,3339,6864,1920,216,6510,2269,5440,818,6769,4896,708,6765,2634,6580,4896,2634,4896,6102,2634,6146,6900,3231,2923,6770,2603,6941,5371,545,4558,4558,4558,6165,6941,2185,6165,2923,4558,424,2625,5440,4558,4536,6770,6165,5508,2634,4536,4558,6941,5508,5513
11,6667,1920,3161,1920,2185,1705,3231,3231,2408,2804,123,51,123,987,1460,1705,3441,1480,1705,3231,123,3441,3231,1239,473,2804,123,3231,2804,3441,3231,3231,2265,473,2961,961,3231,3231,3231,3231,1077,473,1705,3231,1077,1077,473,1924,3231,3231,346,1077
12,2176,1463,1458,2588,1460,346,6164,1180,2408,473,1180,1883,1180,1585,1460,1585,346,473,832,1585,123,1585,473,473,473,832,2245,3089,473,1247,3231,473,2265,473,2265,2185,1095,987,473,2603,473,473,473,2603,473,3441,473,1924,473,473,473,1924
13,2176,3339,1458,1920,1460,346,6164,3231,2603,473,1180,2603,1563,987,1460,2603,346,1480,2603,2634,473,3089,2603,2603,3025,2603,3231,3089,2603,2834,3231,473,2603,473,3231,1924,2603,473,2603,2603,473,473,290,2603,1924,3441,3089,1924,3231,3089,473,1924
14,5225,3339,1458,2588,1460,346,6164,1180,2408,2804,1180,473,1705,1585,1460,1705,346,473,832,424,123,1732,473,1239,473,832,473,3231,473,2608,3231,473,2265,473,2265,961,2265,123,424,2961,473,473,832,2603,424,3441,473,1924,473,832,473,1924
15,705,2013,5476,1920,961,1705,6164,1311,2408,2804,123,1311,1705,1231,1460,1705,346,1239,1705,2804,128,1705,2804,1239,824,2804,123,1563,2804,1231,3231,1311,128,128,1239,961,3231,123,2804,1311,128,1460,1883,3231,1460,1311,123,2265,3231,3231,346,1077
16,628,1463,2176,1920,961,346,6164,6373,2588,2804,1180,1883,1563,1231,1460,1883,346,1239,1705,2804,128,3441,2804,1239,824,2804,123,1563,2804,1231,3231,3231,2265,128,1239,3231,3231,123,2804,3231,128,1460,3231,3231,1077,3441,3441,473,3231,3231,346,1077
17,5225,2013,2795,1920,961,346,2730,1474,2608,2804,1272,1311,1705,1231,1460,1705,346,1239,2608,1705,123,1705,2804,1239,824,2804,2961,1474,2804,1231,2408,1311,2265,1474,1239,961,2265,123,346,2961,128,2608,2265,1318,2608,3441,832,2608,1318,832,1318,1924
18,6605,1920,3028,7022,1519,100,578,1438,1852,976,946,680,1852,2479,2479,1780,1852,354,354,1519,1304,3263,934,391,2479,354,2479,2479,2479,2614,354,2479,354,2479,3028,2479,2479,2614,2479,354,2479,2479,1852,2479,1852,2479,2479,2479,2479,2479,2479,2614
19,5225,2887,2176,2893,1519,100,1938,2934,1304,681,946,680,1852,2479,2479,1780,1022,354,354,1519,56,1739,354,391,2355,354,2355,2614,2355,2614,354,2614,354,976,3028,2479,2479,2614,2355,2614,2479,2614,2614,391,2614,2614,2355,1228,1852,1228,354,2614
20,5849,2013,2176,2893,1519,100,2934,2934,1377,681,166,354,1852,2479,2903,1780,1228,354,354,1519,56,354,354,391,2355,354,354,2614,354,2614,354,2479,354,354,3028,2479,2479,354,2934,354,2479,1852,1852,354,1852,1852,354,1228,354,354,354,1914
21,4840,111,1540,1136,1398,2851,1916,2851,1398,2895,1505,1398,3473,3998,5503,1398,6515,855,2895,2092,5732,3854,902,3854,3891,1835,4535,4535,3891,4535,4149,6515,3854,4535,6515,1303,4228,3609,2490,3578,4535,3854,4586,6515,2655,1398,1398,2489,1398,1398,1398,4228
22,4301,3326,1540,460,1398,234,3232,4725,6757,2895,6206,5084,5383,6431,4108,3570,3570,6757,4176,6679,3889,3854,3570,3854,3610,3570,6906,2938,6757,3610,3854,5468,3854,3610,6757,6757,3610,3610,1325,5468,902,3854,6732,3992,3610,3610,6757,5683,3992,3854,6757,3610
23,2037,111,3720,5950,284,2851,1916,111,2938,3372,1505,5732,2723,6431,5503,1398,6515,6757,4176,2092,5732,3854,902,3854,3891,3854,5094,3570,6757,4535,3854,3854,3854,6757,6757,6757,4228,3570,1014,3854,3570,3854,6757,3854,3275,1014,2091,653,6757,1303,3891,6757
24,4301,2013,6864,1920,3421,131,2269,1890,264,2568,1890,2603,2185,2634,787,2603,787,1480,1890,787,2603,3089,3089,3089,131,143,632,787,787,2927,787,787,787,787,1480,787,787,290,290,787,787,1480,290,290,787,632,787,787,787,787,787,290
25,5618,1920,143,1920,2185,1705,2269,1890,2603,2634,1890,2603,2185,2634,2634,2603,2634,1480,1890,787,2603,3089,3089,2568,131,143,290,787,787,787,290,787,787,290,143,787,787,290,290,787,290,290,290,290,787,290,787,787,787,787,290,290
26,6667,2013,143,1920,2580,2359,2269,1890,2603,2634,1890,2603,2634,2634,2634,2603,2634,1480,1890,2634,2603,3089,3089,3089,3025,2603,2834,3089,1095,2834,290,787,2603,2603,2603,787,2603,2634,290,2603,290,2634,290,2603,1890,2603,787,1890,3089,290,3025,2634
27,6667,2013,3161,1920,3421,1584,2446,1356,1312,1504,1061,1498,1341,3207,3304,3143,307,344,3155,3520,3155,3155,3155,3155,2722,3520,3155,3155,3155,3155,1466,450,3155,3155,3155,3155,2677,3155,344,426,3155,2437,3155,2874,3155,3155,3155,3155,2874,3155,3155,426
28,6667,507,2574,1920,1410,191,2068,1356,3155,1062,2437,2103,2437,1079,2437,1079,307,930,2437,793,3155,2437,3155,3155,3155,3155,3155,2437,2437,3155,1079,1079,3155,3155,3155,3155,2437,3155,2437,3155,3155,2437,2437,2437,3155,1079,3155,1079,2437,2437,3155,3155
29,5225,3555,5999,1920,606,1287,1755,1289,3106,1561,1456,2450,1561,3106,3106,3143,477,3348,3398,3017,3398,1940,674,3143,2722,3143,3155,1940,2811,3143,477,3055,477,3143,477,133,477,3155,2114,674,1341,477,3143,3304,2677,2677,1940,3155,2114,774,477,133
30,6279,1920,2369,3271,2237,191,1160,1438,707,363,3442,1124,2732,680,2783,1780,1124,874,398,2230,2291,39,1076,39,1076,1264,2116,39,2732,1076,1124,3263,2732,1264,2619,170,3116,1646,1124,1124,2732,1124,1076,398,2732,2435,3263,1427,398,39,398,2732
31,4301,2013,2803,3028,1760,1646,33,680,1377,1914,3442,680,2122,680,2903,3263,2256,1646,398,720,1304,3263,934,1410,720,1914,3263,3263,1914,3263,2042,3031,2476,720,3263,680,3031,3263,3263,2476,3031,680,680,3263,3263,3031,3263,1264,2903,2903,680,2903
32,90,1920,2803,3271,1427,430,1160,3044,707,1914,665,1124,2077,166,2903,3139,1760,2950,1760,1877,2291,3263,934,1410,720,1157,1603,2077,1124,1063,1177,2933,2732,1264,1063,170,3116,2386,1760,680,680,39,170,1124,680,3099,1760,1264,2732,3195,1124,1214
33,4301,2034,2176,5824,3389,1432,1656,5838,3555,158,2510,4736,3346,1069,158,5398,1923,467,158,1875,158,3996,3641,1069,1069,1923,1069,1875,5274,6010,3077,1069,5274,3267,1069,7037,22,22,3077,1035,1965,22,2204,1502,1035,1432,2686,4463,2882,817,22,1561
34,5225,3339,2176,2893,776,2742,2556,1749,776,158,3077,817,1561,3053,3077,318,1923,2742,1965,70,1522,3053,318,3077,318,2253,1965,3391,318,318,1965,2253,1923,2102,367,3077,318,613,3053,3053,1965,3077,2875,3077,1965,1772,1658,3077,1965,73,1923,1561
35,5225,5824,2176,5824,776,2742,3057,1749,1212,1561,613,817,1561,2742,2385,2747,2742,2742,1965,70,2742,1979,1749,817,2875,1965,1965,2577,1965,2742,1226,2577,1226,2724,1772,1226,1749,1749,2875,2577,1965,587,2204,2204,2204,1772,2577,2875,2747,817,1749,2724
36,6667,1920,3250,2313,2237,350,578,605,1315,1980,38,1648,50,2043,340,50,1315,340,605,2910,1980,2910,3490,605,933,605,72,1980,3490,340,605,1697,3490,38,340,605,340,38,1648,2910,1457,605,1648,3490,38,605,1697,1648,1298,1298,605,1980
37,4301,1920,1506,1920,1241,3024,3024,1466,1315,1994,2897,1994,2457,3004,1994,3139,1315,340,2759,1533,1994,1280,3490,2,1280,241,1257,2321,2313,2459,2459,2925,1315,1994,2925,1257,3129,2313,1648,2910,1697,1697,1697,3490,2911,3490,1994,2,1257,3129,1512,1269
38,4301,3347,1375,557,5651,5183,5651,2670,2356,640,1737,2141,2457,471,2127,2370,1628,1161,2127,2457,2457,2268,2457,471,2101,2457,2370,2301,2518,2918,925,2127,2103,2518,2127,966,471,2127,2127,2518,2127,471,2127,2127,2127,2127,272,2127,966,1027,3411,2127
39,2176,2887,2803,460,1760,1300,2995,2180,2995,2095,1301,1498,3282,3526,1615,237,2680,1676,1199,1615,1498,2503,2944,1615,1381,395,1199,1498,395,2914,2680,646,1381,2995,1498,1615,395,1498,1199,2073,1498,1199,1615,1199,2995,1199,1615,1199,1498,1199,1676,1199
40,2176,1920,2803,1727,1301,2283,2995,406,1526,601,1727,2636,487,3282,3425,1599,601,2690,3282,2636,2887,2503,1498,646,1301,395,3282,2636,2048,487,487,487,1584,673,673,1301,5554,1599,3178,1602,487,1459,3178,1599,646,1907,1599,1301,2995,1498,2499,3282
41,6348,3326,6864,1920,1760,1300,2596,2988,271,3182,487,2596,3282,3282,1115,2154,3282,1602,3282,2636,2690,3282,5774,3282,2596,395,3282,6595,1421,2596,2680,6595,2988,3381,3282,5908,2680,6280,1907,2680,2518,2944,2680,2680,6595,512,1431,2457,1907,2988,2680,237
42,5225,3188,372,2945,1427,430,2596,1466,707,2816,1073,1427,2306,1717,2903,1338,1427,2462,398,1973,2745,3114,9,3114,398,3114,1728,1338,2745,2745,1728,2462,1038,2959,2745,1761,1728,3114,2745,3114,1728,1728,3114,2745,1728,2745,2745,1728,1728,2745,1728,1408
43,705,2887,2803,1073,1427,1860,2596,3044,707,170,2169,2959,3044,336,2903,1338,2058,2462,398,1761,2745,1333,1761,1263,398,398,1728,398,1728,2745,2959,2462,1717,2959,2745,2745,1728,752,1761,398,2745,1728,2462,2745,1761,1728,2745,2745,1728,1761,398,398
44,2176,2013,2803,1727,1310,430,1160,1791,1592,2816,2169,2807,3044,1717,1117,1338,1906,1761,398,1906,2291,3114,9,1728,1728,1728,1728,1761,1728,1728,1728,2933,1728,3114,1728,1761,1728,1761,1761,3114,1038,1728,3114,2745,1728,1728,1038,1038,1728,1038,1728,1728
45,1462,3347,2285,3347,754,1287,1833,2627,2474,2627,526,1124,3044,336,1751,1751,1279,2511,1751,1287,1681,526,2381,606,606,241,1124,606,1943,1279,2381,354,606,693,1124,1279,2790,606,2246,606,606,1681,1681,979,693,2790,606,606,693,2790,2790,354
46,90,3326,2584,1920,1326,1028,1908,1356,2474,681,3052,606,2689,3133,2790,3418,1279,2511,606,565,1681,3283,1734,1933,606,1681,3145,2246,1943,1279,1593,1279,606,932,3145,1279,1279,1279,2246,1593,1593,3313,1943,3283,1279,3283,1279,1943,1593,3283,1593,1943
47,2176,1920,2366,1920,1877,1395,2068,1356,271,673,1727,2450,1561,3383,2821,343,1279,3304,354,343,1943,343,1279,1957,11,354,343,11,2821,2821,2853,1326,3133,2821,673,1279,1279,2821,673,1501,673,1279,3304,3304,1501,11,1501,1279,87,3304,1501,2821
48,504,3347,3161,1920,1241,1664,1755,1478,71,1995,2109,2326,1929,1149,1995,3119,2536,2536,352,2536,638,1995,2536,2536,2536,1995,2536,2536,2536,1995,579,2536,2536,2536,2536,2536,2536,2536,2109,2536,2536,1995,2109,3407,579,3407,2536,2536,2536,2536,2830,3407
49,2176,1920,1994,1920,2154,574,1755,3407,71,1995,2109,708,3407,1149,1819,579,146,2536,1307,2830,638,1995,2536,2536,579,2109,579,579,2830,2536,579,2536,579,2109,2536,2536,2830,2536,2109,2830,2109,2830,2109,3407,579,2109,2536,2830,2536,2536,2830,2830
50,6348,1920,1695,1920,1695,1644,1755,1478,71,1995,2109,2326,1929,1149,2536,3119,101,2536,1307,2536,638,2536,2536,2536,2536,1995,579,2536,3225,2536,579,2536,2536,2536,2536,2536,2536,2536,2109,2830,2109,2830,2109,3407,579,2109,2536,2536,2536,2536,2830,3407
51,5225,1463,3161,2843,560,2970,1755,1478,71,1995,2559,708,1478,1149,2559,3119,2820,2536,1307,3220,638,71,1478,2536,2857,604,579,2857,1478,352,579,1478,579,1478,638,2536,1478,2536,1478,1478,352,1478,579,1478,579,3407,2536,3407,2536,3407,1478,3407
52,4301,1116,6864,2843,560,2970,1755,2924,71,1995,1061,708,2217,1149,1819,3119,2820,2820,1478,1478,638,71,1478,2536,2857,604,579,1478,1478,352,579,1478,579,1478,1478,2536,2830,2536,1478,1478,1478,1478,579,1478,1478,3407,2536,638,638,3407,1478,3407
53,5476,1920,5476,1920,2943,2970,2730,1478,71,1995,2109,708,579,3119,1819,3119,2820,2536,1307,1478,638,1995,1478,2536,579,71,579,579,1478,352,579,1478,579,1478,1478,2536,1478,2536,1478,1478,1478,1478,579,1478,579,3407,2536,638,579,3407,1478,3407
54,3463,3326,1994,1920,1617,2677,2427,183,2677,2894,1737,1302,1737,1560,1115,3129,206,1737,2313,2011,2894,206,206,1737,206,206,206,1223,3227,3129,2459,2677,1223,206,1223,3129,2014,3129,3129,1223,2014,1994,1223,206,1737,3129,2925,1568,2925,3129,3129,3129
55,5225,3347,2176,1920,2113,3929,6402,6402,5590,6769,4704,1559,2457,3004,3394,2428,1802,313,2988,1994,50,2268,2459,2459,2459,1802,72,499,2313,3490,1802,2925,605,2459,2428,2702,224,72,5460,72,2313,605,1802,3490,2866,3490,2759,5651,2759,1802,605,1802
56,4301,2767,3161,1920,471,2677,2427,183,1975,1975,3046,132,471,471,1944,741,3303,2184,1975,132,3046,2562,741,471,213,132,1628,471,2540,471,471,471,3303,3509,941,2562,471,471,3129,941,3303,741,2806,2011,3303,2922,213,471,1906,875,471,3108
57,504,2013,2803,2893,3421,1892,1656,2180,1377,1561,2510,1100,1561,3273,2903,2763,86,246,1973,1973,1502,3273,246,3273,2853,3178,1973,3045,1502,3045,3045,3120,246,246,3045,3178,3045,3045,3178,2853,2853,2853,2853,1502,3045,2879,2763,3045,1502,2879,3045,3045
58,504,3347,2176,2893,1617,998,1975,3004,3303,1975,2294,1124,2370,2427,1747,3139,2306,1490,354,1877,1791,915,2732,1747,1877,1615,2306,915,1877,2306,393,1490,1877,1027,1615,2306,3116,393,1877,2306,2306,3509,1877,1877,2011,1164,1877,1877,1615,1027,1877,1027
59,2176,3347,3161,1920,1760,1664,1063,1610,258,1205,665,1130,2306,2677,1877,2574,1877,580,1199,1877,2210,2916,9,526,1877,2100,1728,1338,1877,1728,526,2011,526,1130,1130,978,1728,1130,1130,1130,1877,1728,1130,1728,1130,1130,1728,526,1130,1728,1728,2100
60,2176,2893,2176,2893,3184,350,168,1931,2389,2816,3077,1389,2591,94,158,3211,1022,1190,43,43,56,1044,934,2592,1374,94,2509,2108,3211,399,464,2108,2592,2592,2108,459,464,3359,3359,3359,3359,2108,2592,3359,2592,3359,2108,1875,2108,2108,2108,1190
61,2037,3339,2176,2893,3184,357,168,1931,2389,2816,2561,1389,2338,2043,3142,2428,2840,2043,2840,953,2043,1044,94,1044,2043,399,3006,2428,1044,399,2043,1044,2542,94,2428,1044,2542,1730,363,1044,363,50,2108,1730,2542,3490,2542,1730,363,2561,363,2043
62,2176,2893,2176,2893,3184,169,578,2840,1377,2840,94,2190,2190,467,2108,3211,86,2509,2509,1686,56,915,3211,1527,1374,3211,2509,1374,3211,56,1374,467,2108,1374,1374,2509,3386,1374,2108,1739,1527,2509,3211,3211,3211,2840,2509,3386,2509,3386,1374,1374
63,4301,3347,705,1290,598,1584,2593,2627,1364,518,819,1427,2732,2783,2574,2763,1427,3459,1833,1447,93,2783,728,3273,1766,3243,1427,39,3038,2523,359,359,1030,1766,1126,518,3038,3421,1766,2783,3243,2546,359,3438,635,1766,3243,1427,359,286,3116,1766
64,2176,2013,1377,1399,3353,1646,2934,2934,1315,170,3442,680,2732,2136,2903,3263,1646,327,1264,2585,2291,3263,1914,2732,2903,1264,3263,3263,2732,3263,2042,3263,2732,1914,3263,2933,2136,3263,2934,680,1914,680,3263,2136,680,1117,3263,1264,2136,1228,680,2903
65,3161,2013,1647,1727,754,524,532,2042,1147,170,3442,680,3044,680,2903,1780,1228,1228,354,3031,1228,3263,1914,3263,2903,354,3263,3263,2903,3263,2042,3031,2476,1914,3263,680,2136,3263,2934,680,2136,680,3263,2136,680,1914,3263,1264,1914,2903,2903,1914
66,4301,3326,2176,3347,2288,191,965,603,965,405,2224,156,603,965,435,2594,603,376,376,965,2012,3075,2035,1876,2224,2035,584,965,435,2192,3347,1678,2035,2035,2774,2871,435,2035,1792,965,2192,965,603,2035,965,2035,2192,435,435,2035,548,1861
67,4301,2013,3161,3347,2131,3412,1232,2846,3093,1804,145,1455,542,2505,1641,161,1232,161,3068,1232,2053,1641,884,1641,1641,3300,1232,2505,1232,1641,2846,2050,1232,1232,2050,161,1813,3300,1813,3300,2505,3300,2846,2846,965,3300,2050,161,2192,1411,2846,2050
68,3161,3347,3161,2361,2131,3412,1232,3489,3489,17,1910,2292,129,2505,885,1986,1232,379,3148,2292,379,3206,3068,3148,3148,2131,1232,3148,1232,3148,2131,556,1232,1232,3068,2131,2131,3148,400,400,379,3148,1067,3068,3068,865,311,3148,2131,3148,3148,3148
69,1462,3347,3161,2361,1232,2247,1232,3489,542,1804,2140,1455,542,1232,884,1753,1547,854,694,480,232,1753,884,2215,3154,2178,884,156,1814,1753,884,2598,3168,3154,2524,1242,2178,1797,2192,1120,2192,965,1065,2178,2215,865,948,418,1065,694,603,965
70,4301,3339,3161,2361,884,1910,1232,3405,542,1804,1910,1876,1876,2981,1242,634,2236,379,1098,2284,2012,3154,634,1797,3154,178,2284,156,1637,694,3020,634,2590,67,2157,309,1637,1797,1804,379,2063,435,491,3489,2590,2605,309,3020,1691,1691,2525,3020
71,3161,3347,3161,3347,361,3412,1232,3014,2224,1804,376,320,603,965,435,320,3154,1963,3154,2605,2012,3154,3363,1804,3154,3154,3154,156,435,3154,3154,2605,1963,3154,3154,1797,659,1797,3363,2810,435,1963,379,1797,2810,2605,1838,1963,2605,3154,2525,1194
72,90,1920,3250,1920,152,430,2068,3044,2818,1268,1495,1790,747,1268,2352,1338,1268,1862,1264,152,1862,1862,2352,1268,1862,2352,1862,2352,1229,1229,2352,1229,1862,2352,1476,1636,1229,1761,1032,1862,2352,2352,2352,1775,2352,1032,1265,2352,2352,1032,1032,1790
73,5618,827,3250,1920,2237,914,1160,2833,2818,1229,1032,1790,1929,1,1942,530,1032,798,1464,152,1464,798,1867,1032,1464,2352,1790,2979,1229,2447,2270,1229,3086,2979,3086,2979,3086,3086,2979,3086,2352,1032,2352,3086,1790,3086,152,3086,114,3086,3086,1790
74,4301,2013,1540,1920,1925,2847,510,1052,2818,3039,25,2847,827,3200,1357,1357,1357,2557,1357,1052,1357,433,2659,3200,1357,997,1357,997,1357,2309,2309,2309,3200,1357,2309,2309,3200,2309,3056,3056,997,2309,2309,2309,3056,3056,3056,2309,1357,2309,1685,2309
75,2176,2013,3250,1920,1241,914,1160,3233,2163,2163,112,1790,2163,2309,25,2529,2163,798,747,3086,552,2163,1540,2163,1790,552,2431,552,3086,1540,3124,2681,2675,1540,997,1218,3086,2583,608,1540,275,2583,608,2583,1540,1540,2121,2163,2163,1540,2583,2583
76,4301,3188,1775,2069,1760,2621,199,798,2818,3039,1495,1790,1891,2583,3390,977,1253,798,3124,1891,2583,798,1253,2163,3390,25,2431,25,997,25,3124,1495,2675,2583,2529,3124,977,2583,2529,2529,2387,2583,1218,2583,3390,3124,2583,2583,3124,2583,2583,2583
77,388,6635,82,1920,1760,1486,3293,798,2163,2895,112,89,82,2583,3390,1939,557,2902,1939,228,2583,2583,1540,2163,275,2754,2681,25,997,25,3124,2163,25,2681,25,1939,977,1939,2583,997,275,2583,25,977,275,1540,2583,1540,112,275,1540,2583
78,6667,2009,2847,2290,216,255,1612,1349,806,3248,3127,1370,3127,3248,305,3248,3248,255,3248,255,3127,255,255,3408,3248,1612,1612,255,255,255,746,3248,3248,3127,1208,255,3248,255,3248,2290,255,255,1612,1612,255,1208,3127,255,1208,3523,3248,3127
