Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	0	0.0	4.885	9.116	2.328	0.0	4.112	9.046	2.218
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	1	0.0	15.047	11.178	4.906	0.0	12.205	11.42	4.529
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	2	0.0	32.91	9.606	5.874	0.0	23.704	9.929	5.228
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	3	0.0	48.442	9.869	7.26	0.0	35.071	10.882	6.994
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	4	0.0	58.015	9.213	7.473	0.0	44.343	9.91	7.027
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	5	0.0	64.432	8.759	7.803	0.0	50.131	9.752	7.597
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	6	0.0	71.215	8.266	7.945	0.0	57.059	9.2	7.689
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	7	0.0	74.673	8.224	8.344	0.0	60.595	8.845	7.769
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	8	0.0	78.104	8.11	8.555	0.0	65.754	8.737	7.96
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	9	0.0	80.461	7.598	8.393	0.0	69.015	8.584	8.236
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	10	0.0	81.181	7.632	8.498	0.0	71.569	8.3	8.199
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	11	0.0	82.347	7.385	8.449	0.0	73.415	8.278	8.342
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	12	0.0	83.473	7.514	8.823	0.0	75.17	7.921	8.253
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	13	0.0	84.246	7.292	8.821	0.0	76.087	8.034	8.477
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	14	0.0	85.346	7.289	8.894	0.0	77.03	7.989	8.604
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	15	0.0	84.887	7.298	8.928	0.0	77.423	7.888	8.539
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	16	0.0	85.66	7.24	8.911	0.0	78.68	7.856	8.66
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	17	0.0	86.511	7.166	8.941	0.0	78.418	7.81	8.658
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	18	0.0	85.529	7.205	8.971	0.0	78.287	7.87	8.716
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	19	0.0	86.066	7.155	8.921	0.0	78.863	7.793	8.641
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	20	0.0	85.084	7.12	8.827	0.0	77.803	7.798	8.644
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	21	0.0	85.817	7.243	9.092	0.0	78.706	7.86	8.843
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	22	0.0	85.385	7.042	8.794	0.0	78.431	7.699	8.587
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	23	0.0	84.979	7.168	8.936	0.0	78.366	7.776	8.705
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	24	0.0	85.241	7.181	8.945	0.0	77.685	7.78	8.682
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	25	0.0	85.175	7.157	9.01	0.0	78.156	7.951	8.864
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	26	0.0	84.914	7.403	9.192	0.0	77.947	7.843	8.732
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	27	0.0	84.115	7.265	8.962	0.0	76.467	7.879	8.696
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	28	0.0	84.154	7.194	8.878	0.0	75.864	7.778	8.499
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	29	0.0	83.525	7.255	8.841	0.0	76.126	7.71	8.411
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	30	0.0	82.988	7.361	8.924	0.0	75.668	7.857	8.552
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	31	0.0	82.268	7.332	8.901	0.0	75.275	7.921	8.577
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	32	0.0	82.229	7.388	8.783	0.0	73.638	7.961	8.532
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	33	0.0	81.928	7.375	8.881	0.0	74.005	8.017	8.645
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	34	0.0	81.194	7.319	8.749	0.0	73.114	7.927	8.486
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	35	0.0	80.526	7.44	8.8	0.0	73.049	8.111	8.554
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	36	0.0	81.26	7.395	8.816	0.0	72.145	8.068	8.488
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	37	0.0	80.409	7.477	8.748	0.0	72.42	8.097	8.485
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	38	0.0	80.579	7.444	8.688	0.0	70.966	8.103	8.41
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	39	0.0	78.955	7.549	8.719	0.0	70.849	8.176	8.385
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	40	0.0	79.034	7.494	8.623	0.0	69.919	8.097	8.26
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	41	0.0	78.497	7.601	8.637	0.0	69.762	8.134	8.286
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	42	0.0	78.418	7.745	8.729	0.0	68.937	8.434	8.482
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	43	0.0	77.357	7.687	8.641	0.0	68.937	8.342	8.366
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	44	0.0	76.205	7.869	8.892	0.0	68.059	8.525	8.409
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	45	0.0	76.86	7.703	8.634	0.0	67.208	8.287	8.124
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	46	0.0	76.925	7.601	8.527	0.0	66.409	8.296	8.017
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	47	0.0	75.445	7.695	8.554	0.0	66.121	8.398	8.07
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	48	0.0	74.712	7.893	8.656	0.0	64.811	8.507	8.2
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	49	0.0	75.38	7.925	8.643	0.0	64.261	8.677	8.235
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	50	0.0	74.293	7.953	8.64	0.0	64.104	8.738	8.294
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_AdamW.yaml	222	51	0.0	74.345	8.088	8.647	0.0	63.161	8.778	8.206
