ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51
0,2386,2526,90,77,3017,2560,3017,2593,2355,242,2355,2717,2707,2717,2717,2717,2717,886,886,886,886,886,886,886,886,886,886,886,886,886,886,886,886,886,886,2734,886,886,886,2717,886,886,2388,2734,2717,2734,2734,2717,886,886,2734,2734
1,2386,1399,2516,285,938,427,2560,888,2341,1231,2707,1395,2717,2717,2717,2717,2717,5959,2717,2695,427,886,427,1395,2695,2717,1395,1546,886,3145,2717,1231,886,886,886,886,1937,886,2734,2717,4382,886,1546,1937,2717,3145,832,1546,2717,3145,451,2717
2,2386,1526,90,977,957,2741,1395,2038,1395,1395,1395,486,819,486,1395,1395,486,4012,486,2695,922,2695,486,674,2695,674,486,1807,3304,2695,2172,3079,888,2172,2172,2695,2695,2695,2764,674,3947,2695,674,2764,2695,2695,2172,2764,819,6038,2172,6038
3,2037,593,62,1803,927,1930,1930,3517,406,62,1622,1526,627,627,627,627,627,2220,6114,580,1364,627,1809,627,2910,580,1809,2816,1809,2910,3112,1809,2281,86,4497,100,6114,100,2910,100,2011,86,86,641,2816,3112,1887,5227,2816,86,6114,641
4,2037,593,2105,503,503,1882,503,2457,503,503,503,1622,809,809,809,4081,4081,4081,4081,4081,4081,2910,6091,4081,1149,2910,2910,4081,539,3004,6838,6838,2910,6838,2910,6838,2910,563,222,2910,563,1303,563,2910,2910,563,6838,1149,2910,2013,563,563
5,2386,737,3420,665,2431,1930,1930,1930,1930,1930,169,5243,3416,1149,3416,533,169,1149,1887,1887,1887,2036,1809,86,1149,1149,86,639,745,639,639,639,627,86,86,86,1887,1887,1149,2800,5692,533,1149,639,1887,86,6574,1149,6574,1809,86,639
6,2386,2586,805,2435,1535,3340,795,3263,1268,2256,531,174,2434,2585,2434,2585,3340,2434,1268,2434,2434,2585,2585,2434,2585,1268,2434,2434,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2434,2585,2585,2585,3340,791,2585,2585,2585,2585,2585,2585,2585,2585
7,2386,1073,3263,1776,1000,1000,2233,1000,2233,1436,1436,531,2233,5648,531,4287,4287,2233,4287,2809,531,5648,531,2803,2809,499,531,531,531,531,531,2886,5648,531,5648,5648,531,2809,5648,5648,531,2917,1526,1526,531,531,531,2917,531,5648,531,3350
8,2386,725,3198,3249,23,1674,1527,2061,1674,445,1216,1438,1783,1664,1438,1276,1674,186,1438,1438,1438,1689,2022,2022,33,3420,531,1674,3420,321,1438,321,2466,1438,321,2022,2022,2022,2022,1018,4382,2211,1018,2022,33,2211,2022,2211,2022,2022,2211,2211
9,2037,212,3512,880,1541,5431,7015,2126,7015,2242,3231,2242,3231,858,92,92,92,92,92,92,2242,92,92,2242,5386,92,92,92,2242,92,92,2603,92,92,5386,2242,92,3231,92,2242,5386,5386,5386,2603,92,2021,92,92,2242,2242,92,2242
10,1466,798,216,1131,5376,2099,5214,5875,328,339,6699,6699,462,5734,3753,1900,339,462,339,462,1900,6998,6998,6501,6501,5024,1649,5024,207,5976,5008,1599,3030,462,4247,1061,1061,6998,207,832,505,1061,6190,6859,6998,6998,4247,6784,6529,2612,2410,3369
11,2386,7022,3198,3249,888,2834,7015,2285,818,7015,2834,2285,3231,4531,5397,4531,396,5397,7015,2021,5397,7015,7015,396,7015,51,51,51,51,51,51,51,51,7015,51,51,51,51,7015,7015,2021,7015,7015,7015,7015,2021,51,51,2021,2021,7015,7015
