ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50
0,2995,1073,1182,77,3017,2382,3017,693,1602,3459,2382,3209,3209,976,3209,3209,3209,723,3209,886,2355,3209,2707,2550,2550,2550,2550,2550,2550,2550,2550,3209,2550,2355,3209,2550,2550,2550,2550,2550,2550,886,2550,1539,886,26,2906,886,1840,886,3163
1,5932,4721,439,285,2559,819,285,455,1395,5129,5129,3209,2588,1620,285,5129,1620,2550,3468,3468,938,3209,3468,2172,2550,2550,2550,2550,2550,2263,2550,2550,3468,2550,888,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,888,2550,888,2550,2550,2550
2,6481,473,56,174,455,2110,285,723,2398,2736,285,285,285,2741,285,285,723,2741,730,730,2741,723,730,2764,730,730,1036,2000,2000,2172,2000,1036,2000,888,2000,1036,2550,2172,2172,1036,2142,2172,1657,486,1036,1899,1036,486,3178,1036,1899
3,3863,1073,2075,1073,1556,395,395,539,1672,2969,1803,1672,1672,1672,2969,2969,2969,3195,1149,3416,2546,3067,4422,1149,1149,3416,1149,1156,1156,1156,3067,1434,2910,459,2910,3182,459,2910,1149,4422,3067,2910,2910,2910,4422,2910,2910,2910,2321,2910,2910
4,4815,1464,2386,2910,2103,2910,2118,2910,2910,2075,2910,2910,2904,539,1882,2910,2457,4128,503,2553,503,503,503,2910,2910,503,503,503,1882,2910,3147,503,503,1882,2910,2910,2910,3944,2910,2910,2910,2910,3147,2055,2910,503,503,503,1364,2910,2910
5,6819,77,807,2163,310,2423,56,539,539,539,2386,539,533,539,1364,1149,4128,533,533,533,533,3717,1364,3250,1149,533,533,3250,1927,1364,533,1434,1149,539,539,1364,533,3250,3250,4422,533,533,1434,1220,1434,3250,1364,1364,3106,1364,1434
6,4545,77,439,2386,1076,908,791,940,1477,1535,3151,3151,3151,1674,1674,2434,3151,2434,1364,2434,3151,174,1364,1717,3151,2434,174,3151,174,1717,2434,1717,2434,1364,2434,2585,2585,2434,2434,1364,2434,2434,2434,680,2585,2585,2434,2934,2434,2434,2434
7,5257,2586,439,1862,3444,3383,1035,1526,1222,1222,1073,1222,4385,2473,3442,3442,2227,2473,1395,966,1526,5810,966,2233,966,1526,1526,1526,1395,966,966,1526,531,966,966,966,1526,1526,966,1526,966,1526,1526,1526,1526,1526,1526,1526,1526,966,1526
8,1463,5621,2423,2042,3459,3273,1892,3273,2523,2423,2559,177,3518,296,1674,1674,2657,445,2074,1216,1674,2036,2074,1674,1674,2657,445,2657,321,445,2513,1674,1674,1018,3420,1689,445,1674,966,2513,1689,1689,445,2513,1689,1783,2022,966,445,321,1689
9,2995,5824,209,2909,2385,4703,1030,3231,1643,2870,7015,7015,3512,2927,858,7015,1736,1736,1736,3810,1736,7015,7015,123,7015,858,3231,7015,7015,858,3231,858,123,7015,123,858,858,123,858,858,858,858,858,858,3231,3231,7015,858,858,858,858
