Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	0	0.0	9.298	6.366	2.156	0.0	7.137	6.72	2.045
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	1	0.0	23.769	8.557	4.744	0.0	18.675	9.541	4.731
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	2	0.0	38.999	10.026	6.97	0.0	28.536	10.937	6.776
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	3	0.0	50.969	10.608	8.491	0.0	37.978	12.401	8.538
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	4	0.0	59.809	11.124	9.838	0.0	47.106	12.306	9.464
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	5	0.0	65.951	10.815	10.235	0.0	52.907	12.241	10.264
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	6	0.0	71.517	10.621	10.909	0.0	60.031	11.986	10.677
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	7	0.0	74.686	10.366	11.134	0.0	63.816	11.77	10.993
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	8	0.0	76.794	10.396	11.426	0.0	67.81	11.761	11.283
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	9	0.118	77.554	10.146	11.517	0.0	69.474	11.547	11.339
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	10	0.0	79.112	10.255	11.694	0.0	70.665	11.369	11.431
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	11	0.0	79.937	10.075	11.856	0.0	72.669	11.235	11.524
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	12	0.013	80.749	10.163	12.077	0.0	73.14	11.331	11.871
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	13	0.0	82.255	10.154	12.23	0.0	73.245	11.351	11.934
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	14	0.026	81.875	10.12	12.189	0.0	74.044	11.038	11.776
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	15	0.0	81.98	10.06	12.207	0.0	74.424	11.145	11.883
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	16	0.0	82.255	10.086	12.275	0.0	74.227	11.176	11.898
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	17	0.013	81.993	10.154	12.344	0.0	74.935	11.109	11.878
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	18	0.0	82.766	10.284	12.585	0.0	74.712	11.218	12.0
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	19	0.0	82.399	10.122	12.413	0.0	74.712	11.281	12.17
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	20	0.0	81.902	10.247	12.412	0.0	74.083	11.189	12.087
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	21	0.0	81.744	10.397	12.728	0.0	73.73	11.387	12.196
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	22	0.092	81.64	10.293	12.501	0.0	73.677	11.325	12.159
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	23	0.0	81.194	10.264	12.464	0.0	72.761	11.379	12.109
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	24	0.013	81.351	10.496	12.564	0.0	72.761	11.286	11.867
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	25	0.013	80.461	10.427	12.379	0.0	71.726	11.407	12.055
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	26	0.0	80.107	10.559	12.503	0.0	71.451	11.678	12.172
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	27	0.0	79.125	10.648	12.548	0.0	70.364	11.574	12.009
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	28	0.039	79.57	10.394	12.156	0.0	70.443	11.546	11.867
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	29	0.0	77.632	10.644	12.207	0.0	68.884	11.689	11.874
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	30	0.026	77.789	10.734	12.299	0.0	68.243	11.692	11.907
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	31	0.026	76.991	10.825	12.365	0.0	67.417	11.812	11.897
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	32	0.0	75.812	10.799	12.236	0.0	66.763	11.844	11.886
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	33	0.013	75.995	10.916	12.271	0.0	65.925	11.9	11.759
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	34	0.039	76.139	11.092	12.363	0.0	65.872	12.034	11.852
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	35	0.039	74.673	11.109	12.18	0.0	64.536	12.22	11.901
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	36	0.0	73.979	11.358	12.371	0.0	65.283	12.244	11.9
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	37	0.013	73.415	11.213	12.208	0.0	63.083	12.322	11.775
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	38	0.039	73.062	11.552	12.464	0.0	62.166	12.516	11.931
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	39	0.0	72.407	11.44	12.282	0.0	61.734	12.408	11.661
dpn107	configs_multi/dpn107/config_dpn107_MagFace_AdamW.yaml	222	40	0.026	72.931	11.519	12.166	0.0	62.336	12.461	11.698
