ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43
0,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
1,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
2,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
3,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
4,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
5,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
6,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
7,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
8,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
9,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
10,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
11,5216,976,4355,4361,516,2522,1759,1376,2932,5730,330,968,743,1106,340,2551,3057,1100,3057,2311,837,642,4484,1252,1287,5730,4768,1385,2933,743,3508,2732,743,4851,743,1784,2288,4688,3093,3345,1705,833,4768,2667
