Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	0	0.0	3.654	10.062	0.483	0.0	3.051	13.553	0.53
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	1	0.0	3.693	20.324	4.452	0.0	3.051	20.89	4.364
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	2	0.0	11.668	22.769	10.547	0.0	7.517	24.351	9.448
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	3	0.0	22.499	26.787	16.098	0.0	14.091	25.956	13.475
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	4	0.0	30.448	31.651	21.844	0.0	19.578	34.249	20.467
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	5	0.0	39.707	30.85	23.506	0.0	25.485	31.988	20.64
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	6	0.0	43.583	33.263	26.514	0.0	28.798	34.969	23.887
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	7	0.0	47.158	32.334	26.673	0.0	31.915	32.513	22.703
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	8	0.0	50.537	34.441	29.357	0.0	37.127	35.299	26.329
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	9	0.0	52.541	33.962	29.486	0.0	39.222	35.82	27.142
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	10	0.0	57.255	33.712	30.237	0.0	43.583	35.384	27.536
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	11	0.0	58.958	35.369	32.428	0.0	44.343	37.01	29.819
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	12	0.0	61.799	34.052	31.735	0.0	46.346	36.064	29.151
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	13	0.0	62.834	34.969	32.778	0.0	47.852	34.893	28.124
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	14	0.0	65.597	34.301	32.782	0.0	50.17	36.156	29.909
ghostnet_100	configs/ghostnet_100/config_ghostnet_100_CosFace_sgd.yaml	222	15	0.0	66.645	35.222	34.151	0.0	51.152	35.92	30.139
