Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	0	0.0	2.999	18.352	3.883	0.0	2.75	19.525	3.896
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	1	0.0	9.756	6.216	2.214	0.0	7.596	5.906	1.921
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	2	0.039	9.625	4.235	1.516	0.0	6.299	4.524	1.322
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	3	0.0	12.061	4.745	1.896	0.0	6.928	4.791	1.524
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	4	0.0	13.423	4.906	2.064	0.0	8.263	5.527	1.848
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	5	0.0	15.283	4.746	2.115	0.0	8.814	5.831	2.13
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	6	0.0	17.156	5.129	2.517	0.0	10.241	5.919	2.285
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	7	0.144	18.806	4.877	2.435	0.0	11.04	6.097	2.506
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	8	0.236	18.426	5.287	2.735	0.0	12.926	6.804	2.915
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	9	0.0	21.621	5.67	3.051	0.0	14.052	6.652	3.045
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	10	0.013	21.333	5.399	2.986	0.0	14.563	6.746	3.178
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	11	0.0	22.603	5.619	3.159	0.0	14.34	6.776	3.192
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	12	0.236	24.568	6.021	3.472	0.0	14.746	6.839	3.32
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	13	0.0	24.044	5.561	3.199	0.0	15.741	7.212	3.604
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	14	0.0	22.826	5.48	3.077	0.0	15.99	6.596	3.304
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	15	0.079	24.188	5.425	3.201	0.0	16.265	6.602	3.28
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	16	0.079	24.961	5.418	3.053	0.0	15.938	7.369	3.675
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	17	0.0	25.21	5.451	3.186	0.0	16.579	6.727	3.338
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	18	0.0	27.213	5.7	3.447	0.0	17.208	6.906	3.524
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	19	0.0	27.475	5.85	3.495	0.0	16.985	7.029	3.602
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	20	0.0	28.981	5.649	3.464	0.0	18.112	6.246	3.192
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	21	0.0	29.204	5.495	3.404	0.0	18.098	6.887	3.584
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	22	0.026	30.893	5.487	3.482	0.0	18.02	7.241	3.733
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	23	0.0	29.911	5.34	3.346	0.0	19.788	7.152	3.784
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	24	0.0	29.557	5.765	3.583	0.0	19.88	7.262	3.976
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	25	0.013	30.395	5.781	3.655	0.0	18.714	6.859	3.7
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	26	0.013	29.963	5.768	3.675	0.0	19.303	7.183	3.925
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	27	0.013	31.168	5.68	3.661	0.0	21.045	7.322	4.048
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	28	0.0	30.265	5.657	3.657	0.0	22.093	6.591	3.731
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	29	0.039	30.841	5.718	3.706	0.0	22.446	6.866	3.893
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	30	0.0	31.05	5.661	3.673	0.0	23.298	6.897	3.87
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	31	0.0	31.98	5.644	3.72	0.0	22.839	7.111	4.056
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	32	0.0	31.941	5.791	3.824	0.0	20.351	7.232	4.041
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	33	0.0	32.884	5.528	3.583	0.0	22.355	7.104	4.003
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	34	0.0	34.979	5.776	3.919	0.0	24.149	6.946	4.09
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	35	0.0	34.311	5.828	3.843	0.0	23.324	7.005	4.09
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	36	0.092	33.866	5.62	3.748	0.0	23.573	7.158	4.241
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	37	0.118	33.892	5.652	3.804	0.0	24.201	7.002	4.139
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	38	0.0	33.486	5.708	3.856	0.0	25.812	6.724	4.009
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	39	0.052	34.914	5.509	3.721	0.0	23.861	7.341	4.261
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	40	0.0	33.408	5.671	3.807	0.0	25.354	6.969	4.282
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	41	0.0	34.416	5.335	3.611	0.0	25.681	6.823	4.156
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	42	0.0	34.77	5.339	3.67	0.0	24.699	7.222	4.311
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	43	0.026	35.752	5.939	4.119	0.0	26.441	7.167	4.393
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	44	0.0	34.416	5.762	3.906	0.0	26.218	7.291	4.506
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	45	0.0	33.002	6.161	4.107	0.0	24.633	7.121	4.307
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	46	0.0	38.253	5.713	4.006	0.0	26.912	7.052	4.443
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	47	0.0	35.372	5.524	3.817	0.0	27.397	7.251	4.524
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	48	0.0	37.428	5.728	4.008	0.0	27.279	6.712	4.309
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	49	0.013	35.32	5.867	4.015	0.0	27.397	7.183	4.575
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	50	0.144	35.11	5.495	3.758	0.0	27.2	7.182	4.526
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	51	0.013	36.197	5.81	4.03	0.0	27.226	6.942	4.394
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	52	0.092	38.174	5.697	4.001	0.0	27.122	6.879	4.42
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	53	0.026	37.664	6.03	4.378	0.0	28.549	7.277	4.788
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	54	0.0	37.651	6.066	4.22	0.0	29.348	7.316	4.726
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	55	0.013	37.559	5.969	4.26	0.0	28.732	7.503	4.954
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	56	0.013	37.402	5.903	4.193	0.0	28.208	7.224	4.653
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	57	0.013	38.476	6.098	4.288	0.0	28.955	7.611	5.065
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	58	0.0	37.546	6.091	4.299	0.0	29.243	7.081	4.706
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	59	0.0	36.747	5.628	3.978	0.0	28.942	7.259	4.69
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	60	0.0	39.091	5.948	4.284	0.0	30.461	6.811	4.558
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	61	0.0	39.484	5.988	4.328	0.0	29.767	7.335	4.833
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	62	0.0	39.825	6.004	4.355	0.0	30.16	7.359	4.905
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	63	0.0	40.335	5.66	4.224	0.0	29.885	7.367	4.819
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_SGD.yaml	222	64	0.0	39.432	6.029	4.405	0.0	31.168	7.359	4.874
