ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9
0,411,53,53,53,53,347,53,53,347,53
1,390,231,53,53,53,53,53,53,53,53
2,800,174,53,53,53,53,53,53,15,53
3,274,347,347,53,53,347,53,53,53,53
4,498,347,53,12,261,53,53,347,53,53
5,509,347,62,347,53,12,53,53,53,53
6,115,347,12,347,53,53,53,12,53,53
7,294,261,12,347,53,53,53,53,53,53
8,136,409,12,347,347,12,53,53,12,53
9,760,347,261,53,53,53,53,347,53,53
10,229,80,261,53,53,88,53,53,347,53
11,554,69,80,261,53,261,53,53,53,53
12,730,15,53,231,53,53,53,53,347,53
13,138,612,374,161,53,15,53,347,53,53
14,170,117,76,185,53,53,53,53,53,53
15,522,28,203,53,53,53,53,53,53,53
16,203,245,15,53,261,347,53,53,53,53
17,631,33,53,261,53,261,53,53,53,53
18,23,53,3,347,347,231,347,12,53,53
19,6,261,203,231,53,53,53,53,53,53
20,762,231,261,12,53,53,347,53,53,53
21,557,208,53,130,53,12,53,347,347,53
22,111,71,53,53,347,261,347,53,347,53
23,389,12,368,347,647,53,53,53,347,53
24,384,80,53,53,53,536,53,53,347,53
25,110,347,261,138,53,15,261,53,53,53
26,348,38,53,261,387,53,53,347,53,53
27,737,347,149,323,53,368,53,53,53,53
28,182,323,347,53,53,53,53,53,53,53
29,736,368,53,53,53,334,53,53,53,53
30,440,90,498,563,53,662,53,53,53,53
31,264,245,53,12,53,347,53,53,53,53
32,343,53,53,53,53,53,53,53,53,53
33,680,84,368,53,53,53,53,53,261,53
34,388,261,261,261,53,53,53,53,53,53
35,627,200,15,261,53,12,53,53,53,53
36,276,273,270,167,53,53,347,53,261,53
37,101,161,261,261,53,347,347,53,347,53
38,273,230,261,203,53,12,53,347,347,53
39,621,261,53,207,53,347,53,53,203,53
40,172,16,15,16,53,38,53,53,53,53
41,370,365,166,53,53,347,53,347,53,53
42,589,347,53,53,53,53,53,53,12,53
43,88,347,203,53,53,53,53,53,53,53
44,399,5,283,337,53,53,53,347,261,53
45,540,403,15,261,53,53,53,53,347,53
46,397,128,293,347,53,53,53,53,53,53
47,783,347,130,3,53,53,53,53,347,53
48,213,161,261,53,53,347,53,53,53,53
49,569,347,15,347,53,347,53,53,347,53
50,372,261,265,15,53,347,53,368,53,53
51,746,171,207,166,53,53,53,347,53,53
52,725,207,53,53,53,53,53,53,53,53
53,423,207,15,347,53,53,53,347,12,53
54,244,12,16,166,347,347,347,53,261,53
55,548,16,53,53,347,347,53,53,53,53
56,356,87,239,203,53,638,53,53,53,53
57,454,234,367,53,347,222,53,53,347,53
58,654,87,53,53,53,12,53,53,53,53
59,404,347,15,347,53,347,53,347,53,53
60,465,95,95,347,53,347,12,53,53,53
61,477,261,261,12,53,53,53,53,347,53
62,316,528,15,347,53,53,12,53,53,53
63,725,53,261,53,53,53,347,53,53,53
64,511,174,53,347,53,347,53,53,53,53
65,627,323,147,37,53,347,53,53,53,53
66,364,66,255,53,53,261,53,53,53,53
67,95,231,261,53,53,53,53,53,53,53
68,456,53,53,261,232,347,53,53,53,53
69,513,12,44,53,53,367,53,53,347,53
70,522,322,339,203,53,53,347,53,53,53
71,717,222,222,347,53,53,347,53,53,53
72,131,261,27,347,53,53,53,53,53,53
73,141,27,261,53,53,347,347,53,53,53
74,27,203,261,347,432,80,53,53,53,53
75,655,222,15,53,57,347,53,53,53,53
76,180,333,53,53,53,53,53,53,347,53
77,69,797,53,53,53,261,53,53,53,53
78,101,135,261,53,53,347,53,53,347,53
79,149,359,261,53,53,53,53,347,53,53
80,263,80,368,53,53,80,347,53,53,53
81,75,347,244,403,53,98,53,53,53,53
82,419,95,98,15,53,12,347,53,53,53
83,337,90,53,12,53,53,53,53,12,53
84,278,347,261,53,53,261,53,53,347,53
85,393,133,393,51,53,379,53,53,53,53
86,17,351,393,393,53,80,53,347,53,53
87,378,229,180,72,53,379,53,53,53,53
88,230,596,261,12,53,347,53,53,347,53
89,697,347,418,376,330,53,53,53,53,53
90,394,118,241,347,53,99,53,53,53,53
91,7,44,99,619,53,95,53,53,53,53
92,770,99,545,221,53,99,53,53,203,53
93,86,367,53,261,53,261,53,53,12,53
94,699,261,86,86,53,53,53,53,53,53
95,428,536,53,12,53,231,53,53,53,53
96,346,347,782,273,53,347,53,53,53,53
97,119,261,273,129,53,53,53,347,347,53
98,121,86,53,12,53,347,53,53,261,53
99,345,518,15,53,347,203,53,53,53,53
100,358,299,398,309,12,15,347,347,53,53
101,230,347,284,398,395,766,53,53,53,53
102,133,181,261,53,177,261,53,53,53,53
103,425,53,53,53,53,393,53,53,347,53
104,518,270,773,325,53,347,53,53,53,53
105,563,53,53,53,53,53,53,53,53,53
106,745,22,53,53,53,53,347,53,53,53
107,224,176,261,261,53,203,347,53,347,53
108,164,427,613,203,53,67,53,53,53,53
109,41,80,67,67,53,67,53,53,53,53
110,803,67,15,12,53,347,53,53,53,53
111,156,166,260,53,53,67,53,53,53,53
112,549,414,261,53,53,367,53,53,53,53
113,115,347,261,53,53,53,53,347,53,53
114,282,56,53,53,53,53,53,53,53,53
115,590,110,256,285,53,15,53,53,53,53
116,272,713,571,84,53,53,347,53,53,53
117,406,347,64,347,53,53,53,53,53,53
118,229,161,53,261,347,261,53,53,53,53
119,702,190,261,53,53,53,53,53,347,53
120,613,632,205,80,53,231,53,53,53,53
121,384,384,53,53,53,347,53,53,53,53
122,249,347,325,53,53,53,53,53,53,53
123,422,137,261,53,53,53,347,53,53,53
124,266,152,53,12,470,80,53,53,347,53
125,247,166,251,53,466,285,53,53,53,53
126,390,629,53,53,53,347,53,53,53,53
127,699,588,203,53,53,347,53,53,53,53
128,320,88,261,53,53,67,53,53,53,53
129,401,207,320,147,53,53,53,53,53,53
130,301,261,27,347,347,53,53,53,347,53
131,64,568,203,53,53,53,53,53,53,53
132,378,756,53,347,53,53,53,347,347,53
133,213,203,259,259,53,15,53,53,347,53
134,562,476,245,261,53,347,53,53,53,53
135,281,347,381,386,347,231,53,347,53,53
136,572,12,261,53,66,53,53,53,261,53
137,797,516,53,261,53,347,53,53,12,53
138,397,387,15,53,53,53,53,53,347,53
139,478,259,53,53,53,347,347,53,203,53
140,391,347,15,53,347,12,347,53,347,53
141,503,347,335,261,347,67,53,53,53,53
142,131,261,80,53,347,341,53,53,53,53
143,60,347,15,53,53,365,347,12,53,53
144,23,321,571,15,53,53,53,53,53,53
145,149,98,203,347,53,53,53,53,53,53
146,154,91,429,489,347,342,53,53,53,53
147,467,347,347,53,53,347,53,53,53,53
148,237,347,203,53,66,53,53,53,53,53
149,218,347,399,399,53,12,53,53,53,53
150,504,347,601,470,53,15,347,53,53,53
151,7,351,7,12,53,261,53,53,347,53
152,791,222,53,261,347,347,347,53,347,53
153,313,321,53,53,347,53,347,53,53,53
154,808,261,15,12,53,53,53,53,53,53
155,494,206,109,462,53,368,53,53,53,53
156,101,261,128,53,53,67,53,53,347,53
157,402,347,261,53,53,231,53,53,347,53
158,485,393,243,53,53,53,53,53,347,53
159,611,261,12,53,53,347,53,53,53,53
160,577,168,168,356,71,261,347,347,53,53
161,357,261,261,53,53,347,53,53,53,53
162,250,347,347,12,53,347,53,53,53,53
163,375,203,53,53,53,53,53,53,53,53
164,210,323,203,261,53,53,53,53,53,53
165,345,308,18,15,53,99,53,53,53,53
166,779,347,15,347,53,53,53,53,53,53
167,190,145,53,53,53,53,53,347,53,53
168,285,323,67,285,53,367,53,53,53,53
169,809,270,261,53,53,53,53,53,347,53
170,687,111,245,270,53,368,53,53,53,53
171,297,15,261,53,53,53,12,53,53,53
172,406,300,379,343,53,347,53,53,261,53
173,67,429,261,53,53,347,53,53,53,53
174,499,261,15,347,53,347,53,53,53,53
175,604,38,359,347,53,12,53,53,53,53
176,161,53,261,53,53,53,53,53,347,53
177,183,63,53,53,53,231,53,53,53,53
178,100,140,261,261,53,53,53,53,347,53
179,722,152,53,53,53,53,53,53,347,53
180,553,102,584,372,12,347,53,347,53,53
181,103,347,207,53,53,347,53,53,53,53
182,271,347,261,261,53,53,53,53,53,53
183,587,356,261,368,53,53,53,53,53,53
184,356,780,15,377,53,53,53,53,261,53
185,74,414,15,53,53,347,347,53,53,53
186,334,80,203,12,53,347,53,53,347,53
187,797,347,203,347,53,53,53,53,53,53
188,192,387,53,53,53,53,53,53,53,53
189,759,447,261,203,87,347,53,53,53,53
190,634,3,212,53,53,38,53,12,53,53
191,322,347,53,12,53,53,53,53,347,53
192,390,137,261,53,556,53,53,53,53,53
193,742,222,446,53,53,67,53,53,53,53
194,43,347,53,53,53,347,53,53,347,53
195,625,179,203,53,53,53,347,53,53,53
196,274,32,261,53,53,53,347,53,347,53
197,752,214,261,53,53,53,53,53,53,53
198,355,189,261,53,53,347,53,53,53,53
199,479,222,203,53,53,222,347,53,347,53
200,189,80,347,261,53,12,53,53,53,53
201,416,323,207,364,53,98,53,53,53,53
202,400,347,261,347,53,53,53,53,53,53
203,402,347,368,53,53,261,53,53,53,53
204,26,261,261,12,53,53,53,53,12,53
205,785,69,53,53,53,53,53,53,53,53
206,664,347,53,53,53,53,347,53,53,53
207,369,203,367,369,53,286,53,53,53,53
208,490,380,53,53,66,53,53,347,53,53
209,371,369,261,53,53,53,53,53,12,53
210,586,347,79,309,53,347,53,53,53,53
211,654,185,368,584,53,53,347,53,53,53
212,148,220,379,347,347,326,53,53,347,53
213,455,347,53,53,53,231,53,53,53,53
214,190,395,347,203,53,53,53,53,53,53
