Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	0	0.0	4.623	1.104	0.169	0.0	5.081	0.94	0.152
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	1	0.0	4.178	1.601	0.189	0.0	4.754	1.37	0.172
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	2	0.0	3.824	2.617	0.256	0.0	4.361	2.338	0.246
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	3	0.0	3.903	2.757	0.295	0.0	4.453	2.635	0.296
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	4	0.0	4.204	0.901	0.133	0.0	4.531	0.887	0.135
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	5	0.0	4.034	4.305	0.517	0.0	4.02	4.308	0.547
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	6	0.0	4.295	6.174	1.105	0.0	4.57	6.48	1.214
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	7	0.0	6.181	6.7	1.754	0.0	6.142	7.366	1.861
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	8	0.0	8.106	7.682	2.534	0.0	8.408	7.981	2.53
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	9	0.0	10.385	8.04	2.938	0.0	10.241	8.229	2.885
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	10	0.0	11.655	8.042	3.102	0.0	11.262	8.082	2.973
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	11	0.0	13.148	8.586	3.526	0.0	13.057	8.556	3.325
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	12	0.0	14.366	8.716	3.71	0.0	13.646	8.813	3.517
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	13	0.0	16.213	9.564	4.202	0.0	15.034	9.577	3.962
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	14	0.0	16.92	9.393	4.217	0.0	15.663	9.513	4.037
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	15	0.0	18.4	9.378	4.348	0.0	16.75	9.468	4.143
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	16	0.0	20.089	9.381	4.401	0.0	17.588	9.37	4.153
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	17	0.0	20.102	10.431	4.946	0.0	18.544	10.36	4.627
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	18	0.0	21.215	9.641	4.652	0.0	19.539	9.461	4.3
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	19	0.0	22.289	10.067	4.962	0.0	19.722	9.953	4.591
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	20	0.0	23.795	10.038	4.981	0.0	20.744	9.963	4.64
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	21	0.0	23.926	10.368	5.222	0.0	21.019	10.171	4.745
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	22	0.0	25.249	9.961	5.098	0.0	21.32	9.852	4.671
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	23	0.0	25.458	10.796	5.571	0.0	22.093	10.703	5.073
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	24	0.0	26.1	10.315	5.385	0.0	23.062	10.24	4.941
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	25	0.0	27.279	9.496	5.029	0.0	23.507	9.46	4.583
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	26	0.0	28.287	10.64	5.634	0.0	24.306	10.625	5.201
jx_nest_base	configs_multi/jx_nest_base/config_jx_nest_base_ArcFace_SGD.yaml	222	27	0.0	28.326	10.905	5.804	0.0	24.411	10.724	5.274
