ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53
0,6396,3130,6897,680,2560,285,5869,3313,1681,2906,2233,2233,2811,2550,2550,2707,635,2550,3313,2707,2707,2707,2717,2707,2707,2707,2707,2707,2734,2707,2707,2707,2550,2707,285,2550,2550,2734,2734,2734,2734,2734,2734,886,2550,2550,2707,886,2707,2707,2707,2707,2707,2707
1,985,4502,6897,2836,2560,123,819,285,2398,1858,2398,1858,1231,285,888,285,635,2695,419,419,888,888,635,285,1395,2695,635,1782,635,2717,2717,2717,2220,2717,427,2717,2717,2717,2717,2172,635,635,635,2695,635,2695,2758,2695,2695,635,2172,2717,2758,2695
2,985,4502,6897,852,1734,3209,3209,285,3160,2906,3209,2811,2811,2811,888,888,888,888,3133,2172,888,888,1858,1657,1272,888,896,2172,886,2172,2172,3133,2172,2000,896,3398,2000,3133,2142,2172,896,3398,2172,896,2142,2142,3393,2172,2172,2172,2172,3393,3393,3393
3,985,3130,2111,2135,1374,1962,1374,1919,1374,533,2969,533,533,533,487,2378,271,1887,442,2969,1068,1676,11,2969,613,11,2885,2885,11,271,11,2885,776,3416,1676,1676,11,3416,2969,1676,1676,1676,11,1676,613,2969,2969,2856,1676,2969,2969,487,271,1676
4,985,3130,1395,2135,3321,363,3444,363,3163,1315,1315,2383,2135,2982,2910,1315,2910,2910,2910,2910,2313,2313,2863,2976,155,1622,2976,155,2910,641,2430,641,3250,1315,1622,1220,641,1220,1220,5083,1364,1793,2910,641,1622,1315,641,641,641,2910,1622,2553,2910,641
5,6396,4502,2111,680,3421,745,1715,1854,2226,1201,469,469,533,533,1149,974,1809,1149,3250,3416,3250,3416,1809,1809,1809,1809,1809,1809,1809,1809,3416,3416,3416,1809,1809,3416,1809,3416,1854,3416,1809,3416,3416,1809,1809,3416,1809,3416,1809,3416,3416,3416,3416,3416
6,985,3130,5930,1196,3002,805,2042,1364,3243,174,1837,1837,1554,174,3243,2578,2732,531,2799,2585,795,795,795,1364,680,2799,2799,1428,795,174,795,6872,2549,2549,1428,795,795,1428,1428,1428,795,2585,174,795,1428,1428,795,795,1428,795,795,174,174,1428
7,985,4502,2111,680,1222,6316,3142,3142,2073,3340,1252,1526,1686,1073,1073,1073,1073,1073,1073,2837,1073,1526,1073,1073,1073,2816,1073,6766,778,1526,6766,1252,1252,1526,1252,1252,6766,1526,1252,1252,2816,1526,3115,1252,1526,1252,778,3115,1252,2816,1252,1526,1625,3350
8,6396,4502,5930,2756,974,3298,343,1342,343,3348,497,4525,2657,2000,186,186,2657,2657,2657,2657,186,1889,2657,1889,2657,2657,2657,266,266,266,2022,2022,1889,1889,2022,2022,2022,1889,2022,2022,1889,1889,2261,2022,2022,2022,3198,1889,2657,3040,1889,3040,3348,2969
9,985,3130,6995,3487,1273,5972,4438,4438,6707,6374,1609,92,3231,3512,3231,2603,2603,2603,2603,2603,2603,2603,3231,2603,2603,2603,1732,2603,3231,2603,2603,2603,3231,2603,2603,2603,2603,1732,2603,4567,4567,2603,2603,2603,1732,2603,5431,4567,2603,2603,2603,2603,2603,2603
10,985,3130,1232,1955,642,2927,1500,1480,1480,2411,1480,2834,2834,850,2755,850,2834,850,2834,2834,2834,2834,2834,2834,2834,2834,2834,6765,2755,2834,3093,2755,2834,2755,6280,3969,2755,6765,3362,2834,6765,6280,3565,2834,6280,3362,6765,3548,2755,3548,5908,2755,6765,6765
11,985,3130,2111,1762,138,1061,3106,84,4825,622,3231,3345,3345,3345,2834,177,3345,2834,3345,3345,2834,51,3231,3231,2834,2834,2021,3231,3231,5397,2834,2834,3345,2834,2834,2834,5397,5397,2834,2834,2834,2021,3345,2021,2021,5397,2021,2524,2524,2021,2021,2834,5397,2021
