Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	0	0.0	19.971	1.916	0.05	0.0	8.041	1.794	0.049
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	1	0.0	1.925	2.409	0.094	0.0	1.964	2.739	0.102
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	2	0.0	2.606	3.696	0.513	0.0	2.357	4.056	0.48
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	3	0.0	9.403	5.744	2.232	0.0	7.124	5.754	1.981
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	4	0.0	20.914	7.697	4.371	0.0	15.191	7.932	4.043
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	5	0.0	35.398	8.807	6.175	0.0	23.717	8.667	5.298
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	6	0.0	47.237	13.035	10.785	0.0	33.931	11.799	8.346
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	7	0.0	56.613	19.199	17.342	0.0	42.313	15.65	12.064
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	8	0.0	62.087	22.833	21.795	0.0	47.734	17.041	13.726
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	9	0.0	67.981	31.679	32.625	0.0	54.256	23.021	19.79
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	10	0.0	73.009	35.923	40.14	0.0	58.748	31.888	29.736
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	11	0.0	76.27	37.664	44.33	0.0	63.266	36.782	36.362
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	12	0.0	80.081	39.554	49.024	0.0	68.321	39.441	41.618
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	13	0.0	83.486	40.009	51.837	0.0	72.813	41.335	46.112
jx_nest_base	configs/jx_nest_base/config_jx_nest_base_CosFace_AdamW.yaml	222	14	0.0	84.848	40.471	53.918	0.0	75.642	41.78	47.97
