ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28
0,985,3973,5603,3915,158,3157,3451,475,6555,5189,6286,2882,5497,1474,5366,5366,6700,1854,3052,5956,1474,6177,4370,4370,4370,5119,4370,4370,722
1,985,3973,1049,6743,1287,4400,3451,3480,4916,3089,1681,2618,439,958,2804,278,2758,3498,1380,2618,2828,2399,530,419,1287,419,427,1287,3413
2,985,3973,5603,3915,1511,4400,469,406,4699,2534,6441,1858,2398,5249,1909,1356,2409,2260,2260,451,2730,2398,2398,2398,285,285,1899,285,2398
3,985,3973,5603,2586,5935,2111,2234,406,2456,631,1073,2237,1791,3049,1676,3346,1676,1757,395,395,395,3228,1676,395,395,1146,1676,3250,2856
4,985,3973,1301,2516,6122,4802,5763,3862,5218,4850,3271,599,3151,2177,3352,1694,2341,212,271,1029,2885,2191,2757,1261,2191,2807,3293,535,3292
5,985,3973,1301,3915,5935,2111,4826,406,5218,3366,1216,3417,1803,3049,2386,852,1664,539,539,2904,2885,1803,2904,395,1736,3468,1791,3250,1919
6,985,3973,1301,2586,1511,4400,3451,6028,2970,359,2213,2970,1712,2862,2732,2149,2341,2795,336,908,2773,1563,2653,1473,1910,2386,2314,2386,1473
7,985,3973,5603,3915,5935,4400,469,406,2456,3140,1073,1471,2853,3133,1674,2523,2341,2288,1073,1503,3490,1674,1503,1222,2854,1222,6316,1674,3730
8,985,3973,1301,3915,158,4400,469,821,4699,2534,797,3417,2398,526,3400,558,1196,1933,566,343,2885,566,566,566,566,477,445,1427,252
9,985,4502,1049,6743,6481,4400,3451,475,4699,6851,778,5189,3601,938,2040,2711,3896,347,4669,5475,4669,6700,6700,7043,6700,4540,4669,525,6700
10,985,3973,1049,6743,6122,4400,2139,255,408,1576,4118,3050,2980,2877,1670,4272,3593,1724,5700,4030,162,3657,3294,2141,353,6280,6941,1881,4049
11,985,3973,1301,1252,6122,716,4792,95,1747,3089,3380,888,4268,1137,2196,563,2707,1781,5311,4130,2034,2741,6125,1977,888,888,3932,2534,888
12,985,1350,1025,3915,158,2702,3451,2810,4916,947,3520,2541,396,1272,396,4688,1101,2084,1585,396,408,4866,2452,396,396,916,396,916,5573
13,985,1350,1025,3915,158,3157,469,2810,671,1376,2014,3050,674,865,3102,3478,2660,2394,1585,1686,2709,1686,613,1686,613,3098,369,3098,3050
14,985,3973,5603,3915,158,4400,3451,3480,4916,338,1681,2970,2828,337,2804,2804,2041,2339,290,2449,408,1524,2339,396,408,1712,821,1712,1524
15,985,3973,5603,2586,1511,553,3451,3480,4046,2560,123,2618,3369,1272,2231,2804,2341,1734,769,1311,41,1004,3160,1471,1215,1004,1004,2560,6657
16,985,3973,5603,3915,158,4400,1114,6140,6555,1003,5398,2221,1658,2804,2040,2804,961,2289,3052,2804,2771,3441,1239,1705,2804,1239,2021,1311,2044
17,985,2930,1049,5410,1511,4400,3451,2040,4916,338,1890,3093,3369,131,2804,2804,2025,824,824,123,3315,1474,2608,824,2608,2608,824,2608,2608
18,985,3973,5603,3915,158,187,2561,2810,5781,5189,2014,2381,4280,1272,4287,2249,1427,49,1049,946,1776,946,3515,3079,3515,976,1519,1519,341
19,985,3973,1049,2586,6122,4400,2261,4127,4699,1376,778,1263,3151,1931,2792,1507,2355,2355,2355,2355,1776,2355,2355,2355,2355,2355,2355,2355,2355
20,985,3973,5603,2516,6122,2037,1722,406,4676,3140,2940,242,2549,1556,1000,2211,3301,1757,2825,83,56,467,56,2593,2593,976,56,56,56
21,985,3973,5744,3691,5006,4949,4312,4185,3820,4093,6773,6375,2032,1577,1916,6540,6097,6097,1437,5788,3712,3127,2723,1500,2824,2824,2824,3069,2824
22,985,3973,1049,2586,1511,4400,1212,679,1785,1376,5398,2206,4981,1875,3703,4272,3674,3184,6734,5318,4477,199,6835,110,3998,3998,2145,1541,484
23,985,3973,5603,2516,6122,4340,5909,4126,3475,944,5589,6540,7016,6275,6540,3934,6148,3700,3700,6431,6431,881,3700,1337,3998,3998,3555,3998,3555
24,985,1132,1049,5410,158,20,2139,2040,408,338,640,3050,1712,958,1046,3275,2025,3275,1927,2025,3315,1890,2935,2568,2568,1890,1890,1890,1890
25,985,3973,5744,1252,6122,6358,7033,5132,1093,3232,2940,1472,1047,3229,1783,813,2785,2359,3025,632,3369,366,987,2568,1233,824,1924,2634,1890
26,985,1132,1049,6743,6122,716,2139,2040,4916,3140,3520,323,2848,5162,2478,3229,303,2084,2448,1657,882,1383,1442,3280,741,1443,1442,1525,1095
27,985,3973,1301,3915,1511,553,3451,6028,671,277,1681,3417,3172,3049,1877,3516,1629,3516,230,343,1676,406,3114,606,3114,1676,1676,1676,2969
28,985,3973,1301,2516,1511,3087,3451,2912,5781,1376,3579,5576,3589,3745,2369,579,2785,2471,2881,1123,2248,762,762,2910,2910,1925,1716,1716,1867
29,985,3973,1049,853,6481,4400,3451,6028,4757,5806,6973,169,2424,2689,3451,3009,2825,2298,3009,2825,2885,3009,2298,2298,2990,2990,985,2990,2990
30,985,4767,5744,6628,5006,432,4312,4185,6429,4093,6773,3845,6960,4592,4283,4592,4651,5199,3627,5511,5105,2614,3359,129,6406,3147,363,3457,1473
31,985,3973,1933,2586,1511,2925,2338,2040,2456,1631,1681,3050,2055,3044,1730,2559,2476,2015,662,2026,3442,2633,2476,2435,1674,1674,1674,2435,2476
32,985,3973,1301,2586,1511,1820,5182,6028,2229,3140,1951,3050,3215,2571,292,1549,1689,292,1878,1548,359,1548,2657,1860,1860,442,1860,1860,1568
33,985,3973,1933,6743,6481,4400,4789,4968,3530,5621,4121,1555,2176,2912,6579,375,3944,2912,968,3883,3208,5169,5864,5864,301,2351,5089,2748,5747
34,985,1132,1049,6743,604,4400,3451,3727,5986,6851,6441,1471,5497,6842,1949,2253,4715,1522,3052,3053,1522,73,1148,1522,1522,1522,1522,3391,1522
35,985,3973,1049,6743,1287,4400,5912,4127,4699,2102,6286,2795,73,2216,3455,937,3896,937,2639,5904,1204,1348,4867,636,1226,4867,1684,6909,1226
36,985,3973,1301,2586,1843,716,2561,1217,740,4242,2790,3024,2156,2324,1068,2211,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987
37,985,3973,1049,6743,1511,2925,2590,2040,6323,1376,4360,1970,3456,1628,3040,2253,2417,1781,329,1697,1315,329,810,329,1866,810,810,2975,2375
38,985,3973,1049,2586,1511,2925,3496,2810,3323,3206,1332,2913,4280,542,884,2665,1168,1332,3489,1420,1637,1332,906,1773,542,4266,2773,2773,3871
39,985,3973,1301,2586,6122,716,4792,6028,2229,618,2132,3050,3172,547,2796,1575,292,292,2506,2596,1676,1902,1044,1044,2443,442,2542,2542,2095
40,985,3973,5744,1252,6122,6358,7033,6639,3264,6786,3574,6113,1881,6499,2031,2241,1374,2073,2073,3449,2073,3182,445,3182,3182,445,3313,3799,2190
