ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21
0,322,436,604,53,53,407,568,41,170,86,100,78,179,23,23,148,78,225,225,53,149,53
1,285,323,270,53,4,53,287,241,318,260,260,139,23,131,131,147,53,53,53,53,53,53
2,604,14,505,53,128,6,125,356,23,53,78,53,149,257,257,257,263,257,257,257,53,257
3,352,114,19,12,375,325,66,295,150,322,309,65,334,347,347,245,224,224,347,220,220,308
4,121,287,148,210,347,80,429,554,40,347,384,255,224,220,220,111,6,24,68,287,187,290
5,458,310,735,53,347,347,281,41,347,19,263,303,339,223,130,308,208,208,297,179,308,308
6,12,476,80,12,12,149,11,30,70,223,366,269,334,269,121,269,224,171,269,224,171,295
7,159,633,270,347,49,313,231,148,80,208,295,75,653,187,79,79,360,360,121,360,360,360
8,259,519,711,12,211,12,187,329,203,364,174,378,75,275,78,366,245,191,275,179,208,385
9,261,231,123,347,256,180,10,352,352,67,10,192,189,187,189,635,125,125,635,125,125,534
10,261,361,88,203,153,405,611,183,348,393,403,74,353,107,99,635,99,293,293,99,123,99
11,68,131,320,261,261,23,178,41,80,301,400,339,21,80,263,214,378,613,378,378,378,356
12,588,426,803,15,139,390,100,329,79,321,356,356,390,15,15,356,15,51,15,15,15,273
13,651,287,810,270,653,15,109,227,330,378,356,127,390,87,142,109,41,247,390,390,87,390
14,411,707,35,15,15,15,91,75,115,115,251,115,51,218,51,15,40,15,15,15,15,15
15,341,225,802,347,159,667,342,362,203,75,203,147,86,273,86,203,203,203,203,203,203,203
16,518,287,203,53,177,203,472,115,203,251,203,203,203,203,203,203,203,203,203,203,203,203
17,101,636,179,203,78,673,342,109,337,207,378,41,78,364,283,203,203,203,203,203,203,203
18,231,785,638,15,231,212,590,97,295,80,200,281,256,231,70,347,148,148,148,190,148,148
19,334,517,440,89,736,41,12,105,105,381,35,213,237,231,231,231,231,231,231,231,231,231
20,329,287,585,53,225,550,237,264,346,263,53,346,346,346,346,231,231,231,231,231,231,231
21,711,507,379,166,368,802,358,278,365,387,210,210,368,368,368,368,368,368,368,368,368,368
22,8,596,358,347,351,31,3,570,325,421,210,516,210,368,229,229,681,543,368,689,368,368
23,368,25,3,368,368,249,115,560,599,506,740,734,368,368,368,506,368,368,368,368,368,368
24,287,253,403,203,80,80,242,170,313,377,323,188,170,254,137,101,137,137,80,80,80,101
25,224,560,12,15,66,730,148,6,264,335,366,80,80,103,366,80,80,80,80,80,80,80
26,528,58,347,347,80,74,328,82,327,403,101,254,80,21,21,21,101,21,80,80,80,80
27,689,413,256,323,456,539,283,312,147,161,103,245,161,191,20,223,171,224,223,162,295,102
28,323,555,725,53,602,167,595,159,340,111,140,47,385,14,22,20,136,353,14,353,14,14
29,323,697,55,15,323,96,409,288,123,79,372,208,329,328,12,275,194,194,330,347,327,218
30,245,285,672,245,343,696,666,135,7,245,121,112,31,132,166,119,245,84,245,245,84,245
31,245,310,43,245,245,223,160,338,281,334,335,144,111,6,245,220,220,220,245,22,22,245
32,305,634,243,12,536,523,285,71,326,371,106,274,20,171,171,84,245,84,84,84,245,84
33,374,347,331,203,34,326,648,243,159,541,261,729,807,729,673,561,807,576,760,807,807,489
34,321,6,356,261,100,446,607,177,321,139,100,134,100,362,143,362,395,100,19,143,362,362
35,742,703,321,15,321,321,169,648,5,595,647,379,51,400,142,230,128,128,671,321,321,128
36,644,625,593,15,342,696,6,188,396,40,178,178,245,178,178,178,178,140,140,140,270,140
37,722,663,728,137,270,492,192,171,362,653,255,40,30,30,270,388,270,270,270,270,270,270
38,377,312,555,15,388,643,596,132,690,277,377,145,160,316,316,285,368,196,45,338,338,338
39,241,797,536,368,590,337,287,212,144,106,250,24,111,295,295,166,166,166,166,166,166,166
40,166,775,51,53,80,126,269,404,389,197,265,404,166,360,166,360,166,166,166,309,309,309
41,739,658,661,203,229,373,711,121,365,358,7,132,340,340,132,83,132,132,166,166,166,166
42,804,679,219,347,405,767,162,132,221,101,165,28,28,121,187,28,121,187,121,187,28,187
43,275,125,184,347,28,583,137,290,37,24,269,34,377,404,28,28,360,28,28,360,28,28
44,28,320,398,28,311,120,102,323,104,421,340,105,28,192,192,28,111,28,28,28,28,28
45,422,173,698,130,68,51,84,388,221,93,256,211,310,130,130,130,130,130,130,130,130,130
46,768,757,187,15,691,394,1,270,360,130,388,35,130,79,162,118,130,130,130,130,130,130
47,388,346,143,80,130,318,389,129,334,208,334,178,347,22,364,22,364,102,212,339,339,130
48,161,427,88,392,388,205,340,256,161,218,260,256,385,256,161,161,161,161,161,161,161,161
49,161,3,347,161,7,384,255,339,66,351,136,21,41,161,161,161,161,161,161,161,161,161
50,161,374,494,347,389,131,280,260,248,148,66,361,156,256,156,161,161,179,161,161,161,161
51,697,298,775,130,594,42,346,400,162,399,136,179,103,161,60,60,234,49,161,312,312,312
52,6,422,132,10,207,634,353,351,269,330,328,150,3,327,103,366,275,49,49,49,49,49
53,7,356,401,359,207,463,346,366,41,400,237,400,400,280,59,319,400,400,399,399,399,399
54,549,663,69,53,572,432,138,250,369,138,277,159,795,45,5,368,45,338,391,16,45,16
55,95,645,776,203,98,394,592,345,145,183,382,595,253,734,622,735,469,622,734,735,735,622
56,393,671,58,53,768,668,177,335,690,469,85,177,632,20,333,189,333,20,20,32,20,338
57,68,163,803,229,224,268,196,207,53,400,327,80,28,111,208,208,208,224,224,12,388,224
58,766,189,379,53,367,558,371,664,341,100,723,87,40,47,79,163,382,297,382,285,365,353
59,706,6,377,80,235,695,220,690,252,250,270,86,232,308,274,195,232,195,212,195,270,270
60,95,202,674,368,95,95,423,443,539,539,594,36,702,532,95,95,95,95,95,95,95,231
61,95,804,351,347,95,476,237,5,5,702,702,42,42,95,95,95,95,95,95,95,95,95
62,64,513,648,15,224,255,195,613,179,283,95,95,95,774,95,95,95,95,95,95,95,95
63,354,760,674,289,174,626,399,297,366,400,275,366,78,131,303,102,216,174,275,174,179,179
64,613,187,366,53,339,584,736,364,263,329,170,41,260,260,174,174,174,174,174,295,295,295
65,174,710,80,80,308,170,26,399,131,19,174,260,174,174,174,174,174,174,174,174,174,174
66,647,752,423,66,145,763,393,105,179,59,251,385,385,318,335,323,335,89,353,89,66,66
67,281,356,158,53,707,533,396,354,278,259,403,293,160,107,233,333,293,126,333,66,126,126
68,211,708,687,53,66,402,452,659,333,284,380,206,400,376,393,66,376,376,376,107,66,66
69,742,365,334,347,222,222,757,11,3,288,376,211,99,66,66,159,676,66,160,222,159,222
70,797,607,9,222,127,130,477,211,5,181,333,181,259,181,259,222,181,222,181,181,181,181
71,385,530,400,15,222,137,22,206,290,66,168,222,403,222,222,222,380,222,393,393,393,222
72,27,130,338,12,659,289,533,3,28,270,191,60,164,164,3,14,187,187,93,144,187,144
73,27,451,131,323,27,38,156,221,369,388,29,252,358,358,289,358,284,358,358,358,358,73
74,27,372,259,347,491,568,0,326,155,39,313,374,141,141,374,226,226,226,226,226,226,226
75,594,13,88,25,8,378,40,297,80,297,148,118,179,237,27,284,284,284,284,284,284,284
76,351,417,240,53,64,688,29,106,64,279,274,309,387,8,8,8,8,8,8,8,8,8
77,310,748,234,79,8,759,783,85,332,370,25,8,363,8,381,8,76,118,8,76,284,8
78,635,138,473,347,92,88,678,320,221,167,173,167,320,154,46,320,320,46,46,46,46,46
79,38,658,208,368,726,185,189,215,148,221,126,74,221,221,246,246,46,38,38,153,38,38
80,38,235,135,53,234,549,357,401,276,359,25,154,154,311,311,74,180,180,153,153,359,359
81,466,712,313,53,98,98,237,53,35,120,339,309,213,213,213,213,213,213,213,213,213,213
82,369,86,21,347,71,322,720,222,89,197,98,589,98,98,98,98,98,98,98,98,98,98
83,357,366,578,98,361,623,389,797,89,197,98,387,98,98,98,98,98,98,98,98,98,98
84,393,76,553,347,720,92,333,289,137,269,197,94,380,99,99,99,99,393,393,393,393,99
85,393,647,238,347,393,20,372,245,393,393,393,393,393,393,393,393,393,393,393,393,393,393
86,86,310,349,15,372,194,274,286,313,393,400,376,393,333,393,136,393,393,333,296,393,393
87,376,449,287,293,376,432,243,126,355,44,376,376,376,259,355,259,376,376,376,376,317,376
88,403,661,524,53,376,619,58,308,393,369,369,288,369,160,37,37,37,376,690,296,676,296
89,376,526,422,695,85,718,454,374,25,320,253,402,402,89,126,133,66,376,126,126,376,376
90,310,434,613,270,99,13,115,293,310,168,168,133,168,259,259,259,393,393,393,393,222,222
91,177,420,247,53,132,187,168,376,137,357,335,335,99,355,355,355,355,393,183,376,296,393
92,225,737,400,130,280,711,759,133,134,229,421,160,159,222,222,222,159,13,159,159,159,222
93,86,70,434,86,139,308,591,554,671,177,245,177,86,86,86,86,86,86,86,86,86,86
94,416,100,594,15,86,86,665,177,36,588,86,139,86,657,657,366,86,273,273,203,273,86
95,325,175,135,384,78,450,213,257,218,75,91,78,203,203,86,86,86,86,86,86,86,86
96,317,86,727,12,181,329,410,273,576,100,100,342,342,342,177,342,342,139,86,86,134,86
97,665,299,91,231,652,512,688,660,143,429,19,321,86,134,429,342,86,203,203,203,273,273
98,189,35,609,347,273,780,757,745,510,273,36,19,19,19,19,273,86,177,134,134,134,134
99,79,665,548,368,768,398,793,717,501,479,462,395,303,280,48,68,48,258,210,398,258,264
100,32,693,750,140,108,108,515,600,368,272,421,421,58,539,641,48,659,148,211,211,328,148
101,398,126,147,347,211,629,671,780,788,181,194,125,41,264,86,264,264,109,211,211,109,109
102,569,413,458,209,140,51,806,274,338,338,45,285,347,163,313,78,3,525,308,367,163,382
103,803,17,366,53,140,385,107,121,275,224,191,73,73,166,239,187,239,30,187,187,187,187
104,686,183,711,398,718,32,720,72,572,387,84,29,357,187,108,212,224,388,104,140,165,270
105,408,615,799,53,176,498,193,77,320,167,217,332,108,374,234,374,176,77,229,271,229,77
106,245,168,22,180,244,155,783,31,126,370,226,3,108,108,124,229,234,326,282,176,326,326
107,166,648,236,176,25,507,297,240,369,124,108,108,282,253,221,369,326,176,326,176,326,326
108,67,354,334,80,67,324,506,89,126,219,107,175,296,345,376,160,376,376,376,259,259,355
109,67,638,472,347,67,42,5,196,45,107,211,189,189,189,376,189,123,160,293,160,293,160
110,386,755,623,347,651,100,166,506,166,632,396,345,421,345,376,380,293,376,393,393,37,259
111,286,600,152,347,286,93,347,137,195,335,60,3,280,156,3,156,238,20,351,53,314,20
112,457,403,66,53,136,40,382,70,175,161,70,313,103,195,256,4,314,195,314,195,351,20
113,286,492,205,515,337,46,252,394,186,322,29,313,3,351,361,351,286,286,195,286,286,195
114,423,472,5,12,131,658,213,174,78,131,339,78,147,23,23,149,131,131,346,131,131,131
115,165,162,718,131,337,471,206,70,231,286,381,306,200,213,200,306,35,178,351,35,35,35
116,799,309,174,131,162,104,170,22,400,223,256,162,174,174,174,174,174,131,303,303,303,149
117,365,510,638,347,425,721,711,6,34,555,42,224,384,384,384,384,42,255,42,42,42,292
118,365,679,301,101,154,546,309,195,317,33,370,68,197,144,33,33,33,29,29,31,387,24
119,356,40,105,53,345,25,344,297,166,184,282,245,322,245,245,245,382,112,112,84,7,31
120,157,760,794,53,472,458,156,695,89,126,365,229,9,108,229,57,129,129,129,11,11,11
121,360,303,282,384,345,164,547,284,192,264,396,121,657,11,325,11,384,43,384,384,384,384
122,384,381,583,86,680,161,290,162,250,292,7,42,119,287,292,287,292,292,292,68,800,292
123,341,528,259,53,802,690,7,247,253,368,195,232,382,341,274,270,308,341,250,341,391,341
124,203,25,370,53,10,374,131,191,293,586,3,150,367,361,97,267,195,195,140,297,108,232
125,341,576,329,355,341,259,13,296,367,306,134,40,95,95,95,95,98,341,341,341,341,341
126,693,479,623,323,88,671,139,342,139,157,241,182,241,283,241,251,251,157,251,241,251,241
127,673,483,105,15,88,339,404,169,117,378,170,88,179,88,88,88,88,88,88,88,88,310
128,88,26,339,347,470,345,131,186,255,365,3,136,88,88,88,88,88,88,88,88,88,88
129,171,255,568,53,731,171,484,76,340,369,171,371,171,279,171,389,171,171,171,279,171,171
130,153,289,371,53,236,247,504,64,9,282,252,171,92,279,282,252,374,358,171,358,358,358
131,377,573,471,281,171,695,229,340,66,237,165,171,65,152,152,171,171,171,171,171,171,171
132,583,726,108,80,132,489,266,394,369,153,141,317,126,317,305,402,305,317,317,305,317,126
133,581,645,323,259,229,804,107,800,371,729,333,400,421,66,376,355,259,293,259,393,259,159
134,797,748,341,259,259,620,505,807,632,676,690,296,37,355,107,421,421,421,183,183,159,183
135,720,396,134,53,232,69,145,565,532,162,3,341,372,82,351,232,232,286,232,163,286,205
136,107,729,722,86,97,594,331,168,126,22,187,47,207,165,70,351,194,108,108,297,341,341
137,232,244,469,53,322,539,338,734,702,82,314,314,82,285,232,314,232,314,232,232,232,195
