ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21
0,3055,4502,3516,747,1883,2061,6844,3313,2246,1513,1289,1780,2534,566,2347,285,424,888,2534,1233,2811,3133
1,3370,3130,3516,747,1883,2061,3646,3313,3353,3133,3348,1638,2534,2560,2347,285,2382,2828,1858,2695,1233,3133
2,3055,3130,3516,747,1883,2061,3646,3313,3353,3133,1289,833,2534,970,419,419,52,888,1858,3209,1233,3133
3,3055,3130,3516,747,1883,2061,3646,59,2246,1367,595,974,915,3106,2732,1374,2732,2783,11,1610,3195,389
4,3691,3130,3516,747,1883,2061,3646,3313,2246,106,459,1410,2803,2266,363,1408,1199,2783,3250,1164,1837,1766
5,4741,3130,3516,747,1883,2061,3646,59,560,3133,595,1780,2534,451,2764,3477,174,539,3420,1715,3195,2546
6,3691,3973,3516,747,1883,2061,3646,59,560,1126,595,1780,2042,1892,2578,3333,2995,1354,2047,532,795,3304
7,3055,3130,3516,747,1883,2061,3646,59,560,1126,459,1602,915,1656,1656,5554,2596,3178,218,2825,2118,1367
8,3678,3130,3516,747,1883,2061,3646,3313,3353,1513,595,1780,3369,566,2534,84,407,2211,2642,133,2763,1752
9,3370,3130,3516,747,1883,2061,470,2338,2358,2148,2254,444,2202,1863,2870,923,2385,3998,2074,2879,2767,2025
10,3370,3130,3516,747,940,1400,470,1014,1436,2093,1232,2215,1432,400,6280,4309,501,1120,1200,1128,1128,1120
11,3691,3130,3516,747,1883,2061,3646,3313,560,3133,1126,1780,177,3106,2185,1788,2559,84,2906,451,2217,3518
12,3370,3130,3516,747,1883,2061,6844,3313,3353,221,2719,1789,1352,346,817,1180,128,3441,1180,473,473,473
13,3370,3973,3516,747,1883,2061,6844,3313,2246,2889,303,2339,2139,3157,817,1684,987,1537,3125,881,954,987
14,3055,3130,3516,747,1883,2061,6844,3313,3353,221,1289,1789,3369,1474,817,1180,128,1537,1180,473,2217,473
15,3055,3130,3516,747,1883,2061,6844,3313,3353,1513,595,610,2000,2804,1247,123,1705,1311,1180,3338,1247,1705
16,3055,3130,3516,747,1883,2061,6844,3313,3353,1513,1289,1311,2534,346,2804,1180,97,1311,1180,3338,473,2265
17,3370,3130,3516,747,1883,2061,6844,3313,3353,3133,3348,1780,2000,1474,2347,77,2608,2608,1858,451,1247,769
18,4741,3130,3516,747,1883,2061,3646,59,2246,2366,3055,1410,976,2287,2196,3334,1930,3470,3028,1124,976,2614
19,3370,3130,3516,747,1883,2061,3646,59,560,3133,459,833,2764,2287,86,1304,1930,539,271,946,2934,946
20,3055,4502,3516,747,1883,2061,3646,3313,560,3133,1289,1780,2534,970,2211,3334,1930,3470,3256,1124,1852,2061
21,3691,3130,3516,747,4244,2210,758,371,1436,1888,1346,3165,675,3488,5426,6262,53,5872,3488,2720,2720,3578
22,3055,3130,3516,747,940,1400,470,3508,2816,2093,986,3371,2385,3488,4872,923,2385,5270,3488,4872,4403,3578
23,3055,3130,3516,747,2925,2210,758,4149,4260,4162,5334,5729,4872,3488,4872,4403,4293,4126,111,2720,2720,3343
24,3370,3130,3516,747,1883,1400,470,59,2246,3133,3111,1156,177,220,2634,2568,2150,589,2603,2025,1095,3280
25,3691,3130,3516,747,1883,1400,3646,59,560,3133,595,1780,177,131,952,3025,2150,3089,2603,2603,1095,2025
26,3370,3130,3516,747,1883,2061,3646,59,2246,2889,1232,1780,177,2667,2634,2568,1480,1200,2603,2634,1095,2025
27,3691,3130,3516,747,1883,2061,3646,59,2246,3133,3348,1780,3369,1892,1695,1759,635,558,11,898,1127,3304
28,4741,3130,3516,747,2925,1400,470,2869,43,2571,2068,3270,1476,1896,3207,1503,3155,3155,3155,960,3155,530
29,3370,3130,3516,747,1883,1400,3646,59,3208,2889,2719,1780,3369,566,246,246,657,2211,2074,2087,133,1502
30,3691,3973,5695,747,4244,5552,4639,1014,1436,2571,119,3293,564,1157,564,2911,499,1177,2428,1603,499,499
31,3370,3973,3516,747,1883,1400,470,59,560,106,2068,1410,2386,235,2578,3271,2995,2783,271,1124,2574,3304
32,4741,3130,3516,747,940,1400,470,371,1436,2571,371,1717,564,1896,1896,1896,751,2783,707,1603,398,499
33,3370,3130,3516,747,2925,1400,3646,2338,3208,2747,2165,4353,2065,4896,3846,4053,3593,5480,4811,6247,5838,5603
