ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13
0,5936,3721,2111,2118,5530,6079,5801,735,588,3149,5574,1052,3141,510
1,5936,3721,265,186,5530,6079,5801,735,588,3149,5574,1052,3141,510
2,5936,408,1341,186,5530,6079,5801,735,588,3149,5574,1052,3141,510
3,5936,3721,2441,2118,5530,6079,5801,735,588,3149,5574,1052,3141,510
4,5936,3721,265,2399,5530,6079,5801,735,588,3149,5574,1052,3141,510
5,5936,3721,2624,424,5530,6079,5801,735,588,3149,5574,1052,3141,510
6,5936,3721,3472,2078,5530,6079,5801,735,588,3149,5574,1052,3141,510
7,5936,3721,1341,1382,5530,6079,5801,735,588,3149,5574,1052,3141,510
8,5936,3721,3209,2399,5530,6079,5801,735,588,3149,5574,1052,3141,510
9,5936,3721,1653,2148,5530,6079,5801,735,588,3149,5574,1052,3141,510
10,5936,3721,1267,307,5530,6079,5801,735,588,3149,5574,1052,3141,510
11,5936,3721,265,2399,5530,6079,5801,735,588,3149,5574,1052,3141,510
12,5936,408,265,2905,5530,6079,5801,735,588,3149,5574,1052,3141,510
13,5936,408,1190,534,5530,6079,5801,735,588,3149,5574,1052,3141,510
14,5936,408,265,2905,5530,6079,5801,735,588,3149,5574,1052,3141,510
15,5936,408,265,610,5530,6079,5801,735,588,3149,5574,1052,3141,510
16,5936,408,265,2905,5530,6079,5801,735,588,3149,5574,1052,3141,510
17,5936,3721,265,610,5530,6079,5801,735,588,3149,5574,1052,3141,510
18,5936,3721,1341,2399,5530,6079,5801,735,588,3149,5574,1052,3141,510
19,5936,3721,1653,2118,5530,6079,5801,735,588,3149,5574,1052,3141,510
20,5936,3721,1341,186,5530,6079,5801,735,588,3149,5574,1052,3141,510
21,5936,1753,442,4051,5530,6079,5801,735,588,3149,5574,1052,3141,510
22,5936,1753,258,2768,5530,6079,5801,735,588,3149,5574,1052,3141,510
23,5936,1753,4386,4442,5530,6079,5801,735,588,3149,5574,1052,3141,510
24,5936,3721,3472,2692,5530,6079,5801,735,588,3149,5574,1052,3141,510
25,5936,3721,3472,2692,5530,6079,5801,735,588,3149,5574,1052,3141,510
26,5936,3721,2304,2905,5530,6079,5801,735,588,3149,5574,1052,3141,510
27,5936,3721,265,186,5530,6079,5801,735,588,3149,5574,1052,3141,510
28,5936,3721,1686,307,5530,6079,5801,735,588,3149,5574,1052,3141,510
29,5936,3721,265,186,5530,6079,5801,735,588,3149,5574,1052,3141,510
30,5936,1753,3216,2059,5530,6079,5801,735,588,3149,5574,1052,3141,510
31,5936,1753,2304,1382,5530,6079,5801,735,588,3149,5574,1052,3141,510
32,5936,1753,1653,2386,5530,6079,5801,735,588,3149,5574,1052,3141,510
33,5936,3721,5819,1675,5530,6079,5801,735,588,3149,5574,1052,3141,510
34,5936,408,1190,2905,5530,6079,5801,735,588,3149,5574,1052,3141,510
35,5936,408,6114,1351,5530,6079,5801,735,588,3149,5574,1052,3141,510
36,5936,3721,2304,605,5530,6079,5801,735,588,3149,5574,1052,3141,510
37,5936,1753,956,307,5530,6079,5801,735,588,3149,5574,1052,3141,510
38,5936,1753,609,2437,5530,6079,5801,735,588,3149,5574,1052,3141,510
39,5936,1753,2933,917,5530,6079,5801,735,588,3149,5574,1052,3141,510
40,5936,1753,2933,1000,5530,6079,5801,735,588,3149,5574,1052,3141,510
41,5936,1753,1860,1496,5530,6079,5801,735,588,3149,5574,1052,3141,510
42,5936,5942,779,0,5530,6079,5801,735,588,3149,5574,1052,3141,510
43,5936,1753,1199,2078,5530,6079,5801,735,588,3149,5574,1052,3141,510
44,5936,1753,1653,978,5530,6079,5801,735,588,3149,5574,1052,3141,510
45,5936,1753,1199,336,5530,6079,5801,735,588,3149,5574,1052,3141,510
46,5936,1753,1199,33,5530,6079,5801,735,588,3149,5574,1052,3141,510
47,5936,3721,1341,2399,5530,6079,5801,735,588,3149,5574,1052,3141,510
48,5936,5942,956,307,5530,6079,5801,735,588,3149,5574,1052,3141,510
49,5936,5942,2304,307,5530,6079,5801,735,588,3149,5574,1052,3141,510
50,5936,3721,265,2692,5530,6079,5801,735,588,3149,5574,1052,3141,510
51,5936,3721,265,2905,5530,6079,5801,735,588,3149,5574,1052,3141,510
52,5936,3721,265,2905,5530,6079,5801,735,588,3149,5574,1052,3141,510
53,5936,3721,2013,2905,5530,6079,5801,735,588,3149,5574,1052,3141,510
54,5936,1753,609,6990,5530,6079,5801,735,588,3149,5574,1052,3141,510
55,5936,3721,2952,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
56,5936,1753,609,1250,5530,6079,5801,735,588,3149,5574,1052,3141,510
57,5936,3721,265,186,5530,6079,5801,735,588,3149,5574,1052,3141,510
58,5936,3721,1686,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
59,5936,5942,1686,307,5530,6079,5801,735,588,3149,5574,1052,3141,510
60,5936,408,6114,5563,5530,6079,5801,735,588,3149,5574,1052,3141,510
61,5936,3721,1653,2893,5530,6079,5801,735,588,3149,5574,1052,3141,510
62,5936,408,6114,5563,5530,6079,5801,735,588,3149,5574,1052,3141,510
63,5936,1753,956,2399,5530,6079,5801,735,588,3149,5574,1052,3141,510
64,5936,3721,2624,186,5530,6079,5801,735,588,3149,5574,1052,3141,510
65,5936,3721,1341,3089,5530,6079,5801,735,588,3149,5574,1052,3141,510
66,5936,3721,956,2399,5530,6079,5801,735,588,3149,5574,1052,3141,510
67,5936,3721,2304,3265,5530,6079,5801,735,588,3149,5574,1052,3141,510
68,5936,1753,956,1250,5530,6079,5801,735,588,3149,5574,1052,3141,510
69,5936,408,2846,1250,5530,6079,5801,735,588,3149,5574,1052,3141,510
70,5936,3721,1678,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
71,5936,1753,956,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
72,5936,1753,2304,2692,5530,6079,5801,735,588,3149,5574,1052,3141,510
73,5936,1753,3191,1145,5530,6079,5801,735,588,3149,5574,1052,3141,510
74,5936,1753,3191,917,5530,6079,5801,735,588,3149,5574,1052,3141,510
75,5936,3721,3472,2692,5530,6079,5801,735,588,3149,5574,1052,3141,510
76,5936,1753,442,1000,5530,6079,5801,735,588,3149,5574,1052,3141,510
77,5936,1753,25,1000,5530,6079,5801,735,588,3149,5574,1052,3141,510
78,5936,1753,150,1881,5530,6079,5801,735,588,3149,5574,1052,3141,510
79,5936,3721,1653,1303,5530,6079,5801,735,588,3149,5574,1052,3141,510
80,5936,1753,150,3179,5530,6079,5801,735,588,3149,5574,1052,3141,510
81,5936,408,265,2118,5530,6079,5801,735,588,3149,5574,1052,3141,510
82,5936,1753,442,1000,5530,6079,5801,735,588,3149,5574,1052,3141,510
83,5936,1753,442,1000,5530,6079,5801,735,588,3149,5574,1052,3141,510
84,5936,5942,2304,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
85,5936,3721,956,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
86,5936,3721,265,1250,5530,6079,5801,735,588,3149,5574,1052,3141,510
87,5936,1753,1797,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
88,5936,1753,1678,1250,5530,6079,5801,735,588,3149,5574,1052,3141,510
89,5936,1753,609,1250,5530,6079,5801,735,588,3149,5574,1052,3141,510
90,5936,1753,1797,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
91,5936,1753,956,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
92,5936,1753,1678,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
93,5936,408,6114,1351,5530,6079,5801,735,588,3149,5574,1052,3141,510
94,5936,408,6114,4568,5530,6079,5801,735,588,3149,5574,1052,3141,510
95,5936,3721,265,610,5530,6079,5801,735,588,3149,5574,1052,3141,510
96,5936,408,1190,4568,5530,6079,5801,735,588,3149,5574,1052,3141,510
97,5936,408,1190,4568,5530,6079,5801,735,588,3149,5574,1052,3141,510
98,5936,408,6114,4568,5530,6079,5801,735,588,3149,5574,1052,3141,510
99,5936,408,6114,3471,5530,6079,5801,735,588,3149,5574,1052,3141,510
100,5936,1753,258,848,5530,6079,5801,735,588,3149,5574,1052,3141,510
101,5936,5942,1351,1351,5530,6079,5801,735,588,3149,5574,1052,3141,510
102,5936,3721,1190,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
103,5936,3721,2304,2692,5530,6079,5801,735,588,3149,5574,1052,3141,510
104,5936,1753,2304,307,5530,6079,5801,735,588,3149,5574,1052,3141,510
105,5936,1753,609,3507,5530,6079,5801,735,588,3149,5574,1052,3141,510
106,5936,1753,609,75,5530,6079,5801,735,588,3149,5574,1052,3141,510
107,5936,1753,1941,1479,5530,6079,5801,735,588,3149,5574,1052,3141,510
108,5936,1753,1090,75,5530,6079,5801,735,588,3149,5574,1052,3141,510
109,5936,1753,1678,1250,5530,6079,5801,735,588,3149,5574,1052,3141,510
110,5936,1753,4370,3507,5530,6079,5801,735,588,3149,5574,1052,3141,510
111,5936,5942,956,2988,5530,6079,5801,735,588,3149,5574,1052,3141,510
112,5936,3721,1686,307,5530,6079,5801,735,588,3149,5574,1052,3141,510
113,5936,1753,1199,307,5530,6079,5801,735,588,3149,5574,1052,3141,510
114,5936,3721,1341,370,5530,6079,5801,735,588,3149,5574,1052,3141,510
115,5936,5942,1653,5563,5530,6079,5801,735,588,3149,5574,1052,3141,510
116,5936,3721,1341,1000,5530,6079,5801,735,588,3149,5574,1052,3141,510
117,5936,1753,1860,1145,5530,6079,5801,735,588,3149,5574,1052,3141,510
118,5936,1753,3191,1496,5530,6079,5801,735,588,3149,5574,1052,3141,510
119,5936,1753,2735,1137,5530,6079,5801,735,588,3149,5574,1052,3141,510
120,5936,1753,1681,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
121,5936,5942,1653,697,5530,6079,5801,735,588,3149,5574,1052,3141,510
122,5936,3721,265,605,5530,6079,5801,735,588,3149,5574,1052,3141,510
123,5936,1753,2304,2869,5530,6079,5801,735,588,3149,5574,1052,3141,510
124,5936,1753,779,307,5530,6079,5801,735,588,3149,5574,1052,3141,510
125,5936,3721,1686,2869,5530,6079,5801,735,588,3149,5574,1052,3141,510
126,5936,408,265,1036,5530,6079,5801,735,588,3149,5574,1052,3141,510
127,5936,3721,3472,3002,5530,6079,5801,735,588,3149,5574,1052,3141,510
128,5936,3721,2933,2399,5530,6079,5801,735,588,3149,5574,1052,3141,510
129,5936,1753,442,917,5530,6079,5801,735,588,3149,5574,1052,3141,510
130,5936,1753,380,875,5530,6079,5801,735,588,3149,5574,1052,3141,510
131,5936,1753,1653,697,5530,6079,5801,735,588,3149,5574,1052,3141,510
132,5936,1753,2778,3193,5530,6079,5801,735,588,3149,5574,1052,3141,510
133,5936,1753,956,2151,5530,6079,5801,735,588,3149,5574,1052,3141,510
134,5936,1753,1797,1250,5530,6079,5801,735,588,3149,5574,1052,3141,510
135,5936,1753,1090,36,5530,6079,5801,735,588,3149,5574,1052,3141,510
136,5936,1753,1199,2078,5530,6079,5801,735,588,3149,5574,1052,3141,510
137,5936,1753,1686,3959,5530,6079,5801,735,588,3149,5574,1052,3141,510
138,5936,1753,1199,2078,5530,6079,5801,735,588,3149,5574,1052,3141,510
139,5936,1753,1090,307,5530,6079,5801,735,588,3149,5574,1052,3141,510
140,5936,1753,1860,2078,5530,6079,5801,735,588,3149,5574,1052,3141,510
141,5936,3721,265,2399,5530,6079,5801,735,588,3149,5574,1052,3141,510
142,5936,1753,956,370,5530,6079,5801,735,588,3149,5574,1052,3141,510
143,5936,3721,1341,2399,5530,6079,5801,735,588,3149,5574,1052,3141,510
144,5936,408,265,2905,5530,6079,5801,735,588,3149,5574,1052,3141,510
145,5936,3721,265,186,5530,6079,5801,735,588,3149,5574,1052,3141,510
146,5936,408,6114,3305,5530,6079,5801,735,588,3149,5574,1052,3141,510
147,5936,1753,1653,3002,5530,6079,5801,735,588,3149,5574,1052,3141,510
148,5936,1753,1653,1000,5530,6079,5801,735,588,3149,5574,1052,3141,510
149,5936,3721,1653,2692,5530,6079,5801,735,588,3149,5574,1052,3141,510
150,5936,1753,2933,1000,5530,6079,5801,735,588,3149,5574,1052,3141,510
151,5936,1753,2933,1000,5530,6079,5801,735,588,3149,5574,1052,3141,510
152,5936,1753,1653,1000,5530,6079,5801,735,588,3149,5574,1052,3141,510
