ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11
0,408,122,408,281,101,255,281,78,78,213,378,273
1,508,508,243,784,604,203,19,139,102,257,283,49
2,514,528,179,224,257,19,366,366,366,257,342,273
3,170,215,174,383,220,30,192,6,6,6,6,6
4,42,42,113,11,594,576,42,42,28,309,192,79
5,773,171,281,149,360,455,213,213,213,213,213,6
6,309,523,746,149,517,570,264,310,245,206,70,88
7,798,127,736,19,131,224,54,360,309,213,213,334
8,346,191,337,191,584,19,257,342,100,190,149,281
9,480,480,689,636,323,489,323,189,36,140,534,612
10,282,204,173,478,260,711,316,145,313,313,314,45
11,245,245,195,550,243,274,35,35,125,285,157,400
12,233,145,327,285,143,376,66,399,333,196,241,613
13,23,68,597,257,342,264,366,308,333,139,310,333
14,45,700,82,667,378,139,109,109,109,241,139,139
15,265,693,364,161,78,257,169,364,364,191,381,381
16,203,203,203,203,760,203,203,203,203,203,203,203
17,102,71,115,390,327,78,225,182,241,366,78,80
18,309,3,23,397,372,150,800,560,438,310,310,800
19,578,578,326,91,746,744,149,194,334,541,237,295
20,287,512,106,454,744,42,303,334,297,26,308,105
21,110,718,250,484,643,470,610,807,322,197,197,197
22,758,758,100,132,633,32,0,351,166,210,778,83
23,798,509,568,509,802,802,652,387,387,387,506,387
24,205,660,708,388,380,24,0,194,21,21,21,347
25,303,303,91,329,123,339,179,306,179,101,254,80
26,370,803,680,632,807,63,3,3,101,136,158,117
27,547,547,106,371,514,372,308,308,88,360,232,255
28,457,718,724,71,64,290,136,323,47,47,47,501
29,26,508,53,667,764,351,219,351,351,328,351,35
30,506,498,506,654,484,279,659,132,68,166,166,14
31,20,426,195,104,308,220,47,84,247,104,224,105
32,467,229,242,184,25,245,270,135,338,338,187,187
33,756,756,510,793,40,704,524,565,558,134,134,651
34,36,36,86,308,86,177,505,671,390,390,139,203
35,514,768,177,631,660,174,429,128,398,398,108,398
36,471,471,306,47,547,358,245,162,104,104,220,165
37,733,733,222,175,156,557,388,48,555,555,255,555
38,649,115,654,236,248,421,44,345,181,183,3,288
39,171,633,547,104,79,195,187,358,6,287,192,166
40,192,55,252,555,249,173,322,34,289,252,136,136
41,387,387,229,672,377,9,379,373,374,374,249,249
42,633,633,520,804,95,189,79,272,6,340,187,272
43,411,411,171,625,65,269,26,26,111,11,11,11
44,28,28,137,437,274,237,50,371,250,93,93,169
45,130,130,397,378,130,130,130,130,130,130,130,60
46,384,157,287,41,373,312,590,289,20,20,301,286
47,186,80,195,106,335,339,327,385,80,130,290,339
48,248,725,364,803,349,333,380,380,241,161,335,81
49,703,328,102,618,295,190,79,361,241,22,3,361
50,769,34,134,216,25,107,150,91,334,91,395,157
51,281,213,251,11,49,41,23,23,366,366,280,207
52,466,466,314,7,361,45,313,347,3,273,319,104
53,132,66,157,693,290,446,41,41,41,102,161,49
54,93,93,316,252,39,354,338,735,299,735,735,735
55,53,238,393,82,82,74,336,130,734,394,394,353
56,513,513,295,168,175,234,345,296,61,89,338,16
