ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11
0,408,408,62,428,290,364,364,364,174,174,342,763
1,508,508,508,508,572,19,19,273,203,273,378,257
2,514,514,370,528,366,161,597,342,342,366,366,342
3,87,308,215,91,610,664,268,88,192,28,28,347
4,42,42,42,231,673,413,437,699,520,654,334,334
5,675,675,675,601,773,479,364,26,213,213,213,213
6,486,309,523,89,129,667,349,254,400,310,91,274
7,798,798,127,615,766,362,225,295,295,295,295,295
8,346,346,346,337,399,499,597,748,53,169,169,169
9,515,480,480,528,782,613,645,577,306,306,223,270
10,282,282,282,282,474,170,354,148,370,370,148,148
11,245,245,245,366,62,245,195,28,3,49,35,400
12,795,795,145,795,87,285,37,376,196,196,333,196
13,23,23,68,138,713,257,273,196,264,264,308,333
14,700,700,700,378,87,573,342,264,264,109,109,342
15,24,693,277,364,541,185,385,257,378,364,364,364
16,203,203,203,203,203,203,203,264,203,203,203,203
17,102,102,71,515,53,251,385,191,53,53,103,263
18,309,309,3,379,595,397,397,150,560,560,398,310
19,43,43,578,326,155,155,677,689,658,255,362,309
20,287,287,699,264,252,297,282,170,111,543,30,297
21,110,110,684,684,435,666,418,31,470,610,689,31
22,758,758,758,763,580,781,800,401,165,65,71,391
23,387,337,509,509,509,408,509,432,502,491,387,387
24,108,108,108,132,138,333,71,361,65,372,372,21
25,303,303,303,408,91,708,192,170,80,102,179,179
26,370,794,803,399,207,194,176,219,280,244,244,137
27,64,64,64,64,371,371,385,495,89,308,308,232
28,457,457,490,759,736,590,545,654,651,320,323,223
29,26,26,613,19,724,28,189,26,281,233,351,351
30,506,506,498,498,719,737,633,549,401,590,590,83
31,14,20,156,709,173,55,253,357,220,220,220,26
32,467,467,229,419,681,692,306,118,98,270,270,84
33,756,756,756,688,360,458,195,351,524,134,134,134
34,36,36,36,36,327,174,607,230,51,51,390,390
35,702,514,768,569,760,657,625,390,528,621,398,398
36,471,471,471,306,370,140,237,237,237,245,104,104
37,321,733,733,790,94,80,168,341,31,495,189,211
38,649,649,115,763,790,14,236,305,44,44,402,181
39,187,165,171,780,547,547,547,195,195,224,347,347
40,329,192,55,55,135,737,193,787,28,28,471,189
41,387,387,354,145,713,360,135,778,379,165,374,374
42,633,633,633,674,520,700,450,510,165,40,272,6
