ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11
0,6308,5550,2882,6423,2542,2231,4555,6286,1039,2588,2618,3552
1,6308,5550,2882,6423,398,2231,2832,6286,1039,1036,2618,1039
2,6308,4592,2882,6423,3338,2231,4555,6286,1039,2588,2618,1039
3,6308,4592,1381,3813,2542,2231,3421,15,1459,2310,2618,3498
4,6308,4592,170,3813,6205,6760,2087,2768,2944,3049,1775,3498
5,6308,4592,2882,6423,3338,2231,3421,15,1459,2310,2618,3498
6,6308,4592,2882,6423,398,2231,2832,2221,1459,1036,2618,3498
7,6308,4592,2882,6423,2542,2231,3421,15,1459,2310,2618,3498
8,6308,4592,2882,6423,3338,2231,3786,6286,1039,1036,2618,3498
9,6308,5550,2882,3813,5210,657,1061,2768,2944,3049,1775,3498
10,6308,5550,4347,6423,398,3347,275,2221,1929,645,2618,3498
11,6308,5550,1381,3813,2542,2231,2832,2221,1759,1036,2618,3498
12,5210,4592,2882,6423,2221,44,1242,2221,1039,1036,2618,1039
13,5210,4592,2882,6423,2221,696,1242,2221,1039,2588,2618,1039
14,6308,4592,2882,6423,2221,696,1242,2221,1039,2588,2618,1039
15,6308,5550,1381,6423,398,2231,3786,961,1039,1036,2618,1039
16,6308,4592,2882,6423,2172,2231,4555,2221,1039,2588,2618,1039
17,6308,5550,2882,6423,2172,657,2832,2221,1039,1036,2618,1039
18,6308,4592,2882,1265,2542,2231,1061,2768,1459,1602,2618,3498
19,6308,5550,2882,3813,2542,6760,2087,2768,1459,2310,2618,3498
20,6308,5550,4347,6423,398,2231,3786,15,1459,2310,2618,3498
21,6308,4592,5200,6564,3870,4395,1577,1220,2944,1369,1950,3498
22,6308,5550,2882,3813,2542,3347,3371,2768,2944,1369,1775,3498
23,6308,5550,170,6564,5529,4395,4863,4128,3618,1369,6077,1000
24,6308,5550,2882,6423,2999,3347,2087,2768,1459,2603,2618,3498
25,6308,4592,5200,3813,398,2231,2832,15,1759,1036,2618,3498
26,6308,5550,2882,6423,398,3347,275,2768,2944,2996,2618,3498
27,6308,4592,1381,6423,398,2231,3421,15,1459,2603,2618,3498
28,6308,3457,1381,6564,3870,3399,275,2768,2944,3049,2618,3498
29,6308,5550,4347,3813,2542,2231,1061,2768,1459,1036,2618,3498
30,6308,4592,4098,4371,3870,1388,1577,1137,2944,1369,1775,3498
31,6308,5550,2882,3813,2542,3347,275,2768,2944,3049,1775,3498
32,6308,4592,1381,1887,2542,3399,275,2768,2944,3049,1775,3498
33,6308,5550,2882,6423,2542,44,3371,1137,4296,1350,340,3498
34,6308,5550,2882,6423,5266,657,1242,6286,1039,2588,2618,1039
35,6308,5550,2882,6423,4687,696,3786,6286,4296,2588,2742,1039
36,6308,4592,1381,3813,2542,3399,275,2768,2944,249,1775,3498
37,6308,5550,2882,6423,1548,44,2087,4128,2944,3049,2618,3498
38,6308,5550,2882,3813,1548,44,1242,2981,1529,645,1067,311
39,6308,4592,1381,1887,2542,3399,275,1220,2944,249,1775,3498
40,6308,4592,4098,6540,2542,2950,4863,1220,2944,249,1775,3498
41,6308,4592,4098,6564,3870,4948,3691,2768,2944,1369,1950,3498
42,6308,5550,4347,3813,6205,2950,275,2768,2944,2880,1775,3498
43,6308,4592,1381,3813,2542,2231,3421,15,1459,2310,1775,3498
44,5210,4592,1381,2722,2542,3399,275,2768,2944,3049,1775,3498
45,6308,4592,2882,6423,2999,2231,2832,2221,1459,453,2618,3498
46,6308,4592,1381,1887,5210,44,1335,2768,2944,1369,2618,3498
47,6308,4592,1381,3813,2542,2231,1061,15,1459,1036,2618,3498
48,6308,5550,4347,6423,398,44,1242,2221,1039,761,2618,1039
49,6308,4592,1381,3813,398,3347,1242,2221,1039,761,2618,3498
50,6308,4592,1381,2722,2542,2231,1061,2221,1039,1036,2618,3498
51,5210,4592,2882,6423,3338,2231,3786,2221,1039,1036,2618,3498
52,6308,5550,2882,6423,2999,3347,2832,2221,1459,1036,2618,3498
53,6308,4592,2882,6423,3338,2231,2832,2221,1039,1036,2618,3498
54,6308,4592,1381,3813,2542,941,130,130,2143,645,1707,3230
55,408,5550,2882,6423,398,44,130,2366,2663,645,1678,3498
56,6308,5550,2882,6423,1548,44,1242,2981,2663,645,1707,3498
57,6308,5550,170,3813,3870,3347,2832,2768,1216,2603,2618,3498
58,6308,5550,1381,6423,398,44,1242,2221,968,761,2618,3498
59,6308,4592,1381,3813,3870,44,130,2981,2944,3049,1775,3498
60,6308,4592,2882,6423,6205,4385,4863,4128,6522,4718,5736,3498
61,6308,5550,2882,6423,6205,4695,4562,2768,2944,3049,1775,3498
62,6308,5550,1381,6423,398,2231,1061,2221,1039,2588,2618,3498
63,6308,5550,2882,6423,398,657,1242,2221,1039,1036,2618,3498
