ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11
0,408,408,408,408,408,408,408,408,408,408,408,408
1,508,508,508,508,508,508,508,508,508,508,508,508
2,514,514,514,514,514,514,514,514,514,514,514,514
3,87,93,93,93,93,93,93,93,93,93,308,308
4,708,42,42,42,42,42,42,42,42,42,42,42
5,675,773,773,773,773,773,773,773,773,773,773,773
6,523,309,309,319,309,309,309,309,309,309,309,309
7,798,798,798,798,798,492,492,492,492,492,492,492
8,346,346,346,329,329,329,329,329,329,329,329,329
9,515,515,515,515,515,515,515,515,515,515,515,515
10,282,282,515,515,515,515,515,515,515,515,515,515
11,245,245,245,347,220,220,220,220,220,220,220,220
12,233,233,15,15,233,233,233,233,233,233,233,233
13,23,23,23,23,23,23,23,23,23,23,23,23
14,700,45,45,45,45,45,45,45,45,45,45,45
15,24,24,121,121,693,693,693,693,693,693,693,693
16,203,203,203,203,203,203,203,203,203,203,203,203
17,102,24,175,175,175,175,175,175,175,175,148,148
18,309,309,309,309,309,309,309,309,309,309,309,309
19,491,43,346,346,346,346,346,346,346,111,578,578
20,287,287,287,287,287,725,725,725,725,725,725,725
21,110,110,110,110,110,110,110,110,666,666,666,666
22,758,758,758,758,758,760,760,760,760,760,760,760
23,337,337,337,798,798,798,798,798,798,798,798,798
24,108,108,205,205,753,753,84,84,84,84,84,84
25,303,303,303,303,303,303,303,303,303,303,303,303
26,370,794,393,393,393,393,393,393,393,393,393,393
27,34,34,547,547,547,547,547,547,547,547,547,547
28,759,457,759,759,759,759,759,490,490,490,130,130
29,26,26,26,26,26,26,26,26,26,26,26,26
30,506,506,506,506,506,506,506,506,506,506,506,506
31,14,14,14,14,20,20,20,20,20,20,20,20
32,417,467,467,467,467,467,467,467,467,467,467,509
33,756,756,40,155,155,155,155,155,155,155,155,752
34,36,327,327,36,36,36,36,36,36,36,36,36
35,514,514,514,514,514,514,514,514,514,149,149,149
36,471,471,471,471,471,471,471,471,471,471,471,471
37,321,191,191,191,191,191,191,191,733,733,733,733
