Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	0	0.0	5.029	23.318	3.938	0.0	5.33	19.645	3.429
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	1	0.0	4.898	16.228	2.626	0.0	5.238	13.461	2.265
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	2	0.0	4.95	9.599	1.529	0.0	5.029	7.89	1.318
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	3	0.0	4.924	5.742	0.929	0.0	5.042	4.714	0.8
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	4	0.0	4.845	3.74	0.616	0.0	5.042	3.078	0.53
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	5	0.0	4.832	2.694	0.446	0.0	5.107	2.225	0.386
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	6	0.0	4.728	2.13	0.35	0.0	5.055	1.764	0.305
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	7	0.0	4.701	1.804	0.292	0.0	5.055	1.498	0.256
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	8	0.0	4.675	1.611	0.256	0.0	5.003	1.34	0.224
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	9	0.0	4.623	1.491	0.231	0.0	4.937	1.242	0.204
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	10	0.0	4.544	1.418	0.215	0.0	4.885	1.182	0.189
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	11	0.0	4.597	1.373	0.203	0.0	4.859	1.145	0.179
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	12	0.0	4.544	1.35	0.194	0.0	4.832	1.126	0.171
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	13	0.0	4.505	1.34	0.187	0.0	4.806	1.118	0.166
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	14	0.0	4.479	1.343	0.183	0.0	4.728	1.12	0.162
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	15	0.0	4.387	1.357	0.179	0.0	4.728	1.132	0.159
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	16	0.0	4.256	1.379	0.177	0.0	4.715	1.151	0.157
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	17	0.0	4.125	1.408	0.175	0.0	4.623	1.175	0.156
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	18	0.0	4.073	1.44	0.175	0.0	4.57	1.201	0.155
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	19	0.0	4.034	1.475	0.174	0.0	4.492	1.231	0.155
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	20	0.0	4.047	1.513	0.174	0.0	4.439	1.263	0.155
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	21	0.0	4.034	1.558	0.175	0.0	4.348	1.3	0.156
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	22	0.0	3.981	1.603	0.175	0.0	4.335	1.338	0.156
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	23	0.0	4.007	1.649	0.176	0.0	4.309	1.376	0.157
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	24	0.0	3.968	1.697	0.177	0.0	4.295	1.417	0.158
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	25	0.0	3.955	1.748	0.178	0.0	4.256	1.459	0.16
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	26	0.0	3.981	1.799	0.179	0.0	4.217	1.502	0.161
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	27	0.0	3.903	1.855	0.181	0.0	4.191	1.549	0.163
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	28	0.0	3.929	1.908	0.183	0.0	4.112	1.593	0.164
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	29	0.0	3.942	1.962	0.184	0.0	4.112	1.639	0.166
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	30	0.0	3.916	2.018	0.186	0.0	4.047	1.686	0.167
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	31	0.0	3.916	2.075	0.189	0.0	3.981	1.734	0.169
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	32	0.0	3.876	2.134	0.19	0.0	3.968	1.784	0.171
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	33	0.0	3.903	2.194	0.193	0.0	3.955	1.835	0.173
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	34	0.0	3.837	2.254	0.195	0.0	3.929	1.886	0.175
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	35	0.0	3.785	2.312	0.197	0.0	3.942	1.935	0.178
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	36	0.0	3.772	2.371	0.2	0.0	3.955	1.984	0.18
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	37	0.0	3.719	2.425	0.202	0.0	3.916	2.031	0.182
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	38	0.0	3.719	2.48	0.204	0.0	3.85	2.078	0.184
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	39	0.0	3.693	2.534	0.206	0.0	3.824	2.124	0.186
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	40	0.0	3.641	2.583	0.208	0.0	3.785	2.167	0.188
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	41	0.0	3.614	2.636	0.211	0.0	3.772	2.213	0.19
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	42	0.0	3.562	2.686	0.213	0.0	3.785	2.256	0.192
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	43	0.0	3.588	2.735	0.215	0.0	3.732	2.298	0.194
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	44	0.0	3.536	2.785	0.217	0.0	3.706	2.341	0.196
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	45	0.0	3.523	2.835	0.219	0.0	3.654	2.385	0.198
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	46	0.0	3.536	2.882	0.221	0.0	3.654	2.426	0.2
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	47	0.0	3.549	2.928	0.223	0.0	3.628	2.467	0.202
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	48	0.0	3.536	2.971	0.225	0.0	3.588	2.505	0.204
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_ArcFace_SGD.yaml	222	49	0.0	3.51	3.009	0.227	0.0	3.588	2.539	0.206
