ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21
0,408,408,62,86,408,255,255,255,281,366,149,53,53,53,53,53,53,53,53,53,147,147
1,508,508,508,770,811,625,179,86,86,364,203,53,53,53,53,149,149,149,149,149,53,362
2,514,514,42,505,518,243,169,182,149,149,86,86,53,53,53,53,257,346,257,257,257,53
3,87,308,215,312,137,674,88,79,360,213,347,347,347,220,220,220,220,220,347,347,347,347
4,42,42,737,281,504,437,42,42,42,334,334,334,334,384,121,132,40,144,144,144,144,144
5,675,675,675,601,346,19,213,190,190,190,26,297,297,297,297,297,297,297,297,220,220,220
6,486,486,89,150,192,273,383,257,310,70,70,165,165,165,224,224,224,294,294,294,224,224
7,798,798,127,514,30,41,295,295,347,213,334,334,231,231,231,231,231,79,79,79,79,79
8,346,346,95,190,399,264,451,713,342,273,149,149,191,191,191,191,191,59,191,140,140,140
9,515,480,480,760,687,75,577,541,274,175,175,752,632,790,635,635,635,534,534,534,534,534
10,282,282,282,173,217,10,148,370,148,148,148,196,196,196,196,196,21,595,21,196,196,196
11,245,245,245,718,223,24,3,323,283,192,285,378,174,59,58,377,377,377,361,361,361,208
12,795,795,290,16,181,87,259,196,115,251,103,115,139,139,189,189,87,87,87,87,87,15
13,23,23,68,138,713,560,87,203,115,241,87,87,390,390,15,15,15,15,15,15,15,87
14,700,700,264,794,87,763,264,378,203,366,366,366,312,203,203,15,15,15,15,15,15,15
15,24,693,364,44,68,207,366,251,86,257,257,381,381,203,203,203,203,203,203,203,203,203
16,203,203,203,203,203,203,203,264,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,102,102,277,377,89,45,53,109,15,207,263,263,385,78,78,78,78,78,78,78,78,78
18,309,309,3,66,656,397,150,150,40,416,213,351,351,35,35,91,91,195,190,257,257,190
19,43,43,320,43,723,297,680,149,149,362,362,79,79,79,237,237,231,231,231,231,231,231
20,287,287,33,755,787,256,689,543,543,493,213,213,213,213,213,213,35,231,231,231,231,231
21,110,110,684,684,419,737,589,724,594,368,140,210,210,368,368,368,368,368,368,368,368,368
22,758,758,247,763,79,334,401,379,590,210,391,417,417,417,371,510,510,510,332,332,332,332
23,387,337,509,509,509,724,431,502,507,387,387,110,110,110,110,110,640,640,640,204,368,368
24,108,108,108,131,333,333,152,386,372,30,256,21,260,260,125,125,125,125,80,80,80,80
25,303,303,303,599,603,95,328,80,80,281,80,80,80,80,80,80,80,80,80,80,80,80
26,370,370,803,543,787,36,330,159,284,136,117,117,117,233,233,233,80,80,80,80,80,80
27,64,64,64,620,326,265,388,309,308,308,308,162,224,232,131,131,131,131,131,131,131,148
28,457,457,490,289,91,229,32,651,401,14,130,20,20,20,385,385,188,306,306,306,306,306
29,26,26,508,287,6,189,111,233,323,22,328,328,190,190,182,0,148,148,148,148,148,323
30,506,506,498,498,498,527,78,401,3,83,166,166,166,245,14,14,14,245,245,245,245,245
31,14,20,156,709,85,195,152,243,47,26,10,255,12,12,12,12,245,245,245,245,245,245
32,467,509,229,382,779,306,165,245,270,250,187,187,245,245,245,245,187,187,184,245,245,245
33,756,756,756,518,679,569,515,14,306,314,132,205,205,535,807,807,807,713,417,417,417,503
34,36,36,36,86,327,182,540,783,139,211,139,342,342,342,342,342,19,19,321,321,321,321
35,702,514,620,575,760,625,763,809,581,581,648,648,447,447,447,447,447,447,671,671,671,321
36,471,471,471,339,370,210,237,268,245,104,340,220,237,237,270,270,40,40,270,270,270,270
37,321,191,733,745,358,126,126,368,268,555,714,65,65,24,290,290,270,270,270,270,270,270
38,649,649,403,763,281,254,236,44,729,729,183,376,232,232,335,734,734,99,99,99,99,99
39,187,165,633,533,547,547,79,171,112,112,184,184,184,184,140,166,166,166,166,166,166,166
40,329,192,55,55,717,737,470,28,121,34,659,659,93,93,93,93,93,93,224,224,224,121
41,387,387,354,560,713,713,778,516,320,320,735,98,98,98,98,98,98,98,98,98,166,166
42,633,633,633,674,520,177,189,165,6,6,272,272,272,104,104,28,295,295,28,28,28,28
43,362,411,264,397,458,240,111,26,272,272,54,64,64,28,28,28,28,28,28,28,28,28
44,28,28,28,313,137,768,284,284,79,265,93,7,7,7,265,265,360,360,325,325,325,325
45,130,130,130,130,400,313,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,760,760,713,109,593,593,14,570,20,20,20,323,323,195,130,130,130,130,130,130,130,130
47,80,80,545,224,131,335,379,385,351,80,148,148,88,162,162,303,303,303,303,303,303,303
48,144,144,736,477,161,321,349,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
49,752,752,170,170,81,269,385,307,188,103,103,188,188,188,157,157,157,157,103,103,103,103
50,769,769,545,294,789,23,657,248,248,91,381,381,283,59,59,207,207,385,385,385,385,161
51,281,569,213,273,256,346,191,23,191,225,80,179,125,223,49,161,161,327,327,319,319,319
52,466,466,466,314,313,101,3,3,313,313,208,281,281,281,330,330,161,161,161,161,385,385
53,509,509,509,66,660,264,290,103,103,263,349,349,301,280,280,280,280,280,280,280,319,207
54,287,93,93,440,252,326,320,354,338,394,313,229,229,229,229,229,229,229,229,229,229,16
55,53,53,53,208,45,632,516,288,227,33,33,33,314,314,338,338,338,338,338,338,16,16
56,589,513,513,513,596,183,421,355,694,694,345,345,367,338,313,313,632,16,16,16,16,16
57,189,189,189,189,779,451,620,100,35,225,113,329,329,329,329,329,367,366,366,366,308,308
58,50,50,50,203,661,391,545,587,587,587,587,45,145,145,145,88,88,88,88,145,145,31
