ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60
0,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,79,79,79,336,336,336,336,336,336,336,336,336,336,336,95,95,95,122,122,122,122,122,122,122,122,122,122,122,177,177,544,544,544,544,544,544,544,544,544,544,544,544
1,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,109,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508
2,514,514,514,514,514,514,514,514,503,503,503,503,503,503,503,503,503,503,503,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,505,505,505,505,505,505,505,505,505,505,505,370
3,87,93,93,93,93,93,93,93,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,158,158,158,158,158,158,158,158,158,158,162,162,162,162,162,162,162,162,162,162
4,708,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,557,557
5,675,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,773,208,208,208,208,208,208,208,208,208,171,171,171,171,171,171,171,171,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675
6,523,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,89,89,89,89,89,89,89,89,89,89,89,89,89,547,547,547,547,547,547,547,547,547,237,237,237,237,237,237,237,255,255,255,255,89,89,89,89,89,89
7,798,798,798,798,798,798,798,798,492,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,798,127,127,127,127,127,127,127,127,717,717,717,717,717,717,127,127,127,127,127,127,127,127,127,127,127,127,127,362,362,362,362,362,362,362
8,346,346,346,329,329,329,329,329,329,329,329,329,329,329,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,40,40,40,40,40,40
9,515,515,515,515,515,515,515,515,515,515,515,515,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,621
10,282,282,515,515,515,515,515,515,515,515,282,282,629,629,629,629,629,629,629,629,629,629,629,64,64,64,64,64,64,784,784,784,784,784,784,784,380,380,380,380,380,380,380,380,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,173,173
11,245,245,245,220,220,220,220,220,220,220,220,220,220,220,220,451,451,451,451,451,451,451,220,220,220,220,220,608,608,608,608,608,608,608,608,608,608,608,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,233,233,15,15,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,145,145,145,145,145,145,145,145,145,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290
13,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,137,137,137,137,137,137,137,137,137,23,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,233,233,233
14,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648
15,24,24,24,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,277,277,277,277,277,277,277,277,277,277,735,735,735,735,735,735,735,735,735
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,102,24,175,175,175,175,175,175,148,148,148,148,148,148,148,148,148,148,148,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,607,607,607,607,607,573,573,573,573,573,573,464,464,464,464,464,464,464
18,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,619,619
19,491,43,346,346,346,346,346,346,346,578,346,346,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,491,491,491,491,491,491,491,491
20,287,287,287,287,287,725,725,725,725,725,725,725,725,725,725,725,725,725,725,512,512,512,512,512,512,512,512,512,512,512,512,512,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,557,557,557,557,557,557,698,698,698
21,110,110,110,110,110,110,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,408,408,408,110,110,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,684,6,6,6,6,6,6,6,6,6,6,684,684,684
22,758,758,758,758,758,760,760,760,760,760,760,760,760,760,760,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758
23,387,337,337,798,798,798,798,798,798,798,798,798,798,798,798,798,798,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,491,491,491,491,491,491,491,491,491,491,46,46,524,524,524,524,524,524,524,524
24,205,108,205,205,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,660,660,660,660,727,727,727,727,727,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644
25,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303
26,370,794,393,393,393,393,393,393,393,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,803,362,362,362,362,362,362,362,362,362,362
27,34,34,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,64,64,64,64,64,64,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,282,282,282,282,282,340,340,340,454,562,562,562,562,562
28,759,457,759,759,759,759,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,457,457,457,457,457,457,457,457,457,457,457,457,457,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490
29,26,26,26,26,26,26,26,26,26,26,26,26,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,510,510,510,510,510,510,510
30,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,639,639,639,639,639,639,639,639,639,639,639,639,639,526,724,724,724,724,724,724,724,724,724,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,498,498,498,498,498,498
31,14,14,14,14,20,20,20,20,20,20,20,20,20,20,20,20,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,709,709,709,108,108,108,108,108,108,108,108,108,108,108,108,108,108,206,206,206,206,206,368,156,156
32,417,467,467,467,467,467,467,467,467,467,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229
33,647,756,756,155,155,155,155,155,155,752,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,593,593,593,593,593,593,593,593,593,593,593,593,593,756,756,756,756,756
34,36,327,327,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477
35,514,514,514,514,514,514,514,514,514,149,149,149,149,149,149,149,149,149,149,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,576,576,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768,620,620,620,620,620,620,620,620,620
36,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,586,586,586,586,586,586,174,79,607,607,455,455,455,666,666,666,231,231,231,231,231,231,231,231,231,231
37,321,191,191,191,191,191,733,733,733,733,733,733,733,733,733,733,733,733,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733
38,649,299,299,299,299,299,299,299,299,299,299,299,299,19,19,19,71,71,71,71,71,71,675,675,675,675,19,19,760,760,760,508,508,508,508,508,508,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763,763
39,187,187,187,187,187,187,187,187,187,187,187,187,187,129,129,780,780,780,456,456,456,456,456,354,367,354,354,354,354,354,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
40,329,192,192,192,600,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,720,720,720,720,720,720,720,686,686,686,686,686,686,686,686
41,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,589,589,589,589,589,387,387,387,145,145,145,484,484,484,484,484,484,484,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,217,217,217,217,217,217,217,217
