ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11
0,1271,1271,3518,1776,1776,1782,1782,1782,1782,1782,1782,1507
1,4077,345,1776,1776,1776,1782,1782,5730,5730,2427,2427,2427
2,1271,1776,1776,1776,1776,1776,1782,1782,1782,965,3442,965
3,1271,1271,3518,1776,1776,4262,4262,4262,213,213,213,4262
4,1271,1271,1776,1776,1776,7045,362,362,362,97,97,5587
5,1271,1271,1271,1776,1776,1776,2563,333,1647,5858,5858,5587
6,1271,1271,1271,1776,1776,1776,1776,333,5587,5587,5587,5587
7,1271,1271,1647,1776,1776,1776,2563,1647,1647,1647,5858,5587
8,1271,1271,1271,1776,1776,1776,1647,333,333,5587,2399,5587
9,2586,345,3394,3394,1782,1782,1782,1782,2427,2427,2427,2427
10,7045,1776,1776,1776,1776,1782,1782,1782,1782,2427,2427,2427
11,4516,4516,1776,1776,1776,362,362,362,362,362,6751,2930
12,3137,5878,5878,1638,1118,6579,6579,6579,6579,6579,6579,6579
13,1271,4802,4802,4802,6579,6579,6579,6579,6579,6579,6579,6579
14,1271,1271,1271,1776,1776,1776,4262,1782,1647,5587,4262,5587
15,3137,345,345,3394,1782,1782,1782,1782,1782,1782,1782,2563
16,1271,1271,1647,1776,1776,1776,1782,1782,1647,1647,1782,3222
17,3137,345,345,3394,1782,1782,1782,1782,1782,1782,1782,1018
18,1271,1271,1271,1776,1776,4262,4262,4262,4262,4262,4262,4262
19,345,345,3394,3394,1776,1782,1782,1782,1782,2427,1782,2427
20,4516,7045,1776,3394,3394,1782,1782,1782,1782,2427,1782,2427
21,1271,1271,7045,1776,1776,362,362,362,362,362,1427,1427
22,4077,1776,3394,3394,1782,1782,1782,1782,1782,2427,1782,2427
23,7045,7045,3394,3394,3394,1782,1782,1782,1782,2427,2427,2427
24,3378,3378,1782,1782,1782,1782,1782,1782,1782,2427,2581,2427
25,4271,4271,3894,3894,3894,5358,3939,362,4757,4757,4757,292
26,3378,1776,1776,1782,1782,1782,1782,1782,2581,2581,2581,2581
27,1271,1271,1271,3518,1776,1776,4262,4262,213,5858,2315,2695
28,635,7045,3394,3394,3394,1782,1782,1782,1782,1782,1427,965
29,3483,345,3394,3394,3394,1782,1782,1782,2427,2427,2427,2427
30,1271,1271,3518,6725,6725,6725,6725,362,5587,5587,1760,2695
31,345,1776,1776,3394,1782,1782,1782,1782,1782,1782,1782,2427
32,4516,3518,3518,3518,4234,4234,362,362,362,362,1760,1760
33,345,1776,1776,1776,1776,1782,1782,333,333,965,2581,965
34,551,345,345,1782,1782,1782,1782,1782,2427,2427,2427,2427
35,345,6693,1776,1776,1776,1782,1782,1782,1782,965,1782,2427
36,1271,1271,3518,1776,1776,1776,1782,1782,1782,1782,1782,3222
37,4077,345,3394,3394,3394,1782,1782,1782,1782,2427,2427,2427
38,4516,4516,3394,3394,1782,1782,1782,1782,1782,1782,2141,2141
39,1271,1271,1271,1776,1776,1776,4262,4262,213,213,213,5587
40,1271,4271,3894,3894,3894,3939,362,362,97,4560,97,5587
41,1271,1271,3518,3518,1776,4262,4262,4262,1760,1760,1760,1760
42,345,345,1776,1776,1776,1782,1782,1782,1782,2427,2427,2427
43,1271,1271,1271,1776,1776,1776,1776,333,333,3222,3222,3222
