ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11
0,499,618,384,377,149,149,149,65,149,364,203,203
1,508,130,456,625,80,203,257,263,75,53,53,280
2,711,553,384,264,257,273,362,362,339,149,273,364
3,105,193,60,29,360,340,360,360,190,347,347,6
4,149,149,672,810,455,54,54,334,334,334,334,334
5,171,722,601,487,213,23,362,26,79,79,213,347
6,668,280,129,303,224,251,102,23,256,19,224,224
7,610,414,6,342,281,193,193,213,213,6,295,295
8,6,15,518,86,281,362,346,346,19,41,41,318
9,702,384,251,523,312,312,312,34,167,223,352,173
10,368,173,555,562,69,119,145,88,129,313,313,285
11,697,561,108,387,318,78,188,705,361,285,285,283
12,196,259,795,163,196,196,196,196,196,139,139,139
13,169,317,403,391,3,3,285,285,333,285,285,87
14,459,12,87,730,337,115,88,378,216,378,139,139
15,35,735,364,218,625,349,75,263,263,366,328,329
16,203,203,203,203,203,203,203,203,203,203,203,203
17,485,305,185,423,53,203,263,179,225,329,203,80
18,14,247,412,397,657,560,713,351,351,351,346,346
19,326,326,290,174,770,384,42,213,213,213,362,362
20,347,809,487,603,584,105,404,213,93,213,213,360
21,717,369,17,435,519,491,197,681,368,368,368,368
22,309,111,250,496,809,365,562,210,210,210,738,89
23,798,368,104,482,689,387,507,778,778,778,689,368
24,101,80,727,71,45,165,121,357,357,377,21,225
25,178,179,80,440,256,366,102,303,21,101,80,80
26,794,80,493,533,136,136,101,101,158,78,78,80
27,336,280,159,774,633,255,255,255,255,309,255,231
28,440,130,586,474,545,185,295,119,0,306,306,306
29,724,119,215,154,111,391,391,351,351,35,35,360
30,111,470,719,748,470,424,590,189,166,89,245,245
31,687,338,555,319,170,152,232,104,340,245,12,290
32,509,576,188,385,270,6,40,40,245,264,245,245
33,274,423,797,367,351,647,449,111,493,493,759,578
34,569,581,523,515,362,477,230,79,79,79,79,79
35,109,100,679,776,701,36,581,478,448,216,434,434
36,469,654,339,60,338,723,292,237,237,237,379,270
37,132,565,168,241,654,443,341,404,210,351,70,70
38,517,690,13,44,68,690,18,181,181,18,18,18
39,129,108,187,570,175,7,253,253,387,84,166,14
40,408,408,662,432,325,140,28,325,325,389,325,245
41,185,221,653,204,630,166,382,387,77,7,166,325
42,321,268,384,520,766,312,384,190,384,224,309,272
43,264,114,162,272,111,187,65,187,11,11,28,28
44,28,233,23,137,404,28,404,28,28,28,104,28
45,416,130,130,130,130,130,130,130,130,130,130,130
46,386,161,377,132,372,119,130,274,47,779,779,495
47,789,71,34,314,335,34,34,34,34,269,70,91
48,126,411,411,143,241,161,385,161,319,319,319,319
49,485,674,329,509,189,361,103,314,361,308,103,162
50,486,268,353,592,806,248,225,148,385,385,385,334
51,243,245,367,303,264,260,257,256,49,400,400,400
52,314,99,727,89,152,104,3,308,81,334,334,310
53,26,177,463,32,366,218,103,381,318,400,275,280
54,121,423,287,331,402,16,167,363,16,221,138,114
55,728,646,97,678,45,548,548,114,16,16,84,521
56,612,352,188,212,81,133,126,288,338,750,313,217
57,439,784,779,60,586,78,329,131,269,367,385,367
58,247,231,555,652,274,317,45,45,45,115,516,115
59,380,580,159,337,403,184,206,206,184,206,184,139
60,337,455,620,457,177,757,757,757,667,550,764,258
61,289,162,708,632,58,485,610,7,95,95,250,250
62,809,578,290,79,366,58,247,342,306,342,95,95
63,391,554,257,107,143,303,152,188,188,188,170,179
64,184,145,310,367,130,206,339,366,174,174,174,174
65,174,105,6,7,366,174,174,174,174,174,149,174
66,31,647,420,420,420,396,285,3,147,285,59,206
67,463,192,65,236,165,65,18,87,402,402,160,126
68,112,112,303,139,107,133,278,278,233,259,107,393
69,565,149,682,127,283,168,168,123,476,107,107,181
70,365,613,318,143,175,133,402,133,107,317,317,317
71,335,192,668,417,742,376,293,293,293,259,259,403
72,718,142,450,269,234,310,310,310,136,264,131,131
73,744,506,142,77,77,142,142,31,142,48,48,31
74,237,88,656,360,252,106,282,54,240,282,240,240
75,264,66,181,763,456,5,5,256,256,264,106,49
76,723,42,373,551,325,155,384,164,164,164,111,111
77,715,92,734,135,771,659,373,108,84,118,118,118
78,687,11,100,401,276,358,401,69,320,242,74,167
79,467,578,295,289,62,401,401,401,74,74,153,153
80,488,513,506,668,167,167,217,217,266,217,217,217
81,366,714,185,366,26,312,362,362,362,362,362,213
82,463,190,552,340,71,379,98,98,98,98,98,98
83,665,714,775,495,166,193,166,193,193,193,98,98
84,345,189,383,108,328,314,32,156,156,137,156,345
85,393,393,393,393,393,393,393,393,393,393,393,393
86,741,85,176,32,402,241,380,168,66,403,66,66
87,403,345,257,159,183,259,259,376,376,376,376,376
88,5,794,126,230,403,66,335,195,335,335,403,403
89,766,541,17,163,352,180,243,359,369,359,359,359
90,259,133,429,376,319,297,376,376,376,376,44,376
