ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11
0,598,4390,1615,5611,6981,6981,6981,1333,6981,2231,1311,77
1,598,3404,1684,5631,1789,2231,2377,1734,1734,1247,2618,2560
2,6925,2358,1615,4129,3376,852,852,1247,1734,1247,1247,1734
3,4435,3036,1126,974,2037,2946,3442,974,1882,2386,2386,1739
4,4435,3484,3792,6335,2906,2549,1073,974,1073,3049,3049,703
5,4435,3036,988,974,673,6221,1201,3120,2310,1715,539,3353
6,4435,2840,988,781,481,2832,1499,2560,1780,3348,1286,1286
7,5694,194,1615,974,974,1739,1201,974,533,1739,946,1739
8,4435,4390,1615,974,5023,2882,852,1004,852,2627,1499,2836
9,3404,3404,1069,4347,3404,99,580,2847,2847,938,938,2259
10,1525,5665,1381,3072,510,1075,1784,1227,1227,941,2952,36
11,5920,1004,4709,2856,2035,2549,1499,2871,2035,3418,3418,351
12,4435,4390,988,2722,2215,1644,1525,2084,2480,2603,2388,2603
13,459,43,988,2722,3131,3493,909,2388,1190,774,774,1190
14,4435,451,2657,4233,2221,12,909,2221,1039,2388,2388,1522
15,1804,778,1126,2628,6256,2231,2377,1734,1247,1247,2618,2560
16,4435,2358,1684,4233,6678,1883,1201,2388,3376,1376,2152,2152
17,3404,4390,2657,2627,574,2231,1499,290,290,1247,290,2560
18,4435,3036,2386,974,3459,1883,459,52,2399,3406,946,459
19,1894,5550,1615,4129,580,533,3442,737,533,673,673,487
20,606,2358,1615,4129,4416,3464,6515,974,852,2530,3256,3256
21,4975,3301,4322,1577,5942,5364,3462,1902,3364,1006,1006,1006
22,1804,778,1069,6037,6303,2967,2210,213,3404,1906,2967,2967
23,598,3301,3291,7017,6148,6148,6148,3100,5888,6148,3244,570
24,3208,3208,1227,2705,2999,1775,1387,3468,1075,2965,2965,2965
25,6278,5730,33,974,1789,2549,1734,1734,1734,2231,787,787
26,3208,3208,1615,700,941,1933,2736,3345,405,405,2618,256
27,2189,451,988,2479,2524,2549,3256,974,1739,469,3256,1739
28,79,2375,6751,6735,2542,1130,3451,2366,2366,1466,1466,2731
29,598,3301,1615,2479,3404,2180,1852,1236,1852,3451,3451,202
30,4435,5730,5730,3620,5785,3843,906,930,483,393,3457,3457
31,598,3301,1615,2856,510,99,1387,1903,1124,238,1124,2403
32,4435,2840,1126,33,2638,2549,2737,974,3172,1374,665,3172
33,3404,5550,3792,1906,634,3706,3278,1768,1768,1768,1768,644
34,1804,3208,1069,5631,1069,696,696,696,2656,2656,2742,1923
35,1804,5550,1069,1949,4837,4555,2742,2742,6869,4008,6624,6624
36,79,5688,163,2856,2542,2549,2737,1374,292,585,50,585
37,79,2935,307,3141,2215,591,2424,2366,2366,810,224,224
38,79,4390,4971,1223,2178,1332,1332,2981,1168,1774,2151,2584
39,606,399,2000,2856,2542,1388,1385,1124,1820,2132,1820,442
40,1525,4020,4322,1577,5012,2563,152,2945,2796,2266,445,1374
41,4861,451,1126,1577,3843,2988,1820,1124,1820,393,483,483
42,1804,5550,3792,7017,737,99,2959,1903,2768,1427,580,580
43,4861,3301,1381,974,974,1739,974,974,1882,2310,1147,1073
44,459,43,43,3491,3222,163,814,62,395,1199,1199,2542
45,4975,451,1615,1443,3131,3493,1499,1147,3516,3516,2372,1966
46,4975,5687,163,2856,2035,2549,2424,2366,2366,2753,2753,1680
47,4435,3036,988,2856,2524,3007,1499,3007,2811,2549,2620,2549
