ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11
0,122,122,60,60,60,60,60,408,408,408,408,408
1,677,677,677,677,736,736,736,508,508,736,407,407
2,79,79,79,79,79,79,79,79,79,79,711,711
3,42,42,60,287,287,287,105,105,105,105,231,231
4,42,42,42,366,366,366,366,73,149,185,185,185
5,675,713,171,6,6,171,171,171,171,171,171,171
6,808,736,736,736,736,668,668,668,668,668,668,668
7,514,485,485,485,514,514,514,610,610,610,610,528
8,346,173,6,6,6,6,346,346,346,6,346,6
9,515,515,515,552,782,782,702,322,322,322,322,322
10,29,29,145,145,145,145,629,629,629,173,173,173
11,418,418,418,418,418,418,418,418,418,706,706,706
12,133,133,133,371,169,133,133,133,133,37,37,37
13,23,674,674,674,432,432,432,432,432,432,432,432
14,700,45,45,45,45,45,576,459,459,87,87,87
15,364,364,364,364,364,364,364,693,35,35,35,16
16,203,203,203,203,203,203,203,203,203,203,203,203
17,118,121,23,348,348,348,121,121,305,305,305,37
18,108,14,14,14,14,14,14,288,288,288,295,295
19,326,326,326,326,326,264,326,687,687,687,687,688
20,287,95,95,91,91,91,91,708,708,708,708,708
21,578,497,497,717,717,717,717,440,717,229,229,229
22,758,758,758,624,624,760,760,760,760,760,760,760
23,229,215,215,215,229,229,229,229,119,119,119,798
24,205,347,347,347,347,727,803,803,803,803,803,803
25,303,303,592,303,303,303,653,653,653,653,653,85
26,493,493,493,493,803,803,803,575,575,575,87,87
27,525,525,525,525,525,525,243,604,604,479,479,479
28,130,130,130,130,389,389,389,130,389,130,130,130
29,19,88,88,88,88,88,633,633,633,219,610,610
30,711,711,711,600,600,600,600,639,639,639,639,639
31,388,388,388,388,511,511,511,493,493,493,493,493
32,509,509,509,509,509,509,509,509,509,509,509,674
33,26,715,780,10,274,274,274,274,274,274,274,274
34,36,36,36,36,36,36,36,327,327,327,327,327
35,702,100,100,100,768,768,768,768,109,109,109,671
36,339,339,339,45,45,45,45,654,672,54,54,54
37,321,736,736,736,733,14,14,14,229,100,132,132
38,763,763,763,763,763,321,321,321,648,648,648,648
39,171,495,495,495,495,495,82,82,82,82,82,82
40,329,482,482,329,329,329,329,329,408,408,408,408
41,354,354,387,387,387,387,695,185,185,185,185,185
42,674,674,674,674,674,674,674,674,515,515,515,695
43,362,220,220,457,457,665,665,149,149,149,149,149
44,28,28,28,28,28,28,28,28,28,233,233,233
45,130,130,130,130,130,130,130,130,130,130,130,130
46,760,760,760,399,320,320,320,386,386,760,760,760
47,269,269,269,269,269,309,60,354,354,354,354,354
48,14,14,14,14,14,14,14,144,144,144,806,806
49,470,470,466,466,466,470,470,470,470,470,599,599
50,486,486,486,486,484,484,484,484,484,484,484,484
51,281,281,264,264,264,281,281,281,281,339,243,243
52,68,68,68,377,377,377,377,466,466,466,466,466
53,509,86,86,86,26,26,580,580,580,411,411,411
54,279,287,287,287,287,121,121,121,121,279,279,279
55,53,53,121,121,121,121,653,646,646,646,646,646
56,721,721,612,612,612,612,612,612,612,612,488,488
57,189,189,86,86,439,439,106,106,106,439,439,439
58,247,247,247,247,247,247,247,247,247,247,333,333
59,724,114,114,114,114,114,114,692,692,692,692,692
60,650,749,749,749,427,650,650,485,485,485,485,650
61,700,725,725,725,407,407,447,447,447,407,28,28
62,203,203,700,5,5,5,667,290,290,290,290,290
63,164,164,164,164,164,489,489,489,489,489,489,489
64,166,166,166,166,166,166,166,184,184,184,184,184
65,340,340,340,340,340,340,174,206,206,206,84,84
66,459,459,459,459,459,459,459,459,459,459,459,459
67,303,303,693,693,693,328,328,268,268,290,290,290
68,196,196,196,196,565,565,565,565,583,51,632,632
69,275,275,275,275,275,780,780,551,551,551,551,551
70,719,719,356,356,356,504,504,504,504,504,504,504
71,251,251,251,251,251,251,251,251,251,251,251,251
72,234,234,271,306,306,306,9,9,9,9,9,9
73,21,21,77,675,675,330,330,744,744,744,744,744
74,387,387,387,387,650,650,650,650,508,508,508,508
75,478,478,478,478,478,478,479,479,479,190,190,190
76,723,723,723,723,723,723,723,723,723,723,723,723
77,432,349,215,215,215,215,541,541,541,541,715,715
78,687,64,64,687,687,687,687,687,401,401,401,401
79,397,197,197,340,340,340,340,340,340,340,340,340
80,255,255,770,770,770,770,35,506,506,506,506,506
81,252,252,252,252,366,366,366,366,366,366,366,366
82,60,60,334,334,334,334,334,174,174,174,174,174
83,31,31,357,357,404,404,404,404,404,404,404,404
84,80,80,80,182,182,187,233,233,233,361,361,361
85,393,393,393,393,393,393,393,393,393,393,393,393
86,335,335,301,317,317,317,317,317,317,317,285,285
87,403,403,403,403,403,403,403,403,403,403,403,403
88,123,259,259,259,259,400,5,5,5,5,5,5
89,760,663,663,766,766,766,766,766,766,766,766,549
90,126,476,476,476,476,476,523,523,523,523,523,523
91,794,338,338,338,768,768,768,768,768,89,89,89
92,403,403,403,403,403,403,379,317,317,317,305,305
93,86,86,86,86,86,86,86,86,86,86,86,86
94,0,0,0,491,491,269,492,492,492,492,492,492
95,60,763,763,763,763,763,763,505,505,505,206,206
96,572,572,572,624,281,281,281,569,569,569,569,569
97,689,689,689,689,689,689,689,689,79,79,140,172
98,805,805,805,513,44,44,44,44,44,44,44,44
99,651,651,423,423,473,473,473,473,473,473,473,473
100,531,185,323,323,323,323,771,771,771,771,771,771
101,794,794,794,794,794,794,794,794,794,794,794,794
102,41,356,356,356,232,318,318,318,318,318,318,318
103,49,275,275,275,275,275,275,587,587,587,587,587
104,523,523,155,155,155,633,633,633,672,672,672,672
105,479,479,479,479,479,479,479,479,479,545,545,545
106,73,73,73,762,762,762,762,762,762,762,258,258
107,328,328,328,328,328,328,328,176,176,233,233,540
108,183,380,380,380,126,126,126,126,126,126,126,126
109,369,369,790,790,790,790,44,390,390,390,728,629
110,691,691,691,691,691,557,557,414,414,414,496,496
111,316,316,316,316,316,316,316,316,316,316,316,316
112,114,114,114,274,469,469,195,803,803,195,195,195
113,189,416,416,416,321,321,321,328,328,328,329,28
114,93,379,379,379,53,53,53,53,53,149,149,149
115,810,810,810,810,810,75,179,136,136,136,136,136
116,105,84,84,26,26,26,26,26,26,26,26,84
117,311,311,311,311,311,311,311,311,404,404,404,404
118,398,398,398,398,398,398,398,709,709,709,354,354
119,10,565,565,565,565,565,565,565,565,565,565,565
120,249,249,249,249,249,333,333,333,607,607,607,607
121,264,264,264,264,712,712,712,223,223,223,223,223
122,210,159,159,159,159,159,159,175,175,224,224,224
123,264,264,303,303,303,303,303,303,303,303,189,303
124,692,166,166,166,166,790,790,740,740,740,689,689
125,62,62,636,636,404,404,404,701,701,701,393,393
126,660,660,660,660,573,573,573,573,573,573,573,573
127,505,505,313,313,693,693,693,693,693,693,725,725
128,205,787,787,787,787,787,43,43,43,338,338,338
129,98,98,98,98,98,98,98,98,98,166,166,166
130,137,137,137,169,169,169,169,169,169,169,169,169
131,607,10,10,10,10,10,10,287,465,287,287,287
132,133,133,133,133,500,500,500,500,139,139,26,238
133,14,160,160,160,160,134,134,134,134,134,134,134
134,408,408,408,408,408,400,379,379,379,379,197,379
135,87,87,87,807,807,807,807,807,807,807,807,807
136,682,583,583,583,682,682,651,651,651,651,651,45
137,507,507,373,373,343,343,343,806,806,539,539,539
138,353,353,353,353,353,353,313,313,313,313,313,313
139,396,396,660,660,660,660,660,776,776,776,809,809
140,318,318,207,207,207,207,435,435,435,435,435,435
141,118,118,118,118,118,188,188,188,188,188,188,606
142,321,321,593,593,593,602,602,602,602,602,602,602
143,323,323,53,53,53,53,770,770,770,53,636,636
144,325,325,325,370,370,370,370,370,370,370,370,370
145,510,510,510,390,510,809,809,809,809,809,809,809
146,620,620,216,216,216,216,216,216,216,216,216,216
147,237,35,339,334,334,334,308,308,308,308,308,308
148,320,320,320,384,384,384,43,154,154,154,154,154
149,137,339,339,339,339,339,339,339,339,65,65,149
150,651,651,695,185,185,185,185,185,185,563,563,749
151,578,11,11,11,192,192,192,192,192,192,192,336
152,609,62,62,62,687,687,680,680,680,680,680,645
153,132,730,730,325,325,325,30,30,30,30,30,30
154,479,79,79,371,371,371,371,0,0,0,0,6
155,711,668,668,563,439,439,467,467,633,435,435,696
156,143,143,143,143,143,143,143,143,143,143,143,143
157,658,609,609,609,609,808,808,808,808,808,268,268
158,392,392,392,774,774,774,774,774,774,186,186,186
159,580,580,31,657,411,31,31,31,31,31,31,31
160,143,506,506,506,506,506,506,506,506,506,506,506
161,770,691,691,691,691,35,35,35,35,35,610,782
162,223,54,54,54,54,166,166,166,166,166,166,166
163,187,600,7,161,161,161,7,26,26,599,599,440
164,217,217,717,217,660,660,660,433,433,433,470,470
165,259,259,259,259,259,259,196,196,361,361,423,423
166,345,345,345,345,345,345,345,345,345,345,417,417
167,522,522,387,387,8,788,788,788,788,357,357,357
168,182,123,123,123,123,123,123,123,123,708,708,708
169,665,665,665,636,540,65,65,65,725,725,65,65
170,247,257,692,692,687,206,206,206,417,417,417,417
171,250,250,250,250,250,250,250,250,250,250,250,250
172,783,783,783,343,343,452,452,300,300,452,343,343
173,412,412,806,530,530,739,739,30,30,30,30,364
174,650,650,650,381,381,381,538,381,381,381,475,475
175,359,359,359,359,359,359,359,359,359,359,359,359
176,100,447,447,447,447,447,447,602,602,95,602,95
177,358,358,626,626,626,626,626,626,626,790,752,790
178,359,359,359,411,433,255,433,3,3,700,700,700
179,578,578,578,450,450,450,6,6,6,6,6,6
180,131,24,131,131,131,131,131,131,131,131,131,131
181,319,319,319,319,319,319,33,33,33,714,714,714
182,486,486,486,486,486,486,486,486,486,486,570,570
183,356,356,356,34,447,447,251,251,251,251,403,403
184,406,406,183,183,183,183,183,183,623,741,741,377
185,366,456,456,456,456,456,456,456,456,456,86,86
186,583,515,515,711,214,214,214,515,515,515,515,515
187,226,226,226,226,226,226,769,769,769,769,769,769
188,496,496,496,496,677,677,492,742,492,115,115,115
189,195,195,85,286,286,286,382,382,84,73,73,73
190,170,170,170,170,170,682,22,22,22,22,22,22
191,782,782,782,782,782,782,6,413,413,6,287,287
192,459,459,496,110,110,110,730,649,649,751,751,751
193,156,588,588,588,588,783,156,156,156,156,156,156
194,328,231,231,231,231,231,231,231,231,231,502,502
195,55,394,394,394,400,394,394,55,55,55,55,55
196,126,126,126,126,126,126,126,311,43,138,138,138
197,774,774,275,275,275,766,766,766,766,766,766,28
198,555,752,752,406,805,805,469,590,590,590,590,590
199,757,313,313,313,654,654,654,654,654,337,337,337
200,189,189,189,189,189,189,189,189,189,189,189,189
201,476,476,476,220,220,220,555,555,555,555,6,6
202,34,34,34,34,34,34,34,34,223,389,170,170
203,402,402,753,753,753,753,753,753,753,753,608,608
204,387,387,387,387,387,387,387,387,387,252,252,274
205,247,689,689,43,43,43,43,43,43,116,116,116
206,69,69,282,282,282,154,154,467,237,237,237,237
207,369,369,369,369,369,369,369,369,369,369,369,369
208,142,142,142,172,172,172,172,172,762,762,762,762
209,749,749,498,498,498,498,498,498,498,498,498,498
210,213,651,651,651,651,7,7,7,7,651,651,651
211,311,507,507,592,592,507,507,507,571,571,571,571
212,553,553,360,360,360,360,360,360,360,334,74,8
213,395,299,299,299,395,395,395,762,762,762,762,762
214,156,517,517,517,517,517,517,687,687,687,687,687
215,303,185,185,594,594,345,345,329,45,45,45,45
216,51,51,14,14,14,14,683,683,683,676,676,676
217,431,431,431,431,31,31,459,600,459,600,4,4
218,301,301,301,506,506,534,534,534,534,534,534,103
219,682,682,682,790,790,790,790,790,790,790,790,790
220,396,396,396,396,496,396,196,196,196,175,175,175
221,290,290,355,355,355,355,355,355,355,355,355,355
222,791,435,435,435,435,435,435,435,435,807,807,807
223,536,254,254,254,254,254,339,339,339,339,339,339
224,539,198,198,198,92,92,92,92,574,574,714,714
225,253,253,253,757,757,757,757,174,757,804,804,804
226,323,323,323,323,323,323,323,323,323,323,323,323
227,390,241,241,334,334,334,671,671,671,671,334,334
228,463,463,463,463,463,463,463,463,807,807,807,807
229,486,486,478,667,667,667,667,667,667,667,667,280
230,248,248,30,30,30,30,30,257,257,258,686,686
231,340,65,65,65,65,65,347,347,347,347,347,347
232,290,290,739,739,312,312,312,312,312,312,312,312
233,323,323,323,323,323,323,323,323,323,182,182,140
234,234,234,345,345,345,761,761,761,761,761,171,171
235,178,65,65,65,65,65,65,65,65,65,65,65
236,761,411,411,411,411,697,697,697,697,697,697,697
237,341,341,429,429,429,429,429,429,429,429,215,215
238,124,124,124,124,124,124,124,124,124,124,124,124
239,1,124,124,124,124,124,124,124,124,64,75,75
240,378,494,494,494,494,494,494,494,494,314,314,314
241,671,700,414,414,414,414,414,717,717,59,59,327
242,400,400,400,400,699,699,367,367,367,367,367,367
243,346,346,346,346,346,346,346,346,346,346,569,569
244,15,766,281,281,281,281,281,281,281,281,281,281
245,359,359,359,359,170,170,732,170,170,170,644,644
246,78,78,78,43,32,32,32,465,32,32,396,32
247,294,294,294,366,281,366,366,281,281,695,294,294
248,688,517,517,517,517,424,517,517,424,424,424,424
249,105,105,222,416,416,416,416,416,416,416,416,416
250,187,187,474,313,210,210,210,210,210,210,210,402
251,284,284,284,284,284,213,213,213,213,213,100,100
252,347,496,496,764,366,366,366,366,366,427,427,427
253,3,3,3,3,3,3,3,3,3,3,353,456
254,683,683,683,139,139,139,139,139,139,139,139,139
255,750,9,9,9,9,9,155,155,155,180,180,180
256,209,209,209,209,209,209,209,543,601,209,209,209
257,490,602,84,84,84,84,84,84,84,84,84,84
258,623,251,303,303,313,313,313,313,313,266,266,266
259,631,572,572,572,337,337,648,648,648,648,308,308
260,693,633,633,181,181,109,109,109,109,109,109,109
261,158,206,206,331,331,331,331,0,142,142,142,0
262,808,808,808,808,808,384,774,774,326,326,326,326
263,297,148,148,148,597,597,597,107,107,107,107,107
264,657,657,657,657,378,378,378,170,170,170,496,496
265,377,377,377,377,472,472,381,381,381,381,381,381
266,474,474,474,474,474,34,34,34,34,1,1,549
267,526,526,526,526,526,526,526,692,692,692,692,692
268,481,481,481,481,481,481,736,736,736,809,809,809
269,788,788,788,788,788,788,788,788,788,788,788,788
270,177,177,177,170,170,170,170,126,126,126,390,390
271,210,30,30,264,85,85,217,411,156,156,26,26
272,517,485,619,619,619,619,318,318,318,318,318,318
273,342,14,14,14,252,252,252,252,252,141,167,167
274,732,199,199,199,684,684,684,199,750,750,750,750
275,798,798,798,400,400,400,805,805,805,252,252,252
276,197,197,197,197,197,20,257,10,188,188,7,7
277,509,509,509,509,509,509,417,417,417,417,417,417
278,283,789,729,729,593,593,593,593,593,446,446,446
279,495,495,495,495,495,495,569,569,569,569,569,136
280,71,550,550,609,609,103,103,197,197,197,185,103
281,618,618,618,630,619,630,630,630,630,630,630,630
282,157,157,157,157,157,157,481,481,187,187,187,187
283,50,50,50,50,50,32,32,32,276,276,276,66
284,594,594,594,594,594,594,394,394,394,394,313,313
285,377,377,574,574,574,574,574,574,720,282,282,706
286,133,133,133,133,133,133,376,376,285,285,285,285
287,576,576,576,576,576,576,576,576,187,187,225,225
288,695,268,268,268,695,695,695,695,523,523,523,268
289,443,453,517,517,517,517,517,517,599,599,599,599
290,741,741,741,741,216,604,365,365,365,365,89,89
291,280,174,174,174,174,174,174,174,720,720,720,720
292,463,69,463,170,170,170,170,170,170,51,56,56
293,231,778,778,778,778,778,778,778,778,778,185,185
294,274,274,274,274,309,511,417,417,417,417,417,417
295,189,189,189,274,701,701,701,274,274,274,275,275
296,261,243,243,499,15,15,430,430,430,430,430,106
297,442,442,442,192,192,192,192,192,192,192,192,192
298,778,85,85,528,494,494,494,528,128,25,123,123
299,492,663,663,663,663,663,663,663,663,663,518,663
300,742,742,182,182,268,268,268,268,787,787,280,280
301,264,264,216,216,216,252,679,679,448,448,216,216
302,58,58,496,496,496,496,85,85,85,85,85,85
303,565,565,236,236,236,236,129,211,211,211,211,211
304,385,385,385,788,788,788,50,50,50,50,50,50
305,665,665,665,636,636,636,725,725,725,585,255,255
306,559,193,193,193,193,599,599,599,599,586,771,771
307,547,145,145,145,145,346,346,346,346,346,346,149
308,225,225,361,231,231,361,361,361,361,361,361,361
309,48,261,261,261,261,404,404,404,404,404,404,404
310,65,65,65,65,745,485,485,485,485,485,485,485
311,513,20,20,20,194,321,321,321,321,321,321,321
312,578,578,578,578,488,488,488,488,488,314,314,314
313,166,367,367,367,367,367,367,367,367,367,367,367
314,373,470,470,470,470,470,470,470,470,470,470,373
315,166,366,366,791,791,791,791,451,451,451,451,451
316,170,170,170,340,26,26,26,26,26,26,71,71
317,207,207,207,207,207,207,207,207,207,493,493,493
318,50,50,50,50,50,175,175,175,175,6,6,6
319,381,381,381,381,381,381,381,381,381,381,381,381
320,345,345,345,345,345,631,631,538,538,538,538,538
321,694,694,694,15,15,15,120,120,168,168,168,168
322,507,507,507,507,507,68,68,68,68,68,507,507
323,33,33,33,33,33,33,33,670,670,524,524,524
324,165,592,165,527,279,279,279,279,279,617,617,739
325,360,360,652,652,652,652,652,652,719,472,68,68
326,491,491,491,491,491,491,491,472,472,472,472,472
327,236,805,805,805,361,809,809,129,129,129,129,129
328,93,610,610,610,610,610,610,466,466,466,466,461
329,632,632,632,632,632,632,632,156,156,156,170,170
330,477,477,731,731,319,145,573,573,573,573,573,573
331,411,377,377,377,399,247,364,247,364,107,762,107
332,807,603,62,62,62,62,62,251,251,391,391,391
333,326,326,326,326,326,340,340,340,340,340,340,174
334,22,118,118,248,248,248,248,138,138,138,132,132
335,236,170,44,44,402,402,236,189,189,189,176,176
336,313,108,627,108,108,108,108,108,108,313,100,100
337,190,388,277,277,277,277,277,277,521,521,521,521
338,361,361,361,361,361,361,361,361,361,361,361,361
339,32,32,42,42,64,64,5,5,121,121,685,685
