Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	0	0.0	1.925	32.799	4.435	0.0	1.506	29.779	3.859
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	1	0.0	4.439	48.054	14.718	0.0	3.339	46.044	13.743
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	2	0.0	10.058	44.629	21.03	0.0	6.561	44.371	19.72
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	3	0.0	17.535	40.952	23.758	0.0	11.773	43.525	23.204
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	4	0.0	26.585	40.147	27.307	0.0	18.531	41.153	25.709
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	5	0.0	34.364	39.413	29.954	0.0	24.175	39.682	26.681
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	6	0.0	43.02	38.45	32.689	0.0	29.309	38.241	27.665
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	7	0.0	50.563	38.589	35.529	0.0	34.193	37.997	29.806
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	8	0.0	56.103	39.005	37.935	0.0	38.751	38.558	31.373
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	9	0.0	61.289	40.554	42.229	0.0	43.478	39.949	34.743
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	10	0.0	64.392	41.225	43.867	0.0	47.446	40.464	36.119
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	11	0.0	67.339	43.03	48.013	0.0	50.275	43.435	40.707
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_SGD.yaml	222	12	0.0	70.94	44.205	50.945	0.0	53.208	46.528	45.989
