ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13
0,53,53,53,53,347,53,181,203,53,53,347,53,53,53
1,53,53,53,53,347,53,321,53,53,53,53,53,53,409
2,53,53,53,53,347,53,220,53,53,53,347,53,53,693
3,53,53,53,53,347,53,77,261,53,53,53,53,239,347
4,53,53,53,53,53,53,398,53,53,347,53,347,347,6
5,53,53,53,53,53,53,77,53,53,53,347,53,347,256
6,53,53,53,53,53,53,145,53,53,53,53,53,231,68
7,53,53,53,53,53,53,356,53,53,53,53,53,12,437
8,53,53,53,53,347,53,48,53,53,53,53,53,170,766
9,53,53,53,53,53,53,230,261,53,53,53,347,261,312
10,53,53,53,53,347,53,177,53,53,53,53,53,261,203
11,53,53,53,53,53,53,230,261,53,53,53,12,12,187
12,53,53,53,53,347,53,174,53,53,53,53,231,193,569
13,53,53,53,53,53,53,375,53,53,53,53,53,15,785
14,53,53,53,53,53,53,375,53,53,53,53,203,15,194
15,53,53,53,53,53,53,343,53,53,53,53,347,203,174
16,53,53,53,53,347,53,270,53,53,53,53,261,188,203
17,53,53,53,53,347,53,174,53,53,53,347,53,34,714
18,53,53,53,53,53,53,199,53,53,53,347,53,12,260
19,53,53,53,53,347,53,41,53,53,53,53,53,231,392
20,53,53,53,53,347,53,377,53,53,53,53,53,12,435
21,53,53,53,53,347,53,343,368,53,53,53,347,368,368
22,53,53,53,53,53,53,368,53,53,53,347,53,246,476
23,53,53,53,53,347,53,92,53,53,53,347,53,46,325
24,53,53,53,53,53,53,151,347,53,53,53,53,80,80
25,53,53,53,53,347,53,322,368,53,12,12,231,80,231
26,53,53,53,53,53,53,321,53,53,53,53,12,323,80
27,53,53,53,53,53,53,72,53,53,53,53,347,323,737
28,53,53,53,53,53,53,123,53,53,53,347,53,323,393
29,53,53,53,53,347,53,396,15,53,53,12,347,80,760
30,53,53,53,53,347,53,398,393,53,53,53,12,245,655
31,53,53,53,53,53,53,174,261,53,53,347,53,53,523
32,53,53,53,53,347,53,117,53,12,53,53,12,12,245
33,53,53,53,53,347,53,68,53,53,53,53,53,321,365
34,53,53,53,53,53,53,53,53,53,53,12,80,321,321
35,53,53,53,53,53,53,53,53,53,53,53,321,248,41
36,53,53,53,53,53,53,145,321,53,53,347,53,270,224
37,53,53,53,53,53,53,321,53,53,53,53,53,267,3
38,53,53,53,53,53,53,203,53,53,53,53,53,270,194
39,53,53,53,53,53,53,309,53,53,53,347,53,323,668
40,53,53,53,53,347,53,171,53,53,53,53,347,166,500
41,53,53,53,53,347,53,287,321,53,53,347,347,166,96
42,53,53,53,53,347,53,301,261,53,53,347,53,28,186
43,53,53,53,53,53,53,398,53,53,53,53,53,28,360
44,53,53,53,53,53,53,684,53,347,347,347,53,28,64
45,53,53,53,53,53,53,71,53,53,53,53,130,130,130
46,53,53,53,53,53,53,177,53,53,53,53,347,296,296
47,53,53,53,53,53,53,171,53,53,53,347,53,231,231
48,53,53,53,53,347,53,95,53,53,53,53,12,161,368
49,53,53,53,53,347,53,117,53,53,53,53,53,166,417
50,53,53,53,53,347,53,339,53,53,53,347,347,161,34
51,53,53,53,53,347,53,398,270,53,53,53,53,207,780
52,53,53,53,53,347,53,41,15,53,53,53,53,207,207
53,53,53,53,53,53,53,376,53,53,53,12,53,207,169
54,53,53,53,53,347,53,16,393,53,53,347,53,331,233
55,53,53,53,53,53,53,127,261,53,53,53,53,16,134
56,53,53,53,53,347,53,321,53,53,53,53,53,16,449
57,53,53,53,53,347,53,174,53,53,53,53,347,367,179
58,53,53,53,53,347,53,376,15,53,53,53,53,82,115
59,53,53,53,53,53,53,230,376,53,53,53,53,367,189
60,53,53,53,53,53,53,230,53,53,53,53,53,329,258
61,53,53,53,53,53,53,80,53,53,53,53,53,95,104
62,53,53,53,53,53,53,77,53,53,53,53,53,231,483
63,53,53,53,53,53,53,53,53,53,53,53,12,114,159
64,53,53,53,53,53,53,376,53,53,53,12,347,366,174
65,53,53,53,53,347,53,117,53,53,53,53,53,269,224
66,53,53,53,53,347,53,368,53,53,53,53,53,66,765
67,53,53,53,53,53,53,174,53,53,53,53,53,254,65
68,53,53,53,53,347,53,376,53,53,53,347,53,183,630
69,53,53,53,53,53,53,53,347,53,53,53,53,142,335
70,53,53,53,53,53,53,203,53,53,53,53,15,222,722
71,53,53,53,53,53,53,220,53,53,53,12,53,231,307
72,53,53,53,53,53,53,309,398,53,53,53,347,27,360
73,53,53,53,53,347,53,397,53,53,53,347,53,27,431
74,53,53,53,53,347,53,376,261,53,53,347,53,27,798
75,53,53,53,53,53,53,48,261,53,53,53,261,341,210
76,53,53,53,53,347,53,130,53,53,53,15,53,8,111
77,53,53,53,53,53,53,124,53,53,53,53,53,253,167
78,53,53,53,53,53,53,396,261,53,53,347,53,38,334
79,53,53,53,53,347,53,376,15,53,53,53,53,357,455
80,53,53,53,53,53,53,113,53,53,53,347,347,38,504
81,53,53,53,53,53,53,300,321,53,53,53,231,263,283
82,53,53,53,53,347,53,90,53,53,53,347,53,98,631
83,53,53,53,53,53,53,279,53,53,53,347,53,98,98
84,53,53,53,53,53,53,92,53,53,53,347,347,393,692
85,53,53,53,53,53,53,53,53,53,53,53,321,255,393
86,53,53,53,53,53,53,16,53,53,347,347,393,301,301
87,53,53,53,53,53,53,376,53,53,53,53,347,387,205
88,53,53,53,53,53,53,53,53,53,53,53,222,356,126
89,53,53,53,53,53,53,397,321,53,53,53,231,163,221
90,53,53,53,53,53,53,368,261,53,53,53,321,99,376
91,53,53,53,53,53,53,80,347,53,53,347,53,59,37
92,53,53,53,53,53,53,376,15,53,53,53,270,355,400
93,53,53,53,53,53,53,368,53,53,53,53,285,86,86
94,53,53,53,53,53,53,703,53,53,53,53,203,157,712
95,53,53,53,53,347,53,211,15,53,53,53,53,323,455
96,53,53,53,53,53,53,356,203,53,53,53,53,273,572
97,53,53,53,53,347,53,194,53,53,261,53,53,181,353
98,53,53,53,53,53,53,377,53,53,53,53,347,273,414
99,53,53,53,53,347,53,203,53,53,53,347,53,398,524
100,53,53,53,53,347,53,347,368,53,53,15,368,398,398
101,53,53,53,53,53,53,80,53,53,53,53,393,67,398
102,53,53,53,53,53,53,321,53,53,347,53,53,356,222
103,53,53,53,53,347,53,356,53,53,53,53,261,50,7
104,53,53,53,53,53,53,369,53,53,53,53,261,379,448
105,53,53,53,53,53,53,368,376,53,53,347,245,124,176
106,53,53,53,53,53,53,376,15,53,53,53,367,74,215
107,53,53,53,53,53,53,16,53,53,53,53,270,176,9
108,53,53,53,53,347,53,174,53,53,53,53,270,284,176
109,53,53,53,53,53,53,16,53,53,53,53,393,227,403
110,53,53,53,53,53,53,72,53,53,53,53,12,67,570
111,53,53,53,53,347,53,80,53,53,53,53,53,286,596
112,53,53,53,53,347,53,174,15,53,53,53,53,319,190
113,53,53,53,53,53,53,95,53,53,53,53,15,286,393
114,53,53,53,53,347,53,230,53,53,53,53,53,113,131
115,53,53,53,53,347,53,322,321,53,53,53,347,131,100
116,53,53,53,53,347,53,397,323,347,261,347,53,245,245
117,53,53,53,53,53,53,1,53,53,53,53,347,339,365
118,53,53,53,53,53,53,230,53,53,53,53,245,365,1
119,53,53,53,53,53,53,16,53,53,53,53,203,32,321
120,53,53,53,53,53,53,86,53,53,53,53,53,119,221
121,53,53,53,53,53,53,220,53,53,53,53,53,27,35
122,53,53,53,53,53,53,77,53,53,261,347,12,384,283
123,53,53,53,53,53,53,92,53,347,53,53,53,393,5
124,53,53,53,53,53,53,376,53,53,53,53,53,341,341
125,53,53,53,53,53,53,80,53,53,53,347,347,8,391
126,53,53,53,53,347,53,87,53,53,53,53,347,213,342
127,53,53,53,53,347,53,174,261,53,53,53,53,88,88
128,53,53,53,53,347,53,368,53,53,53,53,347,207,804
129,53,53,53,53,347,53,166,321,53,53,53,231,171,171
130,53,53,53,53,347,53,155,53,53,53,53,53,166,129
131,53,53,53,53,53,53,99,321,53,53,53,12,171,619
132,53,53,53,53,53,53,177,53,53,53,53,261,259,630
133,53,53,53,53,53,53,377,53,53,53,53,53,259,380
134,53,53,53,53,347,53,177,15,53,53,53,12,345,376
135,53,53,53,53,347,53,77,323,53,53,347,53,232,113
136,53,53,53,53,347,53,16,53,53,53,347,261,232,232
137,53,53,53,53,347,53,270,53,53,53,53,53,382,539
138,53,53,53,53,53,53,199,53,53,53,261,53,267,106
139,53,53,53,53,53,53,270,53,53,53,347,321,7,363
140,53,53,53,53,347,53,176,321,53,53,53,231,171,7
141,53,53,53,53,347,53,321,261,53,53,53,53,12,482
142,53,53,53,53,347,53,375,53,53,53,53,347,102,303
143,53,53,53,53,347,53,376,53,53,53,53,53,207,744
144,53,53,53,53,347,53,376,53,53,53,53,261,115,115
145,53,53,53,53,347,53,376,53,53,53,53,53,78,257
146,53,53,53,53,347,53,131,80,347,261,53,53,342,82
147,53,53,53,53,53,53,302,321,53,53,53,12,369,121
148,53,53,53,53,347,53,81,15,53,53,53,53,28,237
149,53,53,53,53,53,53,245,321,53,15,347,53,237,26
150,53,53,53,53,347,53,77,393,53,53,203,347,7,132
151,53,53,53,53,53,53,48,53,53,53,347,53,28,7
152,53,53,53,53,347,53,375,53,53,53,53,12,90,141
153,53,53,53,53,347,53,279,15,53,53,53,53,117,137
154,53,53,53,53,347,53,117,321,53,53,12,53,245,245
155,53,53,53,53,347,53,426,323,53,53,53,203,206,340
156,53,53,53,53,53,53,203,53,53,53,53,270,352,805
157,53,53,53,53,347,53,376,53,53,53,53,53,27,237
158,53,53,53,53,53,53,174,53,53,53,53,347,341,352
159,53,53,53,53,53,53,1,53,53,53,347,53,357,52
160,53,53,53,53,53,53,230,53,53,53,53,53,183,118
161,53,53,53,53,347,53,368,53,53,53,53,53,38,689
162,53,53,53,53,347,53,220,53,53,53,53,261,368,31
163,53,53,53,53,53,53,222,53,53,53,53,53,119,129
164,53,53,53,53,53,53,68,321,53,53,53,347,46,46
165,53,53,53,53,53,53,16,53,53,53,53,15,259,316
166,53,53,53,53,53,53,369,53,53,53,53,53,393,345
167,53,53,53,53,347,53,301,53,53,53,53,53,345,345
168,53,53,53,53,53,53,53,53,53,53,53,321,285,123
169,53,53,53,53,53,53,321,53,53,53,53,80,285,116
170,53,53,53,53,347,53,396,53,53,53,53,12,292,292
171,53,53,53,53,53,53,230,15,53,53,53,261,343,469
172,53,53,53,53,347,53,203,368,53,53,53,7,343,302
173,53,53,53,53,53,53,270,321,53,53,53,231,343,244
174,53,53,53,53,347,53,703,53,53,53,53,347,84,84
175,53,53,53,53,347,53,376,15,53,53,53,347,359,458
176,53,53,53,53,53,53,398,53,53,53,53,166,291,291
177,53,53,53,53,53,53,53,53,53,53,53,15,258,653
178,53,53,53,53,347,53,376,53,53,53,347,53,100,100
179,53,53,53,53,347,53,86,53,53,53,53,12,100,677
180,53,53,53,53,347,53,142,321,53,53,53,53,35,174
181,53,53,53,53,347,53,96,53,53,53,12,53,283,277
182,53,53,53,53,347,53,336,53,53,53,53,53,35,80
183,53,53,53,53,53,53,368,53,53,53,53,393,356,321
184,53,53,53,53,53,53,270,53,53,53,53,321,356,760
185,53,53,53,53,347,53,321,53,53,53,53,261,140,222
186,53,53,53,53,347,53,369,53,53,53,347,53,131,113
187,53,53,53,53,347,53,44,15,53,53,53,53,231,157
188,53,53,53,53,347,53,368,53,53,347,53,80,161,212
189,53,53,53,53,53,53,41,53,53,53,53,53,236,133
190,53,53,53,53,53,53,230,53,53,53,53,53,7,171
191,53,53,53,53,53,53,174,53,53,53,53,80,141,274
192,53,53,53,53,53,53,95,53,53,347,53,53,19,207
193,53,53,53,53,53,53,368,53,53,53,53,347,52,688
194,53,53,53,53,347,53,77,53,53,53,53,347,237,747
195,53,53,53,53,347,53,177,53,53,53,53,53,123,377
196,53,53,53,53,53,53,313,53,53,53,53,53,64,210
197,53,53,53,53,53,53,376,53,53,53,53,53,338,160
198,53,53,53,53,53,53,375,261,53,53,53,12,262,367
199,53,53,53,53,347,53,376,15,53,53,53,53,95,653
200,53,53,53,53,347,53,53,53,53,53,53,53,86,189
201,53,53,53,53,53,53,398,53,53,53,53,53,34,161
202,53,53,53,53,53,53,194,203,53,53,53,347,34,34
203,53,53,53,53,53,53,222,53,53,347,53,15,203,115
204,53,53,53,53,347,53,86,53,53,53,53,347,69,34
205,53,53,53,53,53,53,376,15,53,53,53,207,69,246
206,53,53,53,53,347,53,332,53,53,53,53,28,397,388
207,53,53,53,53,53,53,53,53,53,53,347,351,369,369
208,53,53,53,53,347,53,171,321,53,53,12,53,237,158
209,53,53,53,53,347,53,140,321,53,53,53,321,204,69
210,53,53,53,53,347,53,184,53,53,53,12,347,185,739
211,53,53,53,53,347,53,16,393,53,53,53,245,90,193
212,53,53,53,53,347,53,135,321,53,347,53,53,206,406
213,53,53,53,53,347,53,177,53,53,53,53,347,395,53
214,53,53,53,53,347,53,271,53,53,53,53,53,395,81
215,53,53,53,53,347,53,377,53,53,53,53,347,395,395
216,53,53,53,53,347,53,95,53,53,53,347,347,8,195
217,53,53,53,53,53,53,266,53,53,261,53,53,156,491
218,53,53,53,53,347,53,177,261,53,53,53,53,156,616
219,53,53,53,53,53,53,80,53,53,53,53,53,160,327
220,53,53,53,53,347,53,35,53,53,53,347,53,50,787
221,53,53,53,53,53,53,368,53,53,347,347,53,113,727
222,53,53,53,53,53,53,376,53,53,53,12,53,27,171
223,53,53,53,53,53,53,1,15,53,53,12,12,378,366
224,53,53,53,53,347,53,48,53,53,53,53,53,46,435
225,53,53,53,53,347,53,177,53,53,53,53,261,181,181
226,53,53,53,53,347,53,174,53,53,53,53,12,12,682
227,53,53,53,53,53,53,369,53,53,347,53,15,241,94
228,53,53,53,53,347,53,438,203,53,53,12,231,264,264
229,53,53,53,53,53,53,375,53,53,53,53,261,308,115
230,53,53,53,53,347,53,211,347,53,53,53,53,264,264
231,53,53,53,53,53,53,396,53,53,53,53,347,38,264
232,53,53,53,53,347,53,90,53,53,53,53,53,12,224
233,53,53,53,53,53,53,15,53,53,53,53,203,170,613
234,53,53,53,53,53,53,369,321,53,347,53,231,184,323
235,53,53,53,53,53,53,287,53,53,53,53,53,306,184
236,53,53,53,53,347,53,369,321,53,53,347,261,224,7
237,53,53,53,53,347,53,181,53,53,53,12,270,67,85
238,53,53,53,53,347,53,145,321,53,53,53,245,124,83
239,53,53,53,53,347,53,16,393,53,53,53,347,124,1
240,53,53,53,53,53,53,356,53,53,53,53,261,71,458
241,53,53,53,53,53,53,230,15,53,53,53,53,123,71
242,53,53,53,53,53,53,368,53,53,53,53,347,80,456
243,53,53,53,53,347,53,171,53,347,53,347,53,105,147
