Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	0	0.0	1.716	nan	0.0	0.0	0.092	nan	0.0
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	1	0.0	16.92	nan	0.009	0.0	3.51	nan	0.009
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	2	0.0	11.616	1.154	0.048	0.0	9.324	0.952	0.044
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	3	0.0	2.999	1.793	0.114	0.0	3.051	1.469	0.106
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	4	0.0	3.431	2.197	0.202	0.0	3.588	1.833	0.195
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	5	0.0	4.4	2.773	0.343	0.0	4.518	2.38	0.339
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	6	0.0	5.107	3.468	0.549	0.0	5.382	3.054	0.55
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	7	0.0	6.076	4.259	0.831	0.0	6.862	3.828	0.84
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	8	0.0	7.36	5.136	1.21	0.0	8.172	4.699	1.207
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	9	0.0	8.774	6.097	1.692	0.0	9.573	5.681	1.666
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	10	0.0	10.32	7.125	2.264	0.0	11.498	6.769	2.218
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	11	0.0	12.179	8.284	2.963	0.0	13.201	7.999	2.881
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	12	0.0	14.641	9.654	3.826	0.0	15.65	9.39	3.657
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	13	0.0	17.575	11.376	4.951	0.0	17.81	10.999	4.603
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	14	0.0	20.299	13.563	6.445	0.0	20.495	12.87	5.745
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	15	0.0	23.965	16.332	8.387	0.0	23.573	15.066	7.146
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	16	0.0	28.051	19.716	10.882	0.0	26.218	17.66	8.876
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	17	0.0	32.53	23.662	14.051	0.0	28.772	20.773	11.054
cait_xs24_384	configs/cait_xs24_384/config_cait_xs24_384_CosFace_adamw.yaml	222	18	0.0	37.087	27.793	17.807	0.0	32.111	24.307	13.71
