Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	0	0.0	3.759	22.211	3.418	0.0	3.536	21.305	2.842
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	1	0.0	7.556	20.397	5.843	0.0	6.561	19.563	4.91
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	2	0.0	16.344	20.804	9.134	0.0	11.839	21.22	8.108
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	3	0.0	29.099	25.408	14.808	0.0	21.778	25.896	13.552
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	4	0.0	40.401	31.501	21.75	0.0	30.5	30.957	19.224
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	5	0.0	47.093	37.869	28.391	0.0	35.948	36.889	24.686
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	6	0.0	51.414	43.252	35.171	0.0	38.318	43.226	31.123
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	7	0.0	49.568	48.69	39.593	0.0	37.493	49.125	34.842
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	8	0.0	61.236	50.139	47.811	0.0	48.324	52.169	45.565
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	9	0.0	62.507	50.612	49.166	0.0	49.515	52.99	47.269
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	10	0.0	65.073	51.529	51.709	0.0	50.065	54.117	48.559
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	11	0.0	64.392	53.17	53.835	0.0	53.012	54.73	50.905
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	12	0.0	66.854	53.427	55.581	0.0	54.164	55.254	52.293
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	13	0.0	70.115	52.264	55.308	0.0	57.268	54.679	52.926
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	14	0.0	70.272	53.199	56.532	0.0	58.355	55.319	54.246
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	15	0.0	72.499	53.291	58.166	0.0	59.442	55.645	55.569
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	16	0.0	72.865	53.586	58.704	0.0	60.529	55.838	55.822
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	17	0.0	73.73	53.521	59.559	0.0	60.922	56.366	57.116
cspdarknet53	configs/cspdarknet53/config_cspdarknet53_CosFace_adam.yaml	222	18	0.0	75.105	53.955	61.028	0.0	63.685	55.672	56.922
