Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	0	0.0	10.346	5.797	1.984	0.0	8.8	6.132	1.963
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	1	0.0	32.949	9.46	5.794	0.0	25.34	9.953	5.439
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	2	0.0	51.558	9.309	6.978	0.0	38.711	10.046	6.607
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	3	0.0	61.289	8.888	7.588	0.0	46.7	9.517	6.984
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	4	0.0	68.321	8.487	7.992	0.0	54.361	9.333	7.393
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	5	0.0	72.669	8.394	8.335	0.0	59.953	9.038	7.778
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	6	0.0	75.013	7.959	8.221	0.0	62.428	8.868	7.886
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	7	0.0	77.135	7.975	8.495	0.0	66.645	8.887	8.22
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	8	0.0	79.099	7.926	8.759	0.0	69.369	8.579	8.345
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	9	0.0	80.055	7.865	8.894	0.0	69.552	8.749	8.524
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	10	0.0	80.592	7.47	8.497	0.0	71.608	8.313	8.34
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	11	0.0	82.177	7.691	9.005	0.0	72.787	8.578	8.678
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	12	0.0	82.072	8.052	9.44	0.0	72.957	8.693	8.976
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	13	0.0	83.408	7.655	9.153	0.0	74.79	8.338	8.68
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	14	0.0	84.442	7.657	9.312	0.0	76.126	8.228	8.786
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	15	0.0	84.625	7.509	9.226	0.0	76.035	8.16	8.735
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	16	0.0	85.359	7.444	9.264	0.0	76.702	8.304	9.008
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	17	0.0	85.477	7.581	9.455	0.0	77.41	8.238	8.941
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	18	0.0	86.197	7.398	9.368	0.0	77.672	8.231	9.109
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_ArcFace_SGD.yaml	222	19	0.0	85.464	7.461	9.42	0.0	77.907	8.075	8.944
