Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	0	0.0	0.327	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	1	0.0	0.327	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	2	0.0	0.314	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	3	0.0	0.21	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	4	0.0	0.288	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	5	0.0	0.327	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	6	0.0	0.327	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	7	0.0	0.223	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	8	0.0	0.327	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	9	0.0	0.327	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	10	0.0	0.288	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	11	0.0	0.301	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	12	0.0	0.327	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	13	0.0	0.314	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	14	0.0	0.301	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	15	0.0	0.34	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	16	0.0	0.393	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	17	0.0	0.367	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	18	0.0	0.485	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	19	0.0	0.432	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	20	0.0	0.864	nan	0.0	0.0	0.013	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	21	0.0	0.995	nan	0.001	0.0	0.013	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	22	0.0	1.231	nan	0.001	0.0	0.052	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	23	0.0	1.414	nan	0.001	0.0	0.118	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	24	0.0	1.82	nan	0.001	0.0	0.144	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	25	0.0	1.781	nan	0.001	0.0	0.196	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	26	0.0	2.266	nan	0.001	0.0	0.314	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	27	0.0	2.449	nan	0.001	0.0	0.249	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	28	0.0	2.567	nan	0.001	0.0	0.314	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	29	0.0	2.645	nan	0.002	0.0	0.406	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	30	0.0	2.816	nan	0.001	0.0	0.419	nan	0.003
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	31	0.0	2.829	nan	0.001	0.0	0.38	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	32	0.0	2.907	nan	0.002	0.0	0.38	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	33	0.0	2.737	nan	0.002	0.0	0.367	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	34	0.0	2.855	nan	0.002	0.0	0.432	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	35	0.0	2.868	nan	0.007	0.0	0.498	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	36	0.0	2.855	nan	0.008	0.0	0.38	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	37	0.0	2.658	nan	0.008	0.0	0.354	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	38	0.0	2.868	nan	0.008	0.0	0.354	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	39	0.0	2.436	nan	0.008	0.0	0.314	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	40	0.0	2.816	nan	0.008	0.0	0.327	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	41	0.0	2.528	nan	0.007	0.0	0.471	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	42	0.0	2.606	nan	0.008	0.0	0.21	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	43	0.0	2.803	nan	0.007	0.0	0.223	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	44	0.0	2.514	nan	0.007	0.0	0.262	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	45	0.0	2.488	nan	0.007	0.0	0.288	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	46	0.0	2.554	nan	0.008	0.0	0.301	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	47	0.0	2.528	nan	0.008	0.0	0.249	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	48	0.0	2.724	nan	0.007	0.0	0.275	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	49	0.0	2.226	nan	0.007	0.0	0.301	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	50	0.0	2.462	nan	0.008	0.0	0.236	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	51	0.0	2.135	nan	0.008	0.0	0.288	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	52	0.0	2.082	nan	0.007	0.0	0.249	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	53	0.0	2.423	nan	0.007	0.0	0.275	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	54	0.0	2.004	nan	0.007	0.0	0.288	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	55	0.0	1.991	nan	0.007	0.0	0.144	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	56	0.0	2.082	nan	0.007	0.0	0.17	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	57	0.0	2.122	nan	0.007	0.0	0.301	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	58	0.0	2.226	nan	0.007	0.0	0.275	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	59	0.0	1.86	nan	0.007	0.0	0.327	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	60	0.0	1.794	nan	0.007	0.0	0.223	nan	0.002
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	61	0.0	1.925	nan	0.007	0.0	0.249	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	62	0.0	2.069	nan	0.007	0.0	0.262	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	63	0.0	1.899	nan	0.007	0.0	0.183	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	64	0.0	1.794	nan	0.007	0.0	0.17	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	65	0.0	1.768	nan	0.007	0.0	0.21	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	66	0.0	1.781	nan	0.007	0.0	0.236	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	67	0.0	1.702	nan	0.007	0.0	0.262	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	68	0.0	1.702	nan	0.007	0.0	0.236	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	69	0.0	1.82	nan	0.007	0.0	0.196	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	70	0.0	1.794	nan	0.007	0.0	0.236	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	71	0.0	1.637	nan	0.007	0.0	0.144	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	72	0.0	1.86	nan	0.007	0.0	0.21	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	73	0.0	1.493	nan	0.007	0.0	0.236	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	74	0.0	1.702	nan	0.007	0.0	0.17	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	75	0.0	1.558	nan	0.007	0.0	0.21	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	76	0.0	1.572	nan	0.007	0.0	0.236	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	77	0.0	1.467	nan	0.007	0.0	0.144	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	78	0.0	1.441	nan	0.007	0.0	0.236	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	79	0.0	1.545	nan	0.007	0.0	0.223	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	80	0.0	1.441	nan	0.007	0.0	0.17	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	81	0.0	1.611	nan	0.007	0.0	0.236	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	82	0.0	1.31	nan	0.007	0.0	0.249	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	83	0.0	1.493	nan	0.007	0.0	0.144	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	84	0.0	1.532	nan	0.007	0.0	0.17	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	85	0.0	1.572	nan	0.007	0.0	0.17	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	86	0.0	1.349	nan	0.007	0.0	0.223	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	87	0.0	1.414	nan	0.007	0.0	0.183	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	88	0.0	1.545	nan	0.007	0.0	0.17	nan	0.001
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_SGD.yaml	222	89	0.0	1.493	nan	0.007	0.0	0.196	nan	0.001
