ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73
0,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,216,192,59,59,59,59,59,59,59,59,59,59,361,54,59,151,258,292,435,435,323,323,143,384,141,141,141,141,384,384,384,384,384,384,384,384,384,384,384,59,59,59,59,59,59,59,59,59,59,59,59
1,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,59,59,59,59,281,322,152,152,33,357,435,257,257,54,54,54,54,384,59,59,59,366,22,22,366,22,22,59,59,59,59,59,59,59,59,59,59,59,59
2,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,59,54,59,135,388,95,199,199,305,371,3,231,231,158,158,240,143,143,240,240,240,240,240,240,240,240,240,143,143,143,143,14,14,14,59,59,59,59,59
3,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,300,99,78,99,99,27,34,368,273,271,359,388,31,31,221,266,164,349,368,164,368,368,164,368,368,368,133,133,133,99,99,99,99,99,99,99,99,99,99
4,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,430,59,99,99,99,690,690,798,798,380,698,698,212,212,271,271,221,164,221,221,221,221,221,164,221,221,221,221,221,221,99,99,99,99,99,99,99,99,99
5,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,162,99,99,192,99,332,139,182,247,139,207,207,161,413,413,413,99,99,246,99,99,99,99,250,250,99,99,99,99,99,99,99,99,99,99,99,99,99,99
6,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,59,59,216,192,59,59,59,59,59,59,59,59,59,59,59,162,144,162,162,415,415,197,65,47,385,385,392,392,392,392,392,392,392,412,412,412,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
7,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,216,192,59,59,59,59,59,59,59,59,59,59,162,162,99,380,107,251,251,251,235,235,272,272,150,150,145,145,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
8,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,216,192,59,345,59,59,59,59,59,59,59,59,99,59,7,162,162,70,752,202,391,391,77,77,175,175,373,261,261,261,373,283,283,283,283,62,62,85,85,85,85,85,85,85,85,85,85,85,85,85,85
9,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,162,162,162,144,144,144,225,413,347,347,347,193,193,193,193,20,20,20,20,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
10,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,216,192,59,59,59,59,59,59,59,59,59,99,59,162,99,19,468,288,534,373,163,232,237,237,237,43,302,237,144,290,290,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
11,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,162,99,162,122,187,144,347,393,347,347,370,99,150,163,237,237,163,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
12,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,324,54,296,54,54,208,620,208,341,341,151,151,151,151,296,296,296,296,296,296,54,54,54,54,54,54,54,54,54,54,296,296,435,435,435,435,435,75,75
13,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,59,59,258,54,54,641,282,804,804,323,151,151,151,57,57,57,151,67,67,67,67,67,67,137,67,67,67,67,67,67,67,67,67,67,137,137,137,137,137
14,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,59,54,54,364,358,389,71,188,231,231,231,199,199,199,199,271,435,435,435,435,435,435,435,54,54,54,54,54,54,22,22,22,22,22,22,22,22,22,22
15,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,144,99,99,285,300,300,353,120,421,215,107,405,405,405,405,319,319,109,109,99,99,99,99,99,99,99,77,77,77,77,77,77,235,235,235,235,234,314,314,314
16,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,59,162,162,300,861,861,129,129,418,300,182,182,300,300,205,205,205,313,205,205,205,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
17,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,59,59,99,300,398,398,103,85,333,333,356,356,139,139,139,139,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
18,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,144,162,300,272,318,272,172,848,533,786,232,232,110,253,253,247,253,253,395,395,338,395,395,395,388,388,388,388,388,388,388,388,388,338,388,388,388,388,388
19,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,162,162,272,188,256,442,196,135,162,150,150,272,361,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,350,272,272,272,272,272,272,272,272,272
20,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,324,59,272,272,484,143,368,371,208,50,50,50,32,32,22,22,95,95,95,95,95,95,95,95,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
21,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,31,99,272,324,324,357,421,421,113,272,402,322,424,424,424,424,71,223,223,324,324,324,324,324,324,324,160,390,390,390,160,390,324,324,324,324,324,324,324
22,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,59,54,203,324,127,214,113,125,103,369,324,208,208,208,349,435,435,435,435,435,435,435,324,67,67,80,80,67,282,282,282,282,282,282,282,282,282,282,282
23,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,59,192,59,345,59,59,59,59,59,59,59,59,162,99,59,324,324,127,848,384,72,303,384,384,384,73,73,73,72,72,117,117,117,117,72,72,72,72,72,165,165,165,165,165,165,165,165,165,165,165,165
24,59,59,59,59,59,59,59,59,59,300,59,59,59,59,59,59,59,59,59,59,59,162,59,216,192,59,59,59,59,59,59,59,59,59,59,99,162,99,430,430,412,188,150,188,188,215,215,215,48,113,113,48,48,102,102,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
