ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21
0,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,53,347,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
4,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
5,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
6,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
7,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
8,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
9,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
10,53,53,347,130,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
11,347,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
13,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
14,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
15,203,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
16,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
17,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
18,347,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
19,53,347,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
20,347,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
21,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
22,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
23,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
24,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
25,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
26,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
27,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
28,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
29,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
30,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
31,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
32,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
33,347,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
34,53,53,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
35,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
36,53,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
37,53,347,203,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
38,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
39,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
40,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
41,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
42,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
