Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	0	0.0	10.961	35.534	10.754	0.0	8.997	30.673	9.021
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	1	0.0	8.421	40.575	10.758	0.0	7.242	34.224	8.579
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	2	0.0	7.006	19.549	3.289	0.0	6.26	18.646	3.085
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	3	0.0	7.19	7.123	1.355	0.0	5.697	7.121	1.256
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	4	0.0	7.831	6.875	1.727	0.0	6.849	6.94	1.612
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	5	0.0	8.342	6.494	1.785	0.0	6.627	6.805	1.709
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	6	0.0	8.041	5.001	1.458	0.0	6.692	5.361	1.371
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	7	0.0	6.299	2.807	0.806	0.0	4.57	2.913	0.772
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	8	0.0	4.898	2.293	0.619	0.0	3.418	2.293	0.585
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	9	0.0	1.912	1.438	0.349	0.0	1.742	1.361	0.315
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	10	0.0	0.471	0.861	0.163	0.0	0.563	0.854	0.147
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	11	0.0	4.125	0.83	0.099	0.0	2.803	0.813	0.091
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	12	0.0	3.156	0.898	0.086	0.0	1.689	0.895	0.085
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	13	0.0	0.524	0.551	0.081	0.0	0.655	0.552	0.08
twins_svt_large	configs/twins_svt_large/config_twins_svt_large_CosFace_adamw.yaml	222	14	0.0	0.576	0.378	0.075	0.0	0.485	0.367	0.07
