ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7
0,408,53,111,100,53,53,53,53
1,517,80,720,283,53,53,53,53
2,300,264,373,123,53,53,53,53
3,270,347,237,382,53,53,53,53
4,704,347,20,206,53,53,53,53
5,55,347,111,123,53,53,53,53
6,440,15,480,269,53,53,53,53
7,479,347,537,206,53,53,53,53
8,471,321,361,108,53,53,53,53
9,78,347,653,170,53,53,53,53
10,409,347,280,206,53,53,53,53
11,345,27,86,582,53,53,53,53
12,2,222,229,234,53,53,53,53
13,440,323,637,94,53,53,53,53
14,210,53,166,527,53,53,53,53
15,272,347,780,206,53,53,53,53
16,372,347,637,167,53,53,53,53
17,197,331,705,94,53,53,53,53
18,214,352,303,527,53,53,53,53
19,192,347,368,206,53,53,53,53
20,669,347,712,123,53,53,53,53
21,39,323,558,249,53,53,53,53
22,362,347,354,206,53,53,53,53
23,180,347,458,170,53,53,53,53
24,707,53,310,474,53,53,53,53
25,20,12,771,171,53,53,53,53
26,659,357,371,123,53,53,53,53
27,400,347,748,692,53,53,53,53
28,553,15,403,317,53,53,53,53
29,22,347,415,249,53,53,53,53
30,732,399,182,206,53,53,53,53
31,806,231,375,94,53,53,53,53
32,323,38,20,248,53,53,53,53
33,177,259,229,123,53,53,53,53
34,31,231,111,175,53,53,53,53
35,435,53,519,283,53,53,53,53
36,240,12,166,94,53,53,53,53
37,3,347,537,106,53,53,53,53
38,151,270,7,206,53,53,53,53
39,534,398,635,154,53,53,53,53
40,240,347,274,206,53,53,53,53
41,345,270,196,249,53,53,53,53
42,643,347,280,170,53,53,53,53
43,9,368,537,123,53,53,53,53
44,79,131,196,527,53,53,53,53
45,723,368,222,388,53,53,53,53
46,273,347,7,283,53,53,53,53
47,585,347,678,323,53,53,53,53
48,584,25,809,170,53,53,53,53
49,251,176,480,206,53,53,53,53
50,351,250,354,78,53,53,53,53
51,351,53,190,646,53,53,53,53
52,338,12,754,234,53,53,53,53
53,190,347,602,249,53,53,53,53
54,376,347,567,248,53,53,53,53
55,201,347,777,179,53,53,53,53
56,464,12,567,248,53,53,53,53
57,699,215,212,222,53,53,53,53
58,648,231,635,59,53,53,53,53
59,674,231,567,646,53,53,53,53
60,256,356,134,93,53,53,53,53
61,583,12,663,170,53,53,53,53
62,366,347,323,317,53,53,53,53
63,174,263,480,59,53,53,53,53
64,654,347,608,249,53,53,53,53
65,540,12,354,108,53,53,53,53
66,400,53,720,369,53,53,53,53
67,424,166,161,170,53,53,53,53
68,788,347,504,28,53,53,53,53
69,698,176,303,367,53,53,53,53
70,711,347,781,111,53,53,53,53
71,492,53,354,94,53,53,53,53
72,600,347,20,93,53,53,53,53
73,669,347,480,170,53,53,53,53
74,792,12,555,381,53,53,53,53
75,78,53,118,234,53,53,53,53
76,365,239,537,323,53,53,53,53
77,303,356,509,234,53,53,53,53
78,253,208,501,238,53,53,53,53
79,421,53,280,170,53,53,53,53
80,673,347,806,100,53,53,53,53
81,96,368,212,170,53,53,53,53
82,321,204,720,123,53,53,53,53
83,748,12,322,283,53,53,53,53
84,390,261,809,206,53,53,53,53
85,334,393,677,393,53,53,53,53
86,482,53,567,100,53,53,53,53
87,95,53,510,249,53,53,53,53
88,339,368,182,100,53,53,53,53
89,553,347,280,206,53,53,53,53
90,137,347,720,283,53,53,53,53
91,347,347,667,206,53,53,53,53
92,353,28,803,28,53,53,53,53
93,549,27,712,106,53,53,53,53
94,247,12,14,210,53,53,53,53
95,115,12,134,317,53,53,53,53
96,160,231,781,582,53,53,53,53
97,537,347,736,206,53,53,53,53
98,167,261,514,382,53,53,53,53
99,797,347,567,123,53,53,53,53
100,601,80,118,248,53,53,53,53
101,195,347,20,123,53,53,53,53
102,508,270,781,249,53,53,53,53
103,533,261,509,106,53,53,53,53
104,809,347,208,206,53,53,53,53
105,519,347,179,106,53,53,53,53
106,727,347,322,249,53,53,53,53
107,252,176,590,100,53,53,53,53
108,601,27,511,248,53,53,53,53
109,449,53,332,367,53,53,53,53
110,274,28,182,646,53,53,53,53
111,720,285,567,249,53,53,53,53
112,388,368,537,620,53,53,53,53
113,30,278,196,249,53,53,53,53
114,137,347,111,248,53,53,53,53
115,158,347,134,94,53,53,53,53
116,86,384,480,620,53,53,53,53
117,427,53,280,249,53,53,53,53
118,407,12,303,206,53,53,53,53
119,638,368,557,234,53,53,53,53
120,630,368,635,234,53,53,53,53
121,621,12,804,206,53,53,53,53
122,419,53,216,323,53,53,53,53
123,722,15,721,123,53,53,53,53
124,697,347,742,234,53,53,53,53
125,237,40,140,138,53,53,53,53
126,480,176,134,248,53,53,53,53
127,474,11,567,421,53,53,53,53
128,326,28,11,106,53,53,53,53
129,134,323,781,78,53,53,53,53
130,679,347,354,80,53,53,53,53
131,141,231,125,646,53,53,53,53
132,196,321,754,123,53,53,53,53
133,271,347,194,249,53,53,53,53
134,499,347,155,811,53,53,53,53
135,403,158,20,123,53,53,53,53
136,232,53,374,582,53,53,53,53
137,335,347,125,249,53,53,53,53
138,383,299,567,248,53,53,53,53
139,353,261,806,275,53,53,53,53
140,0,347,237,123,53,53,53,53
141,34,176,547,367,53,53,53,53
142,424,347,766,367,53,53,53,53
143,53,323,637,269,53,53,53,53
144,351,261,637,317,53,53,53,53
145,295,347,567,93,53,53,53,53
146,251,53,220,582,53,53,53,53
147,210,130,241,100,53,53,53,53
148,792,12,282,206,53,53,53,53
149,654,347,237,167,53,53,53,53
150,251,12,0,389,53,53,53,53
151,99,368,280,249,53,53,53,53
152,615,347,86,249,53,53,53,53
153,319,38,303,170,53,53,53,53
154,238,347,384,249,53,53,53,53
155,374,203,134,347,53,53,53,53
156,299,231,781,106,53,53,53,53
157,728,38,771,180,53,53,53,53
158,536,7,523,206,53,53,53,53
159,233,347,491,283,53,53,53,53
160,166,8,781,279,53,53,53,53
161,435,347,280,249,53,53,53,53
162,515,86,660,367,53,53,53,53
163,234,331,779,249,53,53,53,53
164,430,231,354,171,53,53,53,53
165,264,321,519,206,53,53,53,53
166,386,347,125,100,53,53,53,53
167,420,368,95,206,53,53,53,53
168,196,12,547,367,53,53,53,53
169,692,53,182,249,53,53,53,53
170,359,286,720,93,53,53,53,53
171,36,347,20,388,53,53,53,53
172,276,273,87,94,53,53,53,53
173,388,149,196,123,53,53,53,53
174,214,261,125,171,53,53,53,53
175,688,347,567,709,53,53,53,53
176,732,359,490,206,53,53,53,53
177,364,38,387,234,53,53,53,53
178,309,321,781,582,53,53,53,53
179,397,131,567,248,53,53,53,53
180,279,27,567,709,53,53,53,53
181,435,323,354,53,53,53,53,53
182,132,12,555,170,53,53,53,53
183,269,99,519,234,53,53,53,53
184,365,231,389,234,53,53,53,53
185,269,321,602,646,53,53,53,53
186,555,323,134,206,53,53,53,53
187,380,347,781,206,53,53,53,53
188,106,321,537,269,53,53,53,53
189,571,12,374,283,53,53,53,53
190,496,66,501,246,53,53,53,53
191,284,240,736,94,53,53,53,53
192,287,347,250,382,53,53,53,53
193,216,53,771,138,53,53,53,53
194,651,12,361,620,53,53,53,53
195,383,328,111,206,53,53,53,53
196,631,347,637,317,53,53,53,53
197,696,347,20,784,53,53,53,53
198,789,293,310,369,53,53,53,53
199,310,86,660,206,53,53,53,53
200,803,347,738,222,53,53,53,53
201,17,347,111,123,53,53,53,53
202,519,53,458,249,53,53,53,53
203,34,15,190,92,53,53,53,53
204,557,12,310,170,53,53,53,53
205,199,12,354,119,53,53,53,53
206,4,231,602,249,53,53,53,53
207,403,101,608,66,53,53,53,53
208,382,347,623,123,53,53,53,53
209,107,347,182,248,53,53,53,53
210,370,231,431,582,53,53,53,53
211,132,393,660,206,53,53,53,53
212,185,222,781,692,53,53,53,53
213,103,368,697,234,53,53,53,53
214,623,347,567,206,53,53,53,53
215,35,347,461,119,53,53,53,53
216,71,38,720,28,53,53,53,53
217,98,347,313,123,53,53,53,53
218,169,368,282,170,53,53,53,53
219,668,34,565,249,53,53,53,53
220,409,130,461,92,53,53,53,53
221,693,261,590,206,53,53,53,53
222,334,261,575,620,53,53,53,53
223,188,321,592,249,53,53,53,53
224,132,347,280,228,53,53,53,53
225,139,347,111,94,53,53,53,53
226,53,53,780,290,53,53,53,53
227,511,12,736,170,53,53,53,53
228,472,12,567,92,53,53,53,53
229,514,368,567,249,53,53,53,53
230,650,347,86,359,53,53,53,53
231,675,222,808,94,53,53,53,53
232,747,368,354,582,53,53,53,53
233,602,170,295,261,53,53,53,53
234,696,347,134,620,53,53,53,53
235,652,53,567,206,53,53,53,53
236,115,53,20,170,53,53,53,53
237,533,53,781,114,53,53,53,53
238,82,15,209,269,53,53,53,53
239,406,166,537,206,53,53,53,53
240,101,97,720,206,53,53,53,53
241,71,323,80,234,53,53,53,53
242,638,136,149,222,53,53,53,53
243,82,166,0,94,53,53,53,53
244,211,174,567,582,53,53,53,53
245,807,321,635,249,53,53,53,53
246,58,12,95,206,53,53,53,53
247,83,332,637,123,53,53,53,53
248,363,347,330,249,53,53,53,53
249,388,347,754,317,53,53,53,53
250,381,381,190,709,53,53,53,53
251,78,352,699,353,53,53,53,53
252,240,231,537,210,53,53,53,53
253,284,15,87,620,53,53,53,53
254,258,261,182,100,53,53,53,53
255,275,347,567,582,53,53,53,53
256,42,166,237,206,53,53,53,53
257,329,171,20,167,53,53,53,53
258,378,53,354,180,53,53,53,53
259,147,347,748,167,53,53,53,53
260,26,53,77,249,53,53,53,53
261,6,347,354,248,53,53,53,53
262,6,203,675,249,53,53,53,53
263,382,347,519,123,53,53,53,53
264,66,53,781,709,53,53,53,53
265,287,176,166,123,53,53,53,53
266,793,323,280,154,53,53,53,53
267,559,36,555,206,53,53,53,53
268,192,53,777,367,53,53,53,53
269,290,347,231,94,53,53,53,53
270,728,12,278,53,53,53,53,53
271,496,347,377,114,53,53,53,53
272,319,80,318,367,53,53,53,53
273,249,28,248,248,53,53,53,53
274,251,38,780,269,53,53,53,53
275,704,347,781,283,53,53,53,53
276,295,12,637,206,53,53,53,53
277,296,274,567,811,53,53,53,53
278,383,347,214,93,53,53,53,53
279,630,53,781,269,53,53,53,53
280,210,347,635,154,53,53,53,53
281,167,12,537,283,53,53,53,53
282,439,66,639,368,53,53,53,53
283,420,347,567,171,53,53,53,53
284,395,347,246,784,53,53,53,53
285,303,347,781,108,53,53,53,53
286,4,347,424,345,53,53,53,53
287,726,53,208,170,53,53,53,53
288,248,231,416,171,53,53,53,53
289,380,12,280,784,53,53,53,53
290,416,347,86,234,53,53,53,53
291,276,38,608,119,53,53,53,53
292,675,347,781,283,53,53,53,53
293,599,347,560,196,53,53,53,53
294,313,231,720,317,53,53,53,53
295,303,261,190,388,53,53,53,53
296,66,12,683,92,53,53,53,53
297,381,347,134,93,53,53,53,53
298,43,347,111,784,53,53,53,53
299,26,347,537,646,53,53,53,53
300,700,12,630,16,53,53,53,53
301,276,12,736,75,53,53,53,53
302,517,166,788,138,53,53,53,53
303,580,53,278,123,53,53,53,53
304,207,12,354,93,53,53,53,53
305,371,53,180,206,53,53,53,53
306,804,12,199,249,53,53,53,53
307,779,80,140,582,53,53,53,53
308,82,347,748,249,53,53,53,53
309,39,31,504,234,53,53,53,53
310,409,112,192,234,53,53,53,53
311,414,347,58,206,53,53,53,53
312,321,321,537,123,53,53,53,53
313,191,231,567,147,53,53,53,53
314,348,166,280,123,53,53,53,53
315,242,347,361,527,53,53,53,53
316,797,203,679,100,53,53,53,53
317,314,347,509,367,53,53,53,53
318,113,368,125,94,53,53,53,53
319,397,347,461,709,53,53,53,53
320,82,347,354,620,53,53,53,53
321,179,368,229,94,53,53,53,53
322,208,53,567,170,53,53,53,53
323,680,27,11,206,53,53,53,53
324,754,347,567,68,53,53,53,53
325,602,231,567,249,53,53,53,53
326,204,270,754,100,53,53,53,53
