Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	0	0.0	5.932	1.844	0.596	0.0	5.513	1.806	0.563
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	1	0.0	6.43	5.025	1.38	0.0	5.88	5.147	1.292
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	2	0.0	15.977	7.433	3.295	0.0	12.572	7.798	3.168
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	3	0.0	28.601	7.982	4.518	0.0	20.377	8.904	4.452
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	4	0.0	38.895	8.358	5.439	0.0	28.575	9.419	5.392
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	5	0.0	47.8	8.607	6.193	0.0	35.516	9.585	5.962
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	6	0.0	52.357	8.585	6.611	0.0	39.576	9.451	6.268
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	7	0.0	56.404	8.653	6.995	0.0	42.575	9.606	6.636
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	8	0.0	58.669	8.307	6.899	0.0	43.779	9.429	6.669
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	9	0.0	59.979	8.467	7.185	0.0	45.98	9.351	6.769
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	10	0.0	61.642	8.311	7.267	0.0	48.036	9.627	7.109
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	11	0.0	63.738	8.328	7.493	0.0	48.887	9.302	7.09
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	12	0.0	65.558	8.306	7.597	0.0	50.694	9.404	7.323
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	13	0.0	66.265	8.096	7.508	0.0	51.951	9.093	7.203
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	14	0.0	67.208	8.039	7.594	0.0	53.497	9.171	7.355
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	15	0.0	68.295	8.068	7.724	0.0	54.793	9.013	7.37
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	16	0.0	68.989	8.188	7.866	0.0	56.299	9.016	7.508
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	17	0.0	70.181	8.271	8.054	0.0	56.221	9.134	7.695
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	18	0.0	70.587	8.127	7.975	0.0	56.862	8.933	7.583
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_AdamW.yaml	222	19	0.0	71.294	7.974	7.9	0.0	57.399	8.963	7.661
