ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73
0,105,59,298,144,59,59,59,59,59,84,166,59,59,59,36,275,59,430,59,59,430,59,59,706,55,59,59,59,59,344,303,659,67,87,177,151,435,152,366,188,384,384,384,390,384,384,384,384,384,384,384,384,59,384,59,59,59,59,320,59,59,59,59,366,59,59,59,59,59,59,59,59,59,59
1,9,59,162,59,162,272,59,59,59,233,59,59,59,59,59,59,59,430,59,59,59,59,59,59,135,59,59,99,59,99,59,59,121,363,87,366,421,141,435,54,54,141,54,143,384,59,143,384,59,59,22,384,363,22,384,22,59,59,22,363,59,59,59,59,59,59,59,59,59,59,59,59,59,59
2,59,59,232,59,59,144,206,59,297,432,49,59,59,59,59,95,94,11,59,59,162,59,59,99,206,59,59,7,59,59,59,59,320,266,22,331,240,155,143,331,331,357,357,357,199,59,240,240,363,24,59,59,199,59,59,14,240,14,59,14,14,59,59,331,59,211,59,59,59,59,59,59,59,59
3,99,59,162,59,59,162,54,59,59,324,49,59,59,59,59,296,59,324,59,59,59,59,59,59,260,59,59,235,59,162,99,174,126,87,35,190,335,398,176,39,39,191,196,196,106,106,284,283,99,99,99,99,99,99,99,99,99,99,99,99,133,99,99,99,99,99,99,99,99,99,99,99,99,99
4,158,211,162,144,59,99,54,59,59,371,49,59,59,59,59,251,59,166,59,59,99,59,59,59,260,59,59,59,59,59,227,12,287,234,380,253,381,145,55,214,415,415,196,349,344,344,301,99,99,323,99,99,99,197,99,197,99,99,99,221,221,99,99,293,99,197,197,99,99,99,99,99,99,99
5,293,59,162,59,59,99,272,59,59,268,7,59,59,59,59,99,59,260,59,59,59,59,59,59,55,59,59,389,54,162,99,407,863,20,260,250,182,413,230,99,39,413,413,99,99,99,99,99,99,213,99,99,99,99,418,99,99,250,99,99,99,99,99,362,418,418,418,99,418,99,99,418,418,418
6,92,59,162,59,162,144,59,59,59,281,72,59,59,244,59,59,59,430,59,59,59,59,99,59,238,45,59,59,59,59,162,703,124,570,362,575,551,167,184,391,391,47,396,396,162,162,162,119,426,396,119,119,396,61,119,178,119,119,119,787,426,119,119,317,119,353,119,119,119,119,119,119,119,119
7,162,59,162,59,59,99,272,59,59,371,49,59,59,59,59,162,59,430,59,59,59,59,59,162,139,59,59,59,300,59,214,162,422,373,223,122,236,150,271,198,107,294,162,299,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,229,162,162,162,162,162,162,162,162,162,162,162,162,162
8,162,59,59,144,59,144,284,59,59,377,49,59,59,59,59,54,59,162,59,59,99,59,99,59,265,222,59,99,99,99,162,162,687,231,746,300,504,190,265,138,337,373,292,288,288,288,43,43,221,373,167,43,373,292,643,643,643,402,283,162,353,116,162,391,353,85,409,85,85,85,85,85,85,85
9,66,59,99,144,59,59,54,515,59,377,49,59,59,59,59,162,59,162,59,59,59,59,59,59,212,59,59,59,59,99,324,89,117,810,544,182,204,413,237,332,290,279,37,144,474,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
10,144,59,306,59,59,59,162,144,59,154,144,59,59,59,59,59,59,162,59,144,99,99,350,59,93,59,59,59,59,99,144,144,40,130,279,269,85,742,210,145,145,427,156,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
11,144,59,272,59,59,144,59,59,59,192,59,59,59,59,59,59,59,430,59,59,59,59,59,59,55,59,59,59,59,59,144,144,380,179,86,260,8,260,20,251,413,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
12,54,59,214,59,59,99,225,59,874,285,7,59,59,59,59,54,257,777,287,59,59,59,59,59,103,59,59,99,54,826,164,593,240,151,258,217,67,296,2,60,128,296,384,384,296,296,296,54,296,54,75,355,296,2,75,125,54,75,296,75,113,296,296,350,296,156,75,128,296,296,296,296,75,151
13,54,59,78,144,59,59,59,59,59,436,7,59,59,59,59,162,59,162,59,59,162,59,59,59,260,59,59,59,59,59,54,690,33,31,368,121,194,75,143,103,103,137,137,137,137,137,67,137,151,67,67,137,67,158,67,67,67,67,67,137,67,67,67,349,137,67,67,67,67,67,67,67,137,137
14,54,59,201,59,59,144,78,59,59,142,49,59,59,59,59,424,591,297,54,59,59,99,59,54,54,59,59,99,59,99,225,41,252,192,314,258,80,26,128,231,106,183,48,271,271,271,271,435,194,68,31,125,389,282,435,422,194,202,54,202,202,202,202,202,202,68,68,202,202,202,202,202,202,818
15,43,209,99,59,59,99,144,59,59,150,7,59,59,59,59,59,59,430,59,59,59,59,59,59,397,59,59,59,99,99,300,247,394,692,646,99,349,138,251,436,319,40,114,114,99,99,63,162,19,234,19,109,19,314,63,314,19,235,255,237,19,19,314,202,218,314,235,314,314,314,314,314,314,314
16,34,300,99,59,59,162,272,59,255,183,7,59,59,59,59,300,59,166,59,59,59,59,99,59,347,59,300,59,59,162,309,300,24,181,535,133,250,182,354,321,182,182,300,300,300,300,293,300,197,300,300,293,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
17,219,59,162,59,59,99,54,59,300,21,49,59,59,59,90,59,59,430,59,59,59,59,59,59,351,59,792,59,59,144,275,300,733,819,253,373,300,91,99,375,375,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
18,92,59,162,59,59,324,59,59,59,252,49,59,59,59,59,59,59,260,59,59,59,272,272,59,272,59,59,59,59,162,272,831,458,412,665,494,408,408,338,395,382,338,253,253,253,126,338,253,126,253,253,253,388,253,338,126,338,388,388,388,388,338,388,337,388,338,388,338,338,338,338,388,338,338
19,524,59,306,59,59,144,59,272,59,168,49,59,59,59,59,59,59,166,59,59,59,59,59,54,237,59,59,162,59,162,272,272,822,225,86,5,367,266,107,107,211,139,211,109,187,109,107,109,272,333,109,109,272,109,136,109,136,109,350,350,109,127,272,578,587,501,272,136,272,272,272,272,272,272
20,272,59,162,59,59,59,54,59,59,204,272,59,59,59,59,162,59,430,59,59,59,59,59,59,260,523,59,99,59,59,272,228,93,275,91,138,211,272,136,136,136,379,383,95,17,272,95,95,272,272,95,272,272,272,272,272,272,272,272,734,272,272,272,272,272,272,272,272,272,272,272,272,272,272
21,54,59,300,59,59,59,162,59,59,371,166,59,59,212,59,162,59,238,59,59,162,59,59,59,229,59,59,59,59,162,324,192,580,106,174,322,252,77,390,428,381,258,363,355,390,390,223,324,390,223,152,160,358,223,324,324,324,324,324,295,324,324,324,271,324,141,324,324,324,324,324,324,324,324
22,324,59,166,59,59,99,166,59,59,144,405,59,59,59,59,267,59,162,267,59,59,59,59,59,251,59,59,272,54,162,144,714,71,66,659,374,117,392,326,210,435,358,358,73,358,73,73,324,17,73,80,282,349,358,67,67,80,67,696,302,324,17,282,324,5,262,74,324,324,696,324,282,324,324
23,324,59,232,59,99,324,49,59,18,21,78,59,59,59,59,379,59,99,59,59,162,59,59,162,93,59,300,162,324,324,78,776,152,360,223,325,426,14,75,231,257,153,72,72,274,274,274,165,72,72,72,117,67,72,165,72,72,165,72,257,72,165,165,258,165,72,430,165,36,36,430,430,430,36
24,430,59,36,310,59,144,430,59,59,430,49,59,59,59,59,66,59,59,59,734,59,59,59,59,178,59,59,59,99,162,133,430,306,850,777,54,135,54,54,48,36,283,178,335,316,335,113,128,128,109,45,244,102,75,128,322,128,75,128,128,430,75,199,102,128,128,128,128,430,430,430,128,128,75
25,107,59,59,59,59,59,59,59,59,327,7,59,54,59,59,300,59,238,59,59,99,430,59,59,430,59,59,59,99,59,430,430,717,586,847,415,36,105,214,214,368,114,315,319,315,114,40,430,319,430,98,114,98,98,200,430,290,430,430,430,430,430,430,430,430,430,430,256,256,430,430,430,430,430
26,430,300,430,59,59,144,430,59,59,35,7,59,59,59,59,59,59,59,659,59,59,59,59,59,139,59,59,300,59,45,624,365,306,706,268,246,349,405,230,323,39,323,130,4,36,430,36,430,36,430,430,430,430,430,430,430,335,430,430,36,430,430,430,430,430,430,430,430,430,430,430,430,430,430
27,144,59,162,59,59,99,624,59,306,192,7,59,59,59,59,761,568,362,59,59,59,59,59,59,306,59,319,59,59,162,97,306,275,532,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306
28,306,59,430,59,59,99,237,59,59,371,49,59,59,493,59,144,59,166,230,59,99,59,59,59,590,59,59,59,162,861,175,287,326,370,293,853,587,826,388,129,194,337,194,337,374,194,374,374,306,135,202,135,80,306,111,804,107,358,306,306,306,306,306,42,306,523,306,306,306,306,306,306,306,306
29,306,59,59,59,59,59,59,59,59,359,49,59,59,59,59,162,59,99,59,59,59,484,59,59,306,59,54,306,59,275,306,306,64,169,731,430,295,138,247,343,247,138,138,337,2,175,271,175,175,138,2,375,64,64,124,380,380,85,380,261,337,134,414,129,134,414,437,732,134,134,229,414,414,134
30,181,59,59,7,59,144,59,59,59,233,49,59,59,59,59,162,59,238,59,59,59,99,59,59,306,59,59,59,306,162,29,791,209,732,167,868,213,250,413,62,238,139,139,139,234,98,98,98,98,98,98,98,98,166,98,98,98,98,98,98,98,98,98,332,98,166,98,166,166,166,166,166,166,166
31,234,59,162,59,59,59,54,59,59,295,59,59,59,59,59,285,59,59,59,59,99,59,59,59,411,59,59,59,59,59,98,300,773,694,783,418,362,261,84,98,140,166,321,321,84,385,45,84,84,362,84,372,84,84,84,45,45,84,45,84,84,84,84,84,84,84,166,84,84,84,84,84,45,84
32,144,59,430,59,99,59,144,59,59,232,232,59,59,59,59,162,59,430,59,59,162,59,59,59,303,59,59,807,59,162,338,166,188,362,354,787,15,15,393,62,166,378,378,166,166,161,166,161,166,161,166,166,166,161,166,166,166,166,166,166,161,166,166,210,166,166,166,166,166,166,166,166,166,166
33,144,59,308,59,306,144,272,447,59,316,49,59,59,59,59,59,59,166,59,59,72,59,59,59,215,59,59,59,59,72,386,72,824,316,620,391,814,368,259,365,181,181,181,181,319,181,286,286,215,430,286,215,430,215,430,430,430,314,114,181,430,72,314,215,316,72,354,316,316,316,72,215,72,72
34,423,59,162,59,59,144,162,59,59,128,59,59,59,59,59,162,59,430,59,59,162,99,46,162,347,59,59,72,59,162,72,484,199,344,341,435,57,57,366,366,188,295,57,49,72,72,49,49,316,72,72,72,72,72,72,57,72,72,72,356,72,72,72,316,72,72,72,72,72,72,72,72,72,72
35,148,59,404,144,59,59,54,9,59,72,49,59,59,59,59,54,59,162,59,546,677,59,59,54,750,59,59,162,278,180,391,275,277,41,127,350,725,283,349,349,389,151,324,117,324,73,72,57,117,117,57,57,73,274,173,72,72,72,94,72,72,72,72,274,72,57,72,72,72,72,72,72,72,72
36,359,55,162,59,59,59,59,59,59,213,7,59,59,59,59,162,59,59,59,59,59,59,59,59,238,59,59,59,59,162,238,238,727,848,647,668,315,376,238,376,193,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238
37,97,253,99,144,59,162,99,59,59,192,59,59,99,59,59,162,59,59,59,59,59,99,59,59,238,59,59,59,59,144,238,93,580,447,744,523,139,261,261,237,237,237,260,237,238,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
38,92,59,289,59,59,99,54,59,59,249,49,59,59,59,59,357,59,430,59,402,59,59,59,59,70,59,59,59,350,162,390,755,617,692,852,308,405,178,178,237,394,37,37,144,414,172,245,448,394,172,394,394,238,302,238,238,238,70,238,663,238,238,238,6,238,111,238,111,238,238,238,238,238,238
39,244,199,59,59,59,59,162,59,59,377,78,59,162,59,59,162,59,260,59,59,59,59,59,59,447,59,78,99,59,162,91,78,603,199,80,24,211,66,374,293,66,424,66,66,273,265,256,55,111,111,134,111,256,210,374,336,111,256,80,286,256,256,256,377,400,134,400,374,256,374,97,374,374,374
40,148,59,99,59,59,99,59,59,59,331,78,59,59,206,59,324,363,677,59,247,99,59,59,59,93,59,59,59,59,99,383,585,639,838,405,757,531,546,546,124,124,662,138,229,2,395,55,395,156,107,395,42,55,214,42,30,271,78,271,42,42,78,129,409,78,42,91,78,129,78,78,78,78,78
41,306,59,308,59,59,59,272,59,78,389,324,59,99,59,59,162,59,162,59,59,59,99,59,59,189,59,59,162,59,99,78,78,199,382,425,91,207,97,192,95,97,278,95,95,95,347,78,150,265,422,265,265,32,78,32,95,172,78,95,32,78,78,78,97,243,179,78,243,32,32,32,32,32,32
42,404,59,430,144,59,59,272,162,59,49,59,59,59,59,59,162,59,238,59,59,49,59,59,59,306,59,59,59,80,384,272,55,173,40,344,181,36,155,63,295,35,197,57,72,316,72,72,72,340,185,185,316,48,185,185,185,340,185,185,286,286,185,113,48,113,325,185,286,113,113,49,49,286,49
43,49,838,308,59,59,59,99,59,49,432,59,59,162,59,59,162,59,430,59,59,99,59,99,59,411,59,59,59,59,162,49,49,107,49,49,296,49,49,49,49,199,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
44,202,59,99,59,59,99,59,59,59,271,49,59,59,59,59,162,59,59,59,59,59,344,59,217,139,825,59,162,99,162,49,162,544,421,95,95,231,162,309,94,168,49,49,49,49,94,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
45,95,370,162,144,59,162,7,375,59,260,7,59,162,59,59,162,7,162,59,59,59,59,59,59,55,59,59,59,59,99,49,231,728,338,215,280,172,778,256,42,85,261,175,337,290,68,68,337,150,31,303,422,31,271,70,202,135,7,135,87,7,7,135,7,7,261,7,202,7,7,7,7,7,7
46,199,511,144,59,59,99,59,59,59,268,166,59,59,59,59,144,376,59,59,59,59,573,395,324,135,59,54,99,59,162,7,332,817,739,644,685,389,73,113,188,135,94,7,7,7,7,7,240,240,7,7,7,349,7,7,7,7,7,7,7,7,303,7,303,303,7,7,303,7,303,7,7,7,7
47,55,59,166,166,59,144,59,59,59,223,59,59,59,59,59,162,59,166,59,59,59,7,59,59,6,59,59,59,59,162,376,7,181,129,430,550,217,368,283,368,164,135,123,7,11,150,150,273,273,237,7,37,132,7,24,7,7,132,7,132,7,132,64,7,64,132,64,7,7,7,7,7,7,7
48,394,59,323,144,59,99,144,59,59,295,7,59,59,59,59,162,59,162,59,59,99,59,59,59,818,59,59,300,144,162,237,735,604,313,570,193,238,251,8,289,140,321,51,138,138,138,406,234,234,406,42,42,234,138,313,381,405,405,139,405,405,405,313,139,405,140,405,405,313,405,313,313,313,313
49,313,59,162,59,162,99,261,59,59,671,7,59,59,156,59,162,59,430,59,59,59,74,240,59,306,59,78,59,59,150,313,204,797,398,25,323,129,119,105,212,53,433,328,391,47,68,250,250,405,115,354,212,584,405,7,386,115,21,376,204,405,376,405,21,21,21,416,416,438,21,21,21,21,21
50,803,59,210,59,59,59,272,59,59,183,49,59,59,59,59,162,59,430,59,59,59,59,59,59,6,59,59,59,59,4,313,313,298,246,400,748,393,413,261,214,237,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
51,234,59,300,59,59,162,59,308,59,53,59,59,59,59,59,162,59,430,59,59,59,99,59,59,308,59,59,59,99,845,308,308,126,740,488,238,413,376,203,203,175,202,202,634,634,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172
52,284,59,59,59,59,144,59,308,59,308,99,59,99,59,59,162,59,430,59,59,463,59,59,59,219,59,59,162,59,162,308,308,389,295,173,117,73,274,192,324,230,23,204,814,293,76,167,308,99,310,310,310,308,99,308,377,433,273,210,433,300,433,433,273,302,273,65,308,308,308,308,308,308,308
53,308,59,99,59,59,59,272,59,59,11,49,59,59,59,59,162,59,59,59,59,59,59,59,59,701,59,59,59,144,162,209,308,62,205,321,327,393,393,251,290,414,261,222,243,369,698,474,427,156,757,156,42,42,271,172,156,271,271,172,260,664,289,260,156,202,203,202,105,105,42,202,378,202,378
54,787,59,306,461,59,144,144,59,59,260,7,59,99,59,59,54,59,238,59,59,59,873,59,59,430,59,59,162,59,59,218,62,392,202,162,203,391,119,344,256,405,99,314,368,368,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,291,218,218,218,218,218,218,218,218
55,218,59,430,59,59,99,238,59,59,430,78,59,59,59,59,218,59,162,54,59,59,349,59,59,208,59,59,59,59,284,70,290,109,338,360,134,36,181,315,339,77,161,178,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
56,244,406,108,197,59,99,162,59,59,540,238,59,59,59,59,162,59,430,59,59,59,59,59,620,260,59,59,59,59,218,303,218,128,225,316,39,102,240,85,22,135,132,176,109,0,197,218,109,99,11,314,412,314,294,0,314,84,314,368,314,218,82,535,176,176,215,218,82,82,82,82,82,82,82
57,40,59,5,144,99,144,54,410,59,17,49,59,59,59,59,59,59,260,59,59,59,59,59,59,55,59,59,99,59,99,410,410,614,217,679,819,55,273,273,273,55,219,73,55,74,55,73,392,73,392,74,392,117,279,302,392,73,392,94,392,73,392,94,259,377,302,111,392,814,377,392,392,392,392
58,91,59,162,59,59,144,59,59,59,204,7,59,59,59,59,63,59,162,59,59,59,162,59,59,215,59,59,59,59,59,410,410,280,309,91,225,287,66,231,49,143,29,143,275,275,275,275,252,410,348,410,169,410,258,410,26,410,252,7,309,405,410,410,26,410,405,410,153,231,231,405,410,410,410
59,234,410,59,144,59,59,59,59,59,72,99,59,59,59,59,162,59,162,59,59,162,59,59,59,424,59,59,59,162,162,410,410,844,283,285,269,299,230,48,199,410,410,410,410,410,120,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
60,244,59,59,162,59,144,162,59,59,298,49,59,99,59,59,162,59,162,59,59,59,656,59,59,282,59,59,59,59,99,415,415,577,722,100,416,195,65,1,1,415,212,415,195,415,5,415,415,415,411,415,195,415,415,415,415,415,415,415,415,415,415,415,845,415,415,415,415,415,415,415,415,415,415
61,226,59,308,59,59,144,144,407,59,192,49,59,59,59,59,54,59,162,59,303,415,99,59,59,260,59,59,59,59,162,320,415,636,110,621,112,188,369,19,5,373,116,7,196,406,406,221,344,168,415,168,341,400,344,341,400,415,341,344,415,344,344,344,415,415,37,344,24,415,344,344,344,415,344
62,1,59,306,144,59,306,430,415,59,399,49,59,59,59,59,59,59,162,59,59,59,59,59,59,789,59,59,59,59,59,212,415,391,648,760,206,98,411,12,12,415,12,12,12,415,415,415,12,415,415,415,415,415,415,415,415,415,415,415,6,415,415,415,6,415,415,415,415,12,415,415,415,415,415
63,234,59,430,144,59,59,99,59,59,296,166,59,59,59,59,148,59,430,59,59,59,59,59,59,212,59,59,162,59,162,562,148,148,126,223,77,77,240,3,351,351,148,22,359,359,357,3,68,68,68,68,68,235,235,235,383,406,421,421,130,421,421,421,286,421,421,235,421,91,77,381,381,235,381
64,72,59,232,59,59,59,600,59,148,212,49,59,59,59,59,779,4,34,59,59,59,59,59,59,267,59,59,59,59,300,148,690,462,170,383,322,287,275,143,324,113,19,381,363,19,311,160,77,421,239,160,160,46,160,421,160,160,160,216,374,374,130,130,127,216,421,374,216,363,258,216,122,58,58
65,34,59,59,59,59,99,162,59,59,67,59,59,59,59,113,162,59,7,59,144,59,59,59,59,260,59,59,59,59,162,148,25,320,211,309,255,354,24,24,148,148,22,91,91,91,3,148,235,148,3,148,148,148,3,148,148,255,255,148,148,255,255,255,148,148,148,148,148,148,148,148,148,148,148
