Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	0	0.0	0.327	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	1	0.0	0.34	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	2	0.0	0.76	nan	0.0	0.0	0.065	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	3	0.0	1.113	nan	0.0	0.0	0.039	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	4	0.0	3.667	nan	0.001	0.0	0.524	nan	0.002
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	5	0.0	1.008	nan	0.0	0.0	0.157	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	6	0.0	0.445	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	7	0.0	0.877	nan	0.0	0.0	0.144	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	8	0.0	1.938	nan	0.0	0.0	0.445	nan	0.001
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	9	0.0	1.977	nan	0.0	0.0	0.668	nan	0.001
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	10	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	11	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	12	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	13	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	14	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	15	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	16	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	17	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	18	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	19	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	20	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	21	0.393	0.393	nan	nan	0.0	0.0	nan	nan
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_ArcFace_AdamW.yaml	222	22	0.393	0.393	nan	nan	0.0	0.0	nan	nan
