ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22
0,53,53,53,53,53,53,53,53,166,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,53,53,53,293,28,53,231,53,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,53,53,53,203,237,98,12,80,95,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,347,53,203,323,347,53,203,347,203,347,53,53,53,53,53,53,53,53,53,53,53,53,53
4,53,347,347,86,372,347,285,140,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53
5,53,53,352,12,153,245,347,12,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53
6,53,53,12,12,12,347,261,161,12,12,53,53,53,53,53,53,53,53,53,53,53,53,53
7,53,53,53,80,347,95,53,53,12,207,53,53,53,53,53,53,53,53,53,53,53,53,53
8,53,53,12,347,130,347,12,38,53,12,53,53,53,53,53,53,53,53,53,53,53,53,53
9,347,53,347,261,261,12,53,384,14,261,53,53,53,53,53,53,53,53,53,53,53,53,53
10,347,347,80,261,142,261,261,66,357,90,53,53,53,53,53,53,53,53,53,53,53,53,53
11,53,347,46,98,310,374,12,174,261,261,53,53,53,53,53,53,53,53,53,53,53,53,53
12,15,53,15,171,98,15,15,231,270,347,53,53,53,53,53,53,53,53,53,53,53,53,53
13,15,53,27,28,15,15,171,231,15,270,53,53,53,53,53,53,53,53,53,53,53,53,53
14,53,12,140,15,323,203,231,15,343,432,53,53,53,53,53,53,53,53,53,53,53,53,53
15,203,347,203,53,203,53,347,369,203,15,53,53,53,53,53,53,53,53,53,53,53,53,53
16,53,53,12,210,203,15,261,53,203,203,53,53,53,53,53,53,53,53,53,53,53,53,53
17,347,347,347,184,203,347,67,203,347,270,53,53,53,53,53,53,53,53,53,53,53,53,53
18,15,53,231,203,368,53,203,15,347,203,53,53,53,53,53,53,53,53,53,53,53,53,53
19,53,53,203,53,130,95,53,347,12,231,53,53,53,53,53,53,53,53,53,53,53,53,53
20,53,53,231,285,231,15,53,15,193,362,53,53,53,53,53,53,53,53,53,53,53,53,53
21,53,53,16,368,231,368,231,245,385,286,53,53,53,53,53,53,53,53,53,53,53,53,53
22,53,53,12,16,368,261,261,342,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53
23,347,12,368,385,368,86,261,270,322,322,53,53,53,53,53,53,53,53,53,53,53,53,53
24,53,53,203,128,80,80,16,53,184,368,53,53,53,53,53,53,53,53,53,53,53,53,53
25,347,347,261,12,173,80,261,203,359,347,53,53,53,53,53,53,53,53,53,53,53,53,53
26,53,53,203,80,80,53,28,15,15,245,53,53,53,53,53,53,53,53,53,53,53,53,53
27,53,53,203,95,323,80,347,216,323,12,53,53,53,53,53,53,53,53,53,53,53,53,53
28,12,53,203,347,323,80,53,323,323,323,53,53,53,53,53,53,53,53,53,53,53,53,53
29,53,53,323,261,15,12,261,343,323,321,53,53,53,53,53,53,53,53,53,53,53,53,53
30,12,53,368,245,245,40,161,338,245,323,53,53,53,53,53,53,53,53,53,53,53,53,53
31,53,53,95,245,245,80,53,245,245,80,53,53,53,53,53,53,53,53,53,53,53,53,53
32,53,53,80,231,245,53,261,368,27,174,53,53,53,53,53,53,53,53,53,53,53,53,53
33,245,53,80,323,222,80,231,80,231,323,53,53,53,53,53,53,53,53,53,53,53,53,53
34,53,347,53,245,321,53,321,321,321,174,53,53,53,53,53,53,53,53,53,53,53,53,53
35,12,347,398,338,321,15,15,203,321,393,53,53,53,53,53,53,53,53,53,53,53,53,53
36,347,53,347,170,99,53,15,15,166,28,53,53,53,53,53,53,53,53,53,53,53,53,53
37,347,53,270,270,270,270,184,15,174,15,53,53,53,53,53,53,53,53,53,53,53,53,53
38,347,53,353,37,270,203,270,270,15,15,53,53,53,53,53,53,53,53,53,53,53,53,53
39,203,53,203,59,166,203,53,12,53,166,53,53,53,53,53,53,53,53,53,53,53,53,53
40,347,53,46,166,166,161,166,95,592,521,53,53,53,53,53,53,53,53,53,53,53,53,53
41,12,53,323,256,53,66,352,16,368,53,53,53,53,53,53,53,53,53,53,53,53,53,53
42,347,53,261,215,359,174,261,12,69,28,53,53,53,53,53,53,53,53,53,53,53,53,53
43,53,347,28,347,28,347,261,203,270,270,53,53,53,53,53,53,53,53,53,53,53,53,53
44,53,53,80,15,53,53,53,203,80,377,53,53,53,53,53,53,53,53,53,53,53,53,53
45,53,53,130,130,160,130,323,321,99,130,53,53,53,53,53,53,53,53,53,53,53,53,53
46,53,53,80,262,368,53,231,53,274,91,53,53,53,53,53,53,53,53,53,53,53,53,53
47,53,53,12,130,12,347,323,237,28,80,53,53,53,53,53,53,53,53,53,53,53,53,53
48,347,53,53,368,28,347,174,206,161,161,53,53,53,53,53,53,53,53,53,53,53,53,53
49,347,53,261,27,89,339,171,12,12,398,53,53,53,53,53,53,53,53,53,53,53,53,53
50,53,53,174,130,161,347,12,15,161,161,53,53,53,53,53,53,53,53,53,53,53,53,53
51,347,53,203,321,237,12,245,347,207,207,53,53,53,53,53,53,53,53,53,53,53,53,53
52,53,347,80,231,368,53,347,53,15,15,53,53,53,53,53,53,53,53,53,53,53,53,53
53,347,53,53,207,347,207,53,12,207,12,53,53,53,53,53,53,53,53,53,53,53,53,53
