ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22
0,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1329,2374,3037,6960,3768,6669,1462,2905,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1329,2374,3037,6960,3768,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1329,2374,3037,6960,3768,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1329,2374,3037,6960,3768,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1329,2374,3037,6960,3768,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1329,2374,3037,6960,3768,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1329,2374,3037,6960,3768,6669,1462,3886,1017,6293,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1329,2374,3037,6960,6293,6669,1462,2905,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1329,2374,3037,6960,3768,6669,1462,3886,2981,5803,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1329,2374,3037,6960,6293,6669,1462,2905,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1329,2374,3037,6960,3768,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1329,2374,3037,6960,3768,6669,1462,2905,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1329,2374,3037,6960,3768,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1329,2374,3037,6960,6293,6669,1462,4175,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1329,2374,3037,6960,6293,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1329,2374,3037,6960,3768,6669,1462,3886,1017,2667,0,0,0,0,0,0,0,0,0,0,0,0,0
