ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22
0,523,714,53,53,203,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,243,551,53,127,166,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,410,213,53,180,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,41,493,100,357,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
4,642,180,750,347,95,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
5,675,347,347,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
6,313,496,12,12,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
7,572,399,53,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
8,303,105,145,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
9,811,689,312,261,261,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
10,30,30,261,261,261,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
11,510,257,261,261,174,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
12,259,369,310,318,15,127,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
13,276,379,15,263,28,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
14,739,207,15,15,232,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
15,311,19,391,203,203,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
16,470,794,203,290,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
17,541,22,653,203,261,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
18,478,576,66,68,12,161,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
19,166,106,680,97,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
20,464,277,231,231,368,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
21,446,558,387,368,213,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
22,722,219,368,368,130,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
