ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22
0,713,53,53,53,53,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,53,53,12,347,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,109,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,364,53,347,347,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
4,347,347,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
5,347,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
6,174,12,53,53,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
7,12,12,95,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
8,383,347,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
9,261,261,261,231,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
10,696,261,245,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
11,261,347,27,53,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
12,385,697,279,15,395,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
13,768,397,347,53,53,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
14,15,358,12,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
15,245,203,203,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
16,257,203,203,53,53,231,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
17,412,203,203,53,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
18,103,53,53,53,323,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
19,231,231,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
20,346,231,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
21,193,53,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
22,368,12,27,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
23,368,261,231,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
24,107,80,323,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
25,537,680,80,227,376,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
26,213,673,203,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
27,387,323,207,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
28,323,323,347,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
29,323,53,231,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
30,245,345,201,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
31,245,245,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
32,461,12,53,231,15,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
33,321,321,53,347,53,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
34,321,53,231,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
35,657,203,321,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
36,270,193,12,347,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
37,781,270,59,53,347,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
38,234,183,270,203,231,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
39,346,140,12,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
40,166,347,53,12,270,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
41,166,53,207,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
42,28,161,15,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
43,28,53,98,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
44,53,28,28,347,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
45,130,368,203,12,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
46,137,264,347,12,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
47,345,206,15,261,12,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
48,752,28,53,245,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
49,81,347,53,245,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
50,191,12,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
51,206,284,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
52,207,384,368,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
53,207,53,365,80,347,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
54,16,28,166,12,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
55,70,120,203,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
56,65,317,16,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
57,136,367,367,367,207,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
58,714,367,53,53,347,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
59,175,367,34,53,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
60,345,245,53,53,270,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
61,660,95,321,53,261,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
62,40,203,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
63,174,27,53,323,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
64,282,12,347,12,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
65,278,174,53,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
66,66,53,53,53,53,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
67,66,367,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
68,69,211,53,53,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
69,354,222,347,313,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
70,222,222,53,347,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
71,222,352,53,12,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
72,784,27,12,53,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
73,27,161,368,261,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
74,179,261,261,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
75,108,245,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
76,446,8,80,53,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
77,8,245,245,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
78,38,95,323,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
79,164,38,53,347,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
80,618,161,231,12,12,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
81,362,53,15,347,203,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
82,88,12,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
83,98,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
84,179,393,53,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
85,156,393,393,393,203,67,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
86,305,313,67,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
87,109,376,203,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
