ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21
0,91,4171,1401,6973,3717,6732,3761,442,5259,3767,5653,5392,5900,1518,2359,4552,1080,5334,6834,3326,4098,5994
1,91,6822,4414,4705,337,5199,3761,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,2700,2704,3326,4098,5994
2,91,4171,494,3451,1720,6732,3761,442,5259,3767,5653,2484,5900,274,2359,4552,609,5334,1390,3326,4098,5994
3,91,4171,4907,1255,128,6732,5155,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,5334,2704,3326,4098,5994
4,91,4171,445,4507,6751,6732,2906,442,5259,3767,5653,5392,5900,1518,2359,4552,1080,2700,2704,5233,4098,5994
5,91,1602,4046,551,3717,6732,3761,442,5259,3767,5653,5392,5900,274,2359,4552,609,5334,6834,3326,4098,5994
6,91,1602,4046,1211,49,6732,3761,442,5259,3767,5653,5392,5900,1518,2359,2968,1080,5334,2704,3326,4098,5994
7,91,1602,778,158,128,5199,2906,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,2700,2704,3326,4098,5994
8,91,4171,5976,1211,128,5199,2906,442,5259,3767,5653,5392,5900,1518,2359,4552,1080,5334,2704,3326,4098,5994
9,91,4171,5855,4936,6711,6732,2906,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,2700,2704,5233,4098,5994
10,91,4171,4734,25,2641,6732,2906,4178,5259,3767,5653,5392,5900,1518,2359,5624,1080,5334,2704,5233,4098,5994
11,91,4171,4907,25,6757,6732,5155,442,5259,3767,5653,5392,5900,274,2359,4552,1080,5334,6834,3326,4098,5994
12,91,1602,73,2151,6748,6732,3761,442,5259,3767,30,2484,5900,274,2359,4552,1080,5334,6834,3326,4098,5994
13,91,1602,3127,551,2169,6732,5155,442,5259,3767,30,2484,5900,274,2359,4552,609,5334,6834,3326,4098,5994
14,91,1602,494,158,671,6732,3761,442,5259,3767,5653,5392,5900,274,2359,4552,609,5334,6834,3326,4098,5994
15,91,1602,445,3102,6587,5199,3761,442,5259,3767,5653,5392,5900,1518,2359,4552,1080,5334,2704,3326,4098,5994
16,91,4171,1401,2639,671,6732,3761,442,5259,3767,5653,2484,5900,274,2359,4552,609,5334,6834,3326,4098,5994
17,91,1008,494,992,3275,6732,2906,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,5334,2704,3326,4098,5994
18,91,1602,494,4171,1164,6732,3761,442,5259,3767,5653,5392,5900,274,2359,4552,609,5334,6834,3326,4098,5994
19,91,4171,3523,4936,3717,6732,2906,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,2700,2704,3326,4098,5994
20,91,4171,4907,76,6610,6732,5155,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,5334,2704,3326,4098,5994
21,91,4171,474,5858,940,6732,5155,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,2700,2704,3326,4098,5994
22,91,4171,1401,992,812,6732,5155,442,5259,3767,5653,5392,5900,1518,2359,4552,609,5334,1390,3326,4098,5994
23,91,4171,4734,25,2389,5199,2906,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,5334,2704,3326,4098,5994
24,91,4171,1401,3403,132,6732,2906,442,5259,3767,5653,2484,5900,274,2359,4552,609,2700,6834,3326,4098,5994
25,91,1602,6470,6317,6836,5199,2906,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,2700,2704,3326,4098,5994
26,91,4171,710,3994,340,6732,2906,3886,5259,3767,5653,5392,5900,1518,2359,5624,1080,2700,2704,3326,4098,5994
27,91,1602,3127,2500,1378,5199,3761,442,5259,3767,5653,5392,5900,274,2359,4552,609,5334,6834,3326,4098,5994
28,91,4171,4907,2970,6587,6732,5155,442,5259,3767,5653,5392,5900,274,2359,4552,609,5334,6834,3326,4098,5994
29,91,4171,4786,153,4200,6732,5155,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,5334,6834,3326,4098,5994
30,91,1602,5499,5306,5294,6732,3761,442,5259,3767,5653,2484,5900,1518,2359,5624,1080,5334,2704,3326,4098,5994
31,91,4171,4414,158,2889,6732,3761,442,5259,3767,5653,5392,5900,274,2359,4552,609,5334,6834,3326,4098,5994
32,91,1602,4046,445,6587,5199,3761,442,5259,3767,5653,2484,5900,274,2359,4552,609,5334,6834,3326,4098,5994
33,91,1602,1401,992,6587,705,5155,442,5259,3767,5653,5392,5900,1518,2359,4552,1080,5334,6834,3326,4098,5994
34,91,4171,1401,4822,6006,6732,3761,442,5259,3767,5653,5392,5900,1518,2359,4552,1080,5334,2704,3326,4098,5994
35,91,4171,4414,4705,1715,6732,3761,442,5259,3767,5653,5392,5900,274,2359,4552,609,5334,6834,3326,4098,5994
36,91,4171,1094,3368,6448,6732,5155,442,5259,3767,5653,5392,5900,274,2359,4552,1080,5334,6834,3326,4098,5994
37,91,5171,2663,4705,1391,5199,3761,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,5334,2704,5233,4098,5994
38,91,4171,2663,1684,2144,5199,5155,442,5259,3767,5653,2484,5900,1518,2359,5624,1080,2700,2704,3326,4098,5994
39,91,1602,4907,3368,2845,6732,3761,442,5259,3767,5653,5392,5900,274,2359,4552,609,2700,6834,3326,4098,5994
40,91,1602,6470,4228,5710,6732,5155,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,2700,2704,3326,4098,5994
41,91,1602,4907,4469,2531,6732,3761,442,5259,3767,5653,5392,5900,274,2359,4552,1080,5334,2704,3326,4098,5994
42,91,4171,4786,4936,827,6732,2906,4178,5259,3767,5653,5392,5900,1518,2359,4552,1080,5334,2704,3326,4098,5994
43,91,4171,3127,1255,1164,6732,3761,442,5259,3767,5653,2484,5900,274,2359,4552,609,5334,6834,3326,4098,5994
44,91,1602,6100,2028,3282,6732,5155,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,5334,2704,3326,4098,5994
45,91,4171,4414,1380,671,6732,3761,442,5259,3767,5653,5392,5900,274,2359,4552,1080,5334,6834,3326,4098,5994
46,91,6822,3164,2500,1645,5199,3761,442,5259,3767,5653,5392,5900,274,2359,4552,1080,5334,2704,3326,4098,5994
47,91,4171,4046,3465,6448,6732,5155,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,5334,2704,3326,4098,5994
48,91,4171,4907,4881,3275,6732,3761,442,5259,3767,5653,2484,5900,274,2359,4552,609,5334,6834,3326,4098,5994
49,91,4171,445,5858,6925,6732,3761,442,5259,3767,5653,5392,5900,1518,2359,4552,1080,5334,2704,3326,4098,5994
50,91,1602,6100,445,637,6732,3761,442,5259,3767,5653,5392,5900,1518,2359,4552,609,5334,6834,3326,4098,5994
51,91,1602,1094,551,128,6732,3761,442,5259,3767,5653,2484,5900,274,2359,4552,609,5334,6834,3326,4098,5994
52,91,4171,1401,551,49,6732,3761,442,5259,3767,5653,5392,5900,1518,2359,4552,1080,2700,2704,3326,4098,5994
53,91,1602,1401,158,3717,6732,3761,442,5259,3767,5653,5392,5900,1518,2359,4552,1080,5334,2704,3326,4098,5994
54,91,4171,6470,4469,1990,6732,3761,442,5259,3767,5653,2484,5900,274,2359,4552,609,5334,6834,3326,4098,5994
55,91,4171,494,1211,3348,6732,5155,442,5259,3767,30,2484,5900,274,2359,5624,1080,2700,2704,3326,4098,5994
56,91,4377,4414,1684,1194,5199,2906,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,2700,2704,3326,4098,5994
57,91,4171,4445,3993,3611,5199,2906,3886,5259,3767,5653,5392,5900,1518,2359,5624,1080,2700,2704,3326,4098,5994
58,91,1602,407,3707,1507,6732,3761,442,5259,3767,5653,5392,5900,1518,2359,5624,1080,2700,2704,3326,4098,5994
59,91,4171,1401,2500,618,6732,3761,442,5259,3767,5653,5392,5900,274,2359,4552,609,5334,6834,3326,4098,5994
