ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14
0,347,261,435,99,53,53,53,53,53,53,53,53,53,53,53
1,80,261,786,380,206,147,53,53,53,53,53,53,53,53,53
2,53,166,241,23,257,53,257,263,91,53,53,53,53,53,53
3,347,66,255,776,347,347,347,347,347,347,347,347,347,347,347
4,347,161,245,140,334,187,184,187,120,347,347,347,347,347,347
5,446,16,366,303,213,131,220,131,131,347,347,347,347,347,347
6,93,15,283,223,223,303,65,68,65,65,65,65,65,65,65
7,56,130,264,192,34,79,79,79,79,79,79,79,379,346,577
8,12,15,12,263,194,275,334,248,248,19,19,251,251,251,251
9,261,53,214,243,274,635,758,261,261,261,261,261,261,261,261
10,261,15,155,690,193,323,195,229,75,211,510,75,510,797,797
11,261,53,339,147,179,157,78,203,203,203,261,261,261,261,261
12,15,53,15,462,390,15,15,15,15,15,15,15,15,15,15
13,15,222,651,380,51,15,125,15,15,15,15,15,15,15,15
14,15,53,342,245,142,15,15,15,15,15,15,15,15,15,15
15,321,12,714,19,203,273,342,139,203,203,203,203,203,203,203
16,178,12,203,203,203,203,203,203,203,203,203,203,203,203,203
17,44,53,709,203,225,225,225,225,203,203,203,203,203,203,203
18,231,261,657,225,339,263,130,385,148,231,231,231,231,231,231
19,384,53,325,309,100,35,231,231,231,231,231,231,231,231,231
20,343,15,793,493,213,91,339,339,231,231,231,231,231,231,231
21,391,140,379,7,368,368,368,368,368,368,368,368,368,368,368
22,67,261,344,126,388,169,17,396,689,189,368,368,368,368,368
23,357,261,468,199,204,368,368,368,368,368,368,368,368,368,368
24,285,53,361,274,269,80,80,80,80,80,80,80,80,80,80
25,53,259,321,385,21,80,80,80,80,80,80,80,80,80,80
26,274,16,89,66,57,80,80,80,80,80,80,80,80,80,80
27,323,342,583,131,323,20,20,323,323,323,323,323,323,323,323
28,186,53,194,333,22,361,22,22,323,323,323,323,323,323,323
29,323,57,550,681,329,341,323,323,323,323,323,323,323,323,323
30,245,189,735,287,245,245,245,245,245,245,245,245,245,245,245
31,245,203,175,297,24,187,245,245,245,245,245,245,245,245,245
32,273,12,717,268,84,245,245,245,245,245,245,245,245,245,245
33,337,261,187,778,731,160,697,160,674,707,674,707,253,408,802
34,381,16,336,362,362,36,177,321,362,321,321,321,321,321,321
35,321,27,727,321,647,86,321,321,615,615,36,36,36,321,36
36,741,8,92,379,245,379,238,290,270,270,270,270,270,270,270
37,277,231,492,274,119,270,270,119,119,119,119,270,270,14,270
38,620,270,506,259,18,382,175,605,115,115,115,163,365,365,115
39,166,166,98,184,132,166,166,166,166,166,166,166,166,166,166
40,360,53,54,206,360,360,360,360,166,166,166,166,166,166,166
41,347,245,662,553,405,166,166,166,166,166,166,166,166,166,166
42,179,12,264,357,28,268,325,268,197,28,28,28,28,28,28
43,322,15,11,269,93,31,31,28,28,28,28,28,28,28,28
44,28,270,455,279,28,28,28,28,28,28,28,28,28,28,28
45,19,53,274,5,130,130,130,130,130,130,130,130,130,130,130
46,221,183,259,331,270,130,130,130,130,130,130,130,130,130,130
47,315,231,766,339,283,339,364,297,303,121,121,121,130,130,130
48,161,15,376,161,301,161,161,161,161,161,161,161,161,161,161
49,161,113,206,641,385,202,58,179,103,161,161,161,161,161,161
50,372,347,389,303,161,361,161,161,161,161,161,161,161,161,161
51,207,53,399,318,301,161,234,207,207,207,207,207,207,207,207
52,245,368,651,292,295,161,245,327,207,189,207,207,207,207,207
53,207,28,364,314,194,280,225,207,207,207,280,207,207,207,207
54,345,397,185,48,678,394,16,16,16,313,16,16,16,316,16
55,53,231,417,114,16,114,114,16,114,114,678,678,678,678,678
56,353,347,752,345,305,635,16,16,16,16,16,16,16,16,16
57,296,15,509,400,88,208,367,367,367,367,367,367,367,367,367
58,235,12,93,13,145,115,198,198,353,45,353,353,353,145,145
59,367,117,129,187,308,555,367,367,367,367,367,367,367,367,367
60,95,152,152,143,443,95,36,19,95,19,95,95,95,95,95
61,237,15,189,248,42,95,95,95,95,95,95,95,95,95,95
62,211,15,35,362,143,95,95,95,95,95,95,95,95,95,95
63,176,53,256,260,170,131,389,214,214,174,174,174,174,174,174
64,174,15,159,257,179,174,174,174,174,174,174,174,174,174,174
65,19,53,303,225,131,174,174,174,174,174,174,174,174,174,174
66,66,261,293,123,47,335,335,60,385,385,385,335,335,66,66
67,66,53,88,326,101,380,66,66,66,66,66,66,66,66,66
68,388,286,132,159,690,66,66,66,66,66,66,66,66,66,66
69,283,15,398,66,107,317,37,222,317,222,222,222,222,222,222
70,250,15,285,314,222,259,181,181,181,181,181,181,181,181,181
71,158,28,222,380,222,222,222,222,222,222,222,222,222,222,222
72,292,377,411,28,347,377,377,328,392,392,136,392,278,278,49
73,253,27,393,373,289,229,25,148,148,148,252,148,148,73,192
74,129,53,268,226,3,153,124,3,240,124,124,124,124,46,46
75,260,15,8,129,34,285,285,285,252,8,8,8,8,8,8
76,66,53,183,205,111,8,8,124,8,8,8,8,8,8,8
77,176,270,689,234,373,8,8,8,8,8,8,8,8,8,8
78,400,66,124,38,174,38,138,331,331,38,38,38,38,38,38
79,38,53,477,396,129,359,359,311,173,74,38,38,38,38,38
80,13,53,583,289,324,285,138,38,38,38,38,38,38,38,38
81,129,53,301,601,200,213,351,351,100,100,213,100,391,391,100
82,98,98,184,98,98,98,98,98,98,98,98,98,98,98,98
83,328,342,166,132,98,98,98,98,98,98,98,98,98,98,98
84,393,411,393,137,168,393,393,393,393,393,393,393,393,393,393
85,393,15,79,229,393,393,393,393,393,393,393,393,393,393,393
86,393,15,520,168,126,380,196,393,393,393,393,393,393,393,393
87,46,140,227,355,259,376,376,376,376,376,376,376,376,376,376
88,177,368,556,207,66,66,421,181,376,376,376,376,376,376,376
89,376,261,306,217,369,107,133,259,376,376,376,376,376,376,376
90,107,38,137,137,168,133,99,133,296,44,133,133,44,44,133
91,123,368,476,678,183,296,393,393,99,333,99,99,296,159,99
92,742,194,159,297,317,345,690,159,159,159,159,159,159,159,159
93,86,261,627,86,86,86,86,86,86,86,86,86,86,86,86
94,42,171,572,548,539,539,86,539,86,86,86,86,86,86,86
95,283,256,86,196,86,86,86,86,86,86,86,86,86,86,86
96,273,193,709,19,19,273,134,273,139,203,139,139,273,273,342
97,53,261,447,100,321,273,273,177,620,698,698,698,773,773,273
98,273,367,275,651,231,139,273,273,273,273,273,273,273,273,273
99,273,321,398,100,36,211,398,334,189,189,398,398,398,398,398
100,398,184,775,674,444,214,745,365,365,365,412,395,395,129,129
101,40,53,390,400,794,377,194,74,74,48,194,194,398,398,398
102,45,53,21,168,82,394,353,145,145,353,353,353,31,353,353
103,369,53,491,7,24,248,255,255,255,255,255,140,140,140,140
104,140,368,586,47,250,111,208,84,395,608,341,608,608,187,224
105,176,382,668,69,221,266,365,365,246,92,141,77,141,374,92
106,174,231,560,401,266,176,176,176,176,176,176,176,176,176,176
107,8,368,58,52,210,226,284,176,176,176,176,176,176,176,176
108,207,53,758,363,126,345,183,67,67,67,67,67,67,67,67
109,58,376,286,369,369,293,676,676,676,676,67,67,67,67,67
110,368,12,6,735,534,67,67,67,67,67,67,67,67,67,67
111,168,53,577,200,379,20,405,286,286,286,89,286,286,286,286
112,350,203,766,685,323,32,286,20,205,286,286,286,286,286,286
113,376,53,153,476,195,286,286,286,286,286,286,286,286,286,286
114,174,15,103,224,309,91,131,131,131,131,131,131,131,131,131
115,247,131,539,213,286,213,212,212,102,131,131,131,131,131,131
116,0,697,388,231,347,303,325,131,131,131,131,131,131,131,131
117,365,256,643,166,185,292,213,287,71,220,71,71,127,71,365
